,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,522.99,,-50.35,22.58,0.03,0.39,0.93,71.71,26.31,4.32,1.44,"3,680.12",3.46,"2,622.68",34.51,1.08,3.20,0.87,37.09,A,SET,PROPCON,PROP
2Q2555,586.76,54.08,129.50,34.79,0.05,0.58,1.42,73.89,25.20,5.93,1.43,"3,528.84",3.68,"2,789.44",55.61,1.14,3.23,0.82,32.79,A,SET,PROPCON,PROP
3Q2555,386.41,-47.04,21.55,19.08,0.02,0.31,0.77,65.54,28.57,4.94,1.50,"3,631.13",3.82,"2,895.56",41.96,1.18,3.24,0.79,32.90,A,SET,PROPCON,PROP
4Q2555,338.99,0.70,,17.90,0.02,0.27,0.72,55.04,39.51,5.28,1.75,"3,547.72",4.18,"3,168.44",41.62,1.28,3.27,0.72,34.00,A,SET,PROPCON,PROP
1Q2556,267.07,-77.90,-81.84,4.10,0.01,0.06,0.16,57.39,38.17,1.54,2.02,"3,998.49",4.36,"3,304.88",35.03,1.32,3.29,0.92,40.71,A,SET,PROPCON,PROP
2Q2556,576.78,177.26,-67.32,11.37,0.01,0.15,0.45,66.70,30.18,1.97,2.12,"4,025.04",4.80,"3,638.40",47.95,1.45,3.32,0.83,49.53,A,SET,PROPCON,PROP
3Q2556,453.99,-54.00,-71.62,5.34,0.01,0.06,0.20,64.96,33.81,1.18,2.13,"3,980.25",5.30,"4,017.40",99.03,2.08,3.29,0.58,52.88,A,SET,PROPCON,PROP
4Q2556,509.94,,,-7.03,-0.01,-0.08,-0.25,66.21,31.89,-1.38,2.15,"3,966.96",5.00,"4,900.00",126.58,1.71,2.92,0.62,71.68,A,SET,PROPCON,PROP
1Q2557,461.70,,289.83,20.67,0.02,0.22,0.72,62.42,35.23,4.48,2.45,"3,736.14",5.25,"5,145.00",373.44,1.80,2.92,0.57,57.44,A,SET,PROPCON,PROP
2Q2557,520.77,,,-4.06,-0.00,-0.04,-0.14,65.91,30.78,-0.78,2.84,"4,160.30",5.60,"5,488.00",180.84,1.91,2.94,0.54,65.05,A,SET,PROPCON,PROP
3Q2557,577.66,,44.93,10.21,0.01,0.09,0.36,69.89,27.01,1.77,2.90,"4,485.12",5.55,"5,439.00",364.54,1.91,2.90,0.54,57.54,A,SET,PROPCON,PROP
4Q2557,936.61,51.10,,14.45,0.02,0.13,0.50,73.57,25.08,1.54,3.16,"4,385.91",5.45,"5,341.00",269.98,1.87,2.91,0.55,58.68,A,SET,PROPCON,PROP
1Q2558,784.00,32.36,-5.17,23.69,0.02,0.19,0.82,76.08,22.71,3.02,3.31,"4,628.10",5.45,"5,341.00",129.43,1.86,2.93,0.00,58.63,A,SET,PROPCON,PROP
