,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
2Q2555,"6,204.10",,,"15,115.69",,95.60,119.96,,4.80,243.64,0.17,,3.40,"16,490.00",15.31,0.00,0.00,0.00,1.09,AAV,SET,SERVICE,TRANS
3Q2555,"4,543.74",,,197.27,-0.14,0.66,0.78,,6.58,4.34,0.21,,4.28,"20,758.00",1.33,1.17,3.66,0.00,1.49,AAV,SET,SERVICE,TRANS
4Q2555,"5,743.08",,,742.87,0.01,2.33,2.88,,4.61,12.94,0.26,,4.84,"23,474.00",1.52,1.31,3.69,0.00,1.50,AAV,SET,SERVICE,TRANS
1Q2556,,719.00,,726.01,0.08,2.07,2.81,,,,0.46,,7.20,"34,920.00",2.23,1.91,3.78,0.00,2.62,AAV,SET,SERVICE,TRANS
2Q2556,"11,627.00",-33.33,,485.84,0.05,1.28,1.89,,2.83,4.18,0.49,,5.40,"26,190.00",1.67,1.40,3.85,0.00,28.03,AAV,SET,SERVICE,TRANS
3Q2556,"5,739.60",-40.29,,289.83,0.03,0.73,1.11,,7.37,5.05,0.56,,5.40,"26,190.00",22.24,1.38,3.91,0.00,37.51,AAV,SET,SERVICE,TRANS
4Q2556,"6,789.09",40.80,359.00,406.00,0.05,0.95,1.53,,8.36,5.98,0.68,,3.66,"17,751.00",14.45,0.93,3.94,0.00,,AAV,SET,SERVICE,TRANS
1Q2557,"6,633.51",-37.47,-64.96,246.94,0.03,0.55,0.92,91.53,5.85,3.72,0.70,,3.96,"19,206.00",18.42,0.99,3.99,0.00,,AAV,SET,SERVICE,TRANS
2Q2557,"5,670.39",,,-321.37,-0.04,-0.71,-1.20,87.76,8.55,-5.67,0.68,,4.12,"19,982.00",25.47,1.03,4.02,0.00,,AAV,SET,SERVICE,TRANS
3Q2557,"5,755.36",-18.41,,-382.42,-0.04,-0.82,-1.45,87.94,8.64,-6.64,0.84,,4.64,"22,504.00",65.52,1.17,3.98,0.00,,AAV,SET,SERVICE,TRANS
4Q2557,"8,090.02",,92.96,788.12,0.09,1.61,2.96,90.50,6.86,9.74,0.83,,4.30,"20,855.00",N/A,1.09,3.94,0.00,20.71,AAV,SET,SERVICE,TRANS
1Q2558,"7,932.50",17.87,263.76,920.09,0.10,1.81,3.35,90.23,7.27,11.60,0.87,,5.00,"24,250.00",132.38,1.24,4.03,0.00,12.88,AAV,SET,SERVICE,TRANS
2Q2558,"7,073.76",-59.29,,372.08,0.04,0.72,1.32,90.26,7.07,5.26,0.83,,4.40,"21,340.00",38.76,1.06,4.13,0.00,9.65,AAV,SET,SERVICE,TRANS
3Q2558,"7,455.30",-55.62,,168.19,0.02,0.32,0.60,89.37,7.94,2.26,0.88,,4.32,"20,952.00",22.46,1.03,4.17,0.00,8.41,AAV,SET,SERVICE,TRANS
4Q2558,"8,002.03",200.16,-36.08,497.90,0.06,0.95,1.79,86.54,8.86,6.22,0.88,,5.25,"25,462.50",20.64,1.28,4.09,0.00,10.77,AAV,SET,SERVICE,TRANS
1Q2559,"9,183.00",267.53,99.29,"1,832.95",0.21,3.42,6.32,90.26,7.23,19.96,0.82,,5.80,"28,130.00",26.08,1.40,4.15,1.72,9.18,AAV,SET,SERVICE,TRANS
2Q2559,"7,939.23",-58.13,104.96,766.21,0.09,1.41,2.53,89.98,7.71,9.65,0.78,,6.25,"30,312.50",19.17,1.43,4.36,1.60,8.96,AAV,SET,SERVICE,TRANS
3Q2559,"8,308.11",-6.12,333.62,723.09,0.08,1.33,2.33,90.11,7.93,8.70,0.74,,7.15,"34,677.50",19.29,1.61,4.45,1.40,9.03,AAV,SET,SERVICE,TRANS
4Q2559,"7,699.96",-89.59,-84.97,75.36,0.01,0.14,0.24,88.90,9.11,0.98,0.88,,6.05,"29,342.50",13.95,1.34,4.53,1.65,10.18,AAV,SET,SERVICE,TRANS
1Q2560,"9,402.03","1,281.79",-43.48,"1,034.78",0.12,1.80,3.38,89.38,7.95,11.01,0.88,,6.45,"31,282.50",16.73,1.47,4.39,2.33,12.58,AAV,SET,SERVICE,TRANS
