,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2560,,,,,,,,,,,4.29,106.28,,,,,,,,ABM,mai,RESOURC,-
1Q2561,297.66,,,-5.46,-0.01,-0.68,-2.58,74.58,24.63,-1.83,1.92,160.34,1.41,423.00,27.06,,0.00,0.00,19.86,ABM,mai,RESOURC,-
2Q2561,347.86,33.33,,-1.78,-0.01,-0.23,-0.66,84.32,14.91,-0.51,1.79,191.25,1.01,303.00,22.04,1.13,0.90,0.00,13.97,ABM,mai,RESOURC,-
3Q2561,313.60,-400.00,,-8.71,-0.03,-1.14,-3.29,80.71,18.96,-2.78,1.99,209.81,1.06,318.00,34.76,1.18,0.90,0.00,14.74,ABM,mai,RESOURC,-
4Q2561,336.92,-110.00,,-20.01,-0.06,-2.82,-8.04,81.48,18.17,-5.94,1.70,312.88,0.90,270.00,N/A,1.05,0.86,0.00,-49.85,ABM,mai,RESOURC,-
1Q2562,314.57,74.60,-77.78,-5.35,-0.02,-0.81,-2.26,77.89,21.67,-1.70,1.86,253.21,0.93,279.00,N/A,1.15,0.81,0.00,-71.82,ABM,mai,RESOURC,-
2Q2562,329.71,75.00,33.33,-3.81,-0.00,-0.57,-1.65,79.98,19.39,-1.16,1.89,201.45,0.87,261.00,N/A,1.09,0.79,0.00,-49.97,ABM,mai,RESOURC,-
3Q2562,276.32,0.00,86.67,-1.66,-0.00,-0.24,-0.73,77.42,21.83,-0.60,2.25,184.16,0.83,249.00,N/A,1.05,0.79,0.00,-95.56,ABM,mai,RESOURC,-
4Q2562,409.27,-600.00,55.56,-11.51,-0.03,-1.59,-5.23,78.04,21.80,-2.81,2.34,177.81,0.73,219.00,N/A,0.93,0.78,0.00,95.09,ABM,mai,RESOURC,-
1Q2563,527.94,,,18.29,0.07,2.49,8.22,79.97,19.06,3.47,2.28,150.23,0.37,111.00,N/A,0.49,0.75,0.00,15.07,ABM,mai,RESOURC,-
2Q2563,245.81,,50.00,0.93,-0.00,0.12,0.40,78.73,19.58,0.38,2.35,167.57,0.80,240.00,27.56,0.99,0.81,0.00,16.85,ABM,mai,RESOURC,-
3Q2563,338.76,-400.00,-150.00,-3.04,-0.01,-0.38,-1.32,83.18,15.78,-0.90,2.55,169.26,0.79,237.00,21.79,0.97,0.81,0.00,17.66,ABM,mai,RESOURC,-
4Q2563,451.34,,,0.92,0.00,0.11,0.40,85.59,13.82,0.20,2.89,184.59,0.81,243.00,26.89,1.00,0.81,0.00,14.86,ABM,mai,RESOURC,-
1Q2564,476.35,"1,400.00",-57.14,9.30,0.03,0.98,3.24,83.35,15.68,1.95,1.90,246.91,1.19,357.00,19.18,1.49,0.80,0.00,21.12,ABM,mai,RESOURC,-
2Q2564,485.76,-56.67,,2.69,0.01,0.27,0.78,83.72,15.61,0.55,1.77,221.12,1.66,498.00,56.83,1.40,1.18,0.00,22.16,ABM,mai,RESOURC,-
3Q2564,492.04,169.23,,10.28,0.04,1.03,2.90,84.08,14.89,2.09,1.88,220.31,1.49,447.00,40.67,1.24,1.20,0.00,16.52,ABM,mai,RESOURC,-
1Q2565,612.90,-35.71,-25.00,6.37,0.02,0.64,1.76,88.30,11.24,1.04,1.60,200.90,3.06,918.00,34.26,2.46,1.24,0.00,20.35,ABM,mai,RESOURC,-
2Q2565,567.41,23.91,114.46,8.26,0.03,0.75,2.23,86.96,13.06,1.46,2.35,248.11,2.58,780.00,32.68,2.04,1.28,0.00,22.66,ABM,mai,RESOURC,-
3Q2565,708.47,9.22,-13.00,9.05,0.03,0.68,2.39,86.99,12.73,1.28,2.67,351.25,1.97,600.00,27.51,1.40,1.43,0.00,19.06,ABM,mai,RESOURC,-
