,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
3Q2556,,,,,,,,,,,0.00,,,,,,,,,ABPIF,SET,RESOURC,ENERG
4Q2556,296.39,,,400.16,,6.11,6.12,,,135.01,0.00,,10.30,"6,180.00",N/A,0.97,10.57,0.00,,ABPIF,SET,RESOURC,ENERG
1Q2557,69.12,,,282.64,,4.40,4.40,,,408.89,0.00,,9.30,"5,580.00",N/A,0.83,11.24,5.85,,ABPIF,SET,RESOURC,ENERG
2Q2557,152.17,,,-21.34,,-0.35,-0.35,,,-14.02,0.00,,9.75,"5,850.00",N/A,0.96,11.24,5.58,,ABPIF,SET,RESOURC,ENERG
3Q2557,69.95,,,114.35,,1.92,1.93,,,163.47,0.00,,9.20,"5,520.00",N/A,0.91,10.12,5.91,,ABPIF,SET,RESOURC,ENERG
4Q2557,137.31,,,139.60,,2.38,2.38,,,101.66,0.00,,9.00,"5,400.00",N/A,0.93,10.00,6.04,,ABPIF,SET,RESOURC,ENERG
1Q2558,67.20,,,-49.15,,-0.86,-0.86,,,-73.14,0.00,,8.70,"5,220.00",N/A,0.88,9.89,7.26,,ABPIF,SET,RESOURC,ENERG
2Q2558,117.19,,,151.58,,2.71,2.72,,,129.34,0.00,,8.85,"5,310.00",,0.96,9.17,7.13,,ABPIF,SET,RESOURC,ENERG
3Q2558,102.47,,,165.44,,2.97,2.98,,,161.45,0.00,,8.25,"4,950.00",,0.87,9.43,7.65,,ABPIF,SET,RESOURC,ENERG
4Q2558,101.06,,,426.42,,7.50,7.52,,,421.94,0.00,,8.15,"4,890.00",,0.90,9.46,7.75,,ABPIF,SET,RESOURC,ENERG
1Q2559,102.38,,,166.11,,2.87,2.88,,,162.25,0.00,,8.05,"4,830.00",,0.82,9.80,7.03,,ABPIF,SET,RESOURC,ENERG
