,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2559,,,,,,,,,,,2.60,20.46,,,,,,,,ADB,mai,INDUS,-
3Q2560,"1,052.01",,,10.68,0.03,0.97,3.73,85.39,13.65,1.01,3.08,34.31,,,,,,,,ADB,mai,INDUS,-
4Q2560,332.26,55.70,,18.37,0.04,1.58,4.27,87.83,11.64,5.53,1.06,57.21,1.32,792.00,26.75,,0.00,0.00,6.02,ADB,mai,INDUS,-
1Q2561,353.13,-63.97,,8.56,0.01,0.70,1.45,86.21,12.89,2.42,1.06,81.57,1.50,900.00,30.99,1.54,0.97,1.33,6.01,ADB,mai,INDUS,-
2Q2561,364.04,-7.99,,7.87,0.01,0.64,1.33,87.49,11.16,2.16,1.10,158.95,1.10,660.00,17.42,1.11,0.99,1.82,10.09,ADB,mai,INDUS,-
3Q2561,368.75,-7.24,-52.12,7.30,0.01,0.59,1.23,86.77,12.52,1.98,1.10,248.18,1.21,726.00,16.41,1.23,0.98,1.65,14.18,ADB,mai,INDUS,-
4Q2561,348.29,,,-10.71,-0.02,-0.85,-1.81,84.57,14.73,-3.07,1.14,240.65,0.79,474.00,11.26,0.79,1.00,2.53,17.28,ADB,mai,INDUS,-
1Q2562,308.79,-88.12,,-20.14,-0.03,-1.63,-3.50,84.23,15.10,-6.52,1.16,256.47,0.85,510.00,39.15,0.87,0.98,1.18,32.13,ADB,mai,INDUS,-
2Q2562,326.48,68.80,,-6.28,-0.01,-0.50,-1.12,84.16,15.43,-1.92,1.30,222.53,0.81,486.00,N/A,0.86,0.94,1.23,104.40,ADB,mai,INDUS,-
3Q2562,359.24,,81.02,13.22,0.02,1.04,2.36,89.40,10.15,3.68,1.25,222.62,0.61,366.00,N/A,0.66,0.92,1.64,44.12,ADB,mai,INDUS,-
4Q2562,376.00,24.56,,16.46,0.03,1.30,2.87,87.68,11.86,4.38,1.16,198.88,0.65,390.00,N/A,0.69,0.94,1.54,16.24,ADB,mai,INDUS,-
1Q2563,346.29,-9.66,,14.87,0.02,1.18,2.53,87.08,12.46,4.29,1.14,149.05,0.37,222.00,68.03,0.38,0.97,2.70,8.39,ADB,mai,INDUS,-
2Q2563,270.01,-41.15,,8.76,0.01,0.68,1.46,84.33,14.83,3.24,1.18,211.72,0.70,420.00,10.97,0.70,0.99,1.43,8.25,ADB,mai,INDUS,-
3Q2563,380.59,203.84,101.23,26.60,0.04,2.08,4.34,87.39,12.05,6.99,0.99,226.89,0.76,456.00,8.55,0.76,1.00,1.32,7.21,ADB,mai,INDUS,-
4Q2563,380.01,-26.93,18.04,19.43,0.03,1.56,3.06,85.50,14.06,5.11,0.93,237.19,0.99,594.00,8.91,0.95,1.04,1.01,8.03,ADB,mai,INDUS,-
1Q2564,405.90,42.02,85.56,30.42,0.05,2.36,4.62,87.72,11.71,7.49,0.99,263.99,1.94,"1,280.40",18.38,1.98,0.98,2.84,11.45,ADB,mai,INDUS,-
2Q2564,437.53,19.65,277.24,36.26,0.06,2.66,5.38,87.99,11.33,8.29,1.06,245.16,2.20,"1,452.00",17.04,2.16,1.02,2.50,10.55,ADB,mai,INDUS,-
3Q2564,388.71,-68.97,-61.47,11.27,0.02,0.82,1.65,86.49,12.46,2.90,0.97,281.84,2.06,"1,359.60",12.06,2.01,1.02,2.67,11.14,ADB,mai,INDUS,-
1Q2565,554.35,,,-7.54,-0.01,-0.50,-1.11,89.75,9.36,-1.36,1.45,330.96,1.70,"1,234.20",16.31,1.81,0.86,3.24,14.52,ADB,mai,INDUS,-
2Q2565,553.60,,-80.45,7.81,0.01,0.44,1.18,90.78,8.79,1.41,1.93,390.79,1.45,"1,059.96",28.10,1.57,0.93,3.77,18.16,ADB,mai,INDUS,-
3Q2565,542.27,32.62,-16.45,10.36,0.01,0.56,1.59,90.48,8.99,1.91,1.74,471.29,1.37,"1,001.88",108.10,1.55,0.89,3.99,22.01,ADB,mai,INDUS,-
