,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,"35,435.22",141.94,42.18,"8,960.91",3.00,9.69,23.82,92.06,7.21,25.29,1.75,-184.13,184.00,"547,049.54",24.62,13.94,13.20,4.58,9.97,ADVANC,SET,TECH,ICT
2Q2555,"34,829.71",-2.33,42.23,"8,741.17",2.93,8.99,21.79,90.58,8.44,25.10,1.16,-236.52,184.50,"548,536.09",22.05,15.44,11.95,4.57,9.64,ADVANC,SET,TECH,ICT
3Q2555,"34,091.69",1.02,43.00,"8,810.04",2.96,9.68,21.96,90.57,8.35,25.84,1.40,-263.98,214.00,"636,242.40",23.16,14.38,14.88,3.94,10.90,ADVANC,SET,TECH,ICT
4Q2555,"38,327.91",-4.05,129.03,"8,386.96",2.84,8.98,21.15,90.19,9.43,21.88,1.32,-289.18,209.00,"621,376.92",20.65,17.51,11.93,4.03,10.57,ADVANC,SET,TECH,ICT
1Q2556,"37,758.73",17.61,11.33,"9,925.52",3.34,9.14,24.17,91.29,8.00,26.29,2.01,-299.44,240.00,"713,542.88",20.46,16.46,14.58,4.54,12.03,ADVANC,SET,TECH,ICT
2Q2556,"36,247.89",-7.48,5.46,"9,185.54",3.09,8.17,21.26,90.05,9.24,25.34,1.27,-311.77,282.00,"838,412.88",23.37,21.83,12.92,3.87,13.86,ADVANC,SET,TECH,ICT
3Q2556,"33,665.59",-9.07,-5.07,"8,319.33",2.81,7.92,19.60,87.36,12.08,24.71,1.74,-308.16,255.00,"758,139.31",20.85,15.93,16.01,4.27,12.86,ADVANC,SET,TECH,ICT
4Q2556,"35,981.43",5.34,4.23,"8,799.62",2.96,8.24,21.21,87.22,12.34,24.46,1.44,-317.55,199.50,"593,132.52",16.51,16.06,12.42,5.46,10.16,ADVANC,SET,TECH,ICT
1Q2557,"36,825.16",7.77,-4.49,"9,473.56",3.19,8.31,22.51,88.78,10.87,25.73,2.03,-330.44,226.00,"671,919.54",18.52,14.69,15.39,5.38,11.58,ADVANC,SET,TECH,ICT
2Q2557,"36,845.72",-10.66,-7.77,"8,469.96",2.85,6.88,19.92,85.58,13.96,22.99,1.79,-321.37,220.00,"654,080.97",18.25,17.15,12.83,5.52,11.25,ADVANC,SET,TECH,ICT
3Q2557,"35,710.88",5.61,7.12,"8,948.69",3.01,7.11,21.18,86.38,13.00,25.06,2.21,-322.92,225.00,"668,946.45",19.05,14.35,15.68,5.40,11.44,ADVANC,SET,TECH,ICT
4Q2557,"40,647.18",1.99,3.72,"9,110.96",3.07,7.36,21.54,87.07,12.47,22.41,1.70,-321.90,251.00,"746,246.93",20.89,19.84,12.65,4.84,12.20,ADVANC,SET,TECH,ICT
1Q2558,"40,744.09",8.47,4.39,"9,896.68",3.33,7.47,23.04,88.12,11.48,24.29,2.55,-321.28,237.00,"704,623.59",19.55,15.07,15.72,5.06,11.44,ADVANC,SET,TECH,ICT
2Q2558,"38,296.30",-0.60,16.14,"9,845.56",3.31,7.31,22.39,86.85,12.73,25.71,1.67,-324.23,240.00,"713,542.88",19.58,18.32,13.10,5.00,11.09,ADVANC,SET,TECH,ICT
3Q2558,"37,041.00",-12.41,-3.68,"8,614.11",2.90,6.59,19.78,86.07,13.22,23.26,2.42,-323.30,226.00,"671,919.54",17.76,13.77,16.41,5.31,10.54,ADVANC,SET,TECH,ICT
4Q2558,"39,933.87",25.23,18.27,"10,798.50",3.63,6.91,24.91,85.49,14.13,27.04,2.75,-322.42,152.00,"451,910.49",12.06,11.87,12.81,7.89,8.03,ADVANC,SET,TECH,ICT
1Q2559,"37,397.70",-25.08,-18.32,"8,072.53",2.72,4.30,18.82,77.96,21.65,21.59,4.19,-295.45,182.00,"541,103.35",13.82,11.19,16.27,7.14,10.22,ADVANC,SET,TECH,ICT
2Q2559,"36,630.84",18.49,-2.63,"9,596.18",3.22,4.13,22.80,81.96,17.63,26.20,4.77,-298.08,158.00,"469,749.06",12.58,12.64,12.50,8.22,10.31,ADVANC,SET,TECH,ICT
3Q2559,"37,228.03",-31.83,-24.22,"6,546.81",2.20,2.41,15.75,80.14,19.50,17.59,6.49,-291.35,160.00,"475,695.25",12.83,10.17,15.73,8.12,10.92,ADVANC,SET,TECH,ICT
4Q2559,"41,461.43",-1.23,-40.23,"6,474.11",2.17,2.37,16.40,80.46,19.20,15.61,5.45,-293.59,147.00,"437,045.01",12.49,12.11,12.14,8.84,10.67,ADVANC,SET,TECH,ICT
1Q2560,"39,064.94",19.35,-4.78,"7,692.38",2.59,2.77,19.14,85.55,13.92,19.69,6.41,-330.79,178.00,"529,210.97",17.26,12.43,14.32,5.66,11.58,ADVANC,SET,TECH,ICT
2Q2560,"39,250.73",-6.56,-24.91,"7,214.94",2.42,2.57,17.49,82.49,17.07,18.38,5.27,-349.61,177.50,"527,724.42",17.42,14.07,12.62,5.68,11.50,ADVANC,SET,TECH,ICT
3Q2560,"38,699.72",4.13,14.70,"7,468.60",2.52,2.66,17.22,82.64,17.05,19.30,5.68,-367.78,191.00,"567,861.21",20.35,12.69,15.05,5.28,11.73,ADVANC,SET,TECH,ICT
4Q2560,"41,456.40",2.78,19.35,"7,702.01",2.59,2.73,16.69,84.11,15.29,18.58,4.63,-395.43,191.00,"567,861.21",19.69,13.59,14.06,5.28,11.08,ADVANC,SET,TECH,ICT
1Q2561,"41,241.65",4.38,4.38,"8,048.13",2.70,2.82,16.35,83.89,15.36,19.51,4.97,,208.00,"618,403.83",20.56,12.29,16.93,3.40,11.64,ADVANC,SET,TECH,ICT
2Q2561,"42,383.63",-0.25,11.43,"8,024.02",2.70,2.82,15.42,85.01,14.62,18.93,4.04,,185.00,"550,022.64",18.08,11.53,16.05,3.83,10.28,ADVANC,SET,TECH,ICT
3Q2561,"42,302.93",-15.45,-9.52,"6,801.38",2.28,2.37,12.73,83.48,16.06,16.08,4.73,,201.00,"597,592.16",19.15,10.72,18.74,3.52,11.06,ADVANC,SET,TECH,ICT
4Q2561,"44,788.47",1.03,-11.06,"6,840.57",2.30,2.35,12.61,83.99,15.56,15.27,4.04,,172.50,"512,858.94",16.79,10.12,17.04,4.10,9.87,ADVANC,SET,TECH,ICT
1Q2562,"43,516.54",10.70,-5.67,"7,571.02",2.55,2.58,13.23,85.02,14.39,17.40,4.23,,184.00,"547,049.54",18.43,9.51,19.35,3.85,10.25,ADVANC,SET,TECH,ICT
2Q2562,"44,243.03",1.96,-3.58,"7,754.45",2.60,2.65,12.79,83.71,15.93,17.53,3.46,,218.00,"648,152.94",22.19,11.44,19.05,3.25,11.46,ADVANC,SET,TECH,ICT
3Q2562,"44,895.97",13.85,29.82,"8,801.28",2.96,3.08,13.90,85.53,14.10,19.60,3.57,,220.00,"654,099.30",22.58,10.16,21.66,3.22,11.01,ADVANC,SET,TECH,ICT
4Q2562,"49,084.64",-19.59,3.32,"7,065.77",2.38,2.47,10.75,82.95,16.50,14.40,3.17,,213.00,"633,287.05",20.45,10.22,20.84,3.32,10.50,ADVANC,SET,TECH,ICT
1Q2563,"43,072.26",-4.51,-10.88,"6,756.96",2.27,2.03,10.07,84.91,14.56,15.69,4.79,,201.00,"597,608.91",,,,3.65,10.59,ADVANC,SET,TECH,ICT
2Q2563,"42,531.92",3.73,-9.33,"7,000.55",2.36,1.88,10.26,85.18,14.17,16.46,4.13,,185.00,"550,107.55",18.11,8.51,21.74,3.97,9.52,ADVANC,SET,TECH,ICT
3Q2563,"42,252.60",-7.10,-26.01,"6,514.75",2.19,1.80,9.29,84.51,14.22,15.42,4.16,,171.00,"508,477.79",17.17,7.10,24.07,4.29,8.94,ADVANC,SET,TECH,ICT
4Q2563,"45,863.53",10.05,1.26,"7,165.00",2.41,2.04,9.93,87.32,13.14,15.62,3.63,,176.00,"523,345.56",19.15,7.64,23.04,4.17,8.63,ADVANC,SET,TECH,ICT
1Q2564,"46,083.67",-7.47,-1.88,"6,644.52",2.23,1.86,9.02,87.60,11.92,14.42,4.08,,173.50,"515,911.67",18.81,6.83,25.41,3.99,8.76,ADVANC,SET,TECH,ICT
2Q2564,"43,381.07",6.28,0.54,"7,041.26",2.37,1.92,9.37,86.70,11.86,16.23,3.70,,171.00,"508,541.31",18.61,7.11,24.06,4.05,8.62,ADVANC,SET,TECH,ICT
3Q2564,"42,555.36",-9.28,-1.83,"6,374.62",2.15,1.76,8.30,87.28,12.30,14.98,3.76,,196.00,"582,889.46",21.30,7.42,26.41,3.53,9.35,ADVANC,SET,TECH,ICT
4Q2564,"50,585.43",6.98,-4.56,"6,864.07",2.30,1.93,8.76,87.99,11.52,13.57,3.35,,230.00,"684,002.93",25.13,9.15,25.12,3.01,10.29,ADVANC,SET,TECH,ICT
1Q2565,"45,488.15",-7.83,-4.93,"6,311.54",2.12,1.77,8.01,87.37,12.17,13.88,3.70,,233.00,"692,924.71",,,,3.30,10.41,ADVANC,SET,TECH,ICT
2Q2565,"45,553.74",0.00,-10.55,"6,305.71",2.12,1.79,7.97,86.89,12.49,13.84,3.24,,194.50,"578,483.79",21.76,7.65,25.44,3.95,9.20,ADVANC,SET,TECH,ICT
3Q2565,"46,341.90",-4.25,-5.58,"6,032.66",2.03,1.74,7.51,87.61,12.16,13.02,3.42,,194.50,"579,970.90",22.43,7.05,27.66,3.94,9.30,ADVANC,SET,TECH,ICT
