,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,"2,302.17",-39.44,-3.23,225.74,0.90,0.55,3.49,,,9.81,5.27,,34.00,"8,500.00",8.86,1.36,24.93,6.18,,AEONTS,SET,FINCIAL,FIN
2Q2555,"2,367.55",13.33,50.00,253.97,1.02,0.60,3.79,,,10.73,5.40,,33.00,"8,250.00",8.66,1.23,26.86,6.36,,AEONTS,SET,FINCIAL,FIN
3Q2555,"2,384.79",,,-520.09,-2.08,-1.20,-8.24,,,-21.81,6.36,,30.00,"7,500.00",7.23,1.12,26.82,7.00,,AEONTS,SET,FINCIAL,FIN
4Q2555,"2,482.26",,-46.07,201.49,0.80,0.46,3.34,,,8.12,6.12,,29.25,"7,312.50",22.08,1.23,23.70,7.18,,AEONTS,SET,FINCIAL,FIN
1Q2556,"2,606.07",43.18,27.51,286.90,1.15,0.64,4.58,,,11.01,6.08,,30.00,"7,500.00",46.56,1.22,24.50,7.00,,AEONTS,SET,FINCIAL,FIN
2Q2556,"2,695.52",28.30,44.35,368.56,1.47,0.80,5.70,,,13.67,6.08,,42.00,"10,500.00",47.25,1.64,25.65,5.00,,AEONTS,SET,FINCIAL,FIN
3Q2556,"2,811.85",32.44,,555.07,1.95,1.17,8.39,,,19.74,6.22,,73.00,"18,250.00",54.18,2.80,26.08,2.88,,AEONTS,SET,FINCIAL,FIN
4Q2556,"3,001.20",11.79,171.99,545.90,2.18,1.10,7.81,,,18.19,6.03,,102.50,"25,625.00",19.07,3.81,26.87,2.05,,AEONTS,SET,FINCIAL,FIN
1Q2557,"3,193.61",4.13,97.81,568.66,2.27,1.09,7.54,,,17.81,5.78,,109.50,"27,375.00",16.21,3.77,29.03,2.74,,AEONTS,SET,FINCIAL,FIN
2Q2557,"3,521.68",20.74,86.14,684.05,2.74,1.26,8.62,,,19.42,5.94,,71.75,"17,937.50",9.10,2.29,31.30,4.18,,AEONTS,SET,FINCIAL,FIN
