,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,366.50,-12.07,,8.23,0.18,0.74,0.81,95.13,2.55,2.24,0.13,"2,123.12",0.00,389.66,6.99,0.38,22.76,0.00,5.43,AFC,SET,CONSUMP,FASHION
2Q2555,341.59,,,-18.45,-0.40,-1.68,-1.86,92.81,3.34,-5.40,0.09,"2,439.09",0.00,378.27,5.61,0.38,21.92,0.00,6.99,AFC,SET,CONSUMP,FASHION
3Q2555,389.48,3.75,,-17.74,-0.39,-1.66,-1.83,95.81,2.69,-4.55,0.12,"2,558.79",0.00,355.48,9.85,0.36,21.51,0.00,-288.84,AFC,SET,CONSUMP,FASHION
4Q2555,310.62,,-43.65,5.26,0.12,0.49,0.54,94.60,3.21,1.69,0.10,"2,667.29",6.50,296.23,N/A,0.31,21.13,0.00,-42.04,AFC,SET,CONSUMP,FASHION
1Q2556,332.23,24.77,-20.04,6.56,0.14,0.61,0.67,95.88,2.72,1.97,0.10,"2,294.91",7.80,355.48,N/A,0.37,21.27,0.00,-35.75,AFC,SET,CONSUMP,FASHION
2Q2556,255.28,36.24,,8.78,0.20,0.81,0.89,94.61,3.28,3.44,0.10,"2,181.37",8.00,364.59,N/A,0.37,21.44,0.00,25.11,AFC,SET,CONSUMP,FASHION
3Q2556,303.13,,74.31,-4.46,-0.10,-0.41,-0.45,96.04,2.78,-1.47,0.10,"2,219.24",8.50,387.38,135.42,0.39,21.66,0.00,13.10,AFC,SET,CONSUMP,FASHION
4Q2556,209.16,45.29,,-2.43,-0.05,-0.23,-0.25,93.04,3.54,-1.16,0.09,"2,516.48",0.00,355.48,22.03,0.36,21.57,0.00,22.26,AFC,SET,CONSUMP,FASHION
1Q2557,255.95,,-93.05,0.33,0.01,0.03,0.03,94.10,2.97,0.13,0.13,"2,849.52",0.00,314.46,37.24,0.32,21.55,0.00,35.95,AFC,SET,CONSUMP,FASHION
2Q2557,243.76,"1,446.40",-21.13,7.17,0.15,0.65,0.75,94.26,3.70,2.94,0.20,"2,956.85",0.00,332.69,150.30,0.35,20.79,0.00,47.38,AFC,SET,CONSUMP,FASHION
3Q2557,333.52,-31.87,,4.61,0.11,0.40,0.48,94.88,2.96,1.38,0.23,"3,083.42",0.00,328.13,542.84,0.34,20.97,0.00,26.72,AFC,SET,CONSUMP,FASHION
4Q2557,298.47,-63.38,,1.95,0.04,0.16,0.19,89.91,5.97,0.65,0.15,"2,600.32",7.35,334.97,34.60,0.35,21.05,0.00,20.16,AFC,SET,CONSUMP,FASHION
1Q2558,242.70,,,-13.03,-0.29,-1.03,-1.21,93.43,4.11,-5.37,0.18,"2,349.72",12.10,551.45,39.21,0.51,23.80,0.00,82.45,AFC,SET,CONSUMP,FASHION
2Q2558,229.94,5.58,,-12.67,-0.27,-1.02,-1.19,91.44,6.16,-5.51,0.14,"2,117.93",0.00,546.89,775.46,0.51,23.52,0.00,-44.46,AFC,SET,CONSUMP,FASHION
3Q2558,200.44,-54.42,,-19.27,-0.42,-1.58,-1.83,93.13,5.00,-9.61,0.18,"2,000.78",13.60,619.81,N/A,0.58,23.25,0.00,-18.72,AFC,SET,CONSUMP,FASHION
4Q2558,205.07,62.37,,-7.25,-0.16,-0.60,-0.70,92.99,5.37,-3.54,0.15,"2,029.40",0.00,578.79,N/A,0.56,22.85,0.00,-13.39,AFC,SET,CONSUMP,FASHION
1Q2559,203.00,,,3.18,0.07,0.27,0.31,93.61,4.97,1.57,0.16,"1,998.47",0.00,519.55,N/A,0.50,22.79,0.00,-18.18,AFC,SET,CONSUMP,FASHION
2Q2559,174.31,,9.67,-11.27,-0.25,-0.95,-1.09,91.84,6.50,-6.47,0.14,"1,944.40",8.65,394.22,N/A,0.38,22.87,0.00,-13.88,AFC,SET,CONSUMP,FASHION
3Q2559,182.37,,,1.09,0.02,0.09,0.11,93.75,5.43,0.60,0.15,"1,798.76",8.60,391.94,N/A,0.38,22.62,0.00,-44.65,AFC,SET,CONSUMP,FASHION
4Q2559,209.48,,31.73,-4.95,-0.11,-0.42,-0.48,93.40,5.33,-2.36,0.15,"1,577.29",9.10,414.73,N/A,0.40,22.65,0.00,-48.84,AFC,SET,CONSUMP,FASHION
1Q2560,186.63,,80.34,5.74,0.13,0.48,0.56,93.30,5.27,3.07,0.15,"1,362.01",8.75,398.77,N/A,0.39,22.58,0.00,-64.65,AFC,SET,CONSUMP,FASHION
2Q2560,194.53,-61.52,,2.21,0.05,0.18,0.21,92.45,5.74,1.14,0.15,"1,238.29",8.00,364.59,N/A,0.35,22.71,0.00,53.56,AFC,SET,CONSUMP,FASHION
3Q2560,232.85,221.40,549.92,7.10,0.16,0.59,0.68,94.59,4.25,3.05,0.16,"1,164.89",9.10,414.73,101.46,0.40,22.76,0.00,36.62,AFC,SET,CONSUMP,FASHION
4Q2560,209.05,,-35.81,-6.72,-0.15,-0.51,-0.60,94.09,4.84,-3.22,0.17,"1,237.69",8.85,403.33,39.96,0.39,22.93,0.00,47.48,AFC,SET,CONSUMP,FASHION
1Q2561,238.14,86.45,,-0.91,-0.02,-0.06,-0.08,94.79,4.47,-0.38,0.24,"1,143.17",8.75,398.77,47.93,0.33,26.52,0.00,162.23,AFC,SET,CONSUMP,FASHION
2Q2561,244.06,,39.55,3.08,0.07,0.21,0.25,93.27,5.12,1.26,0.20,"1,084.65",0.00,410.17,245.56,0.34,26.51,0.00,133.54,AFC,SET,CONSUMP,FASHION
3Q2561,243.78,,,-7.05,-0.15,-0.49,-0.58,94.67,4.40,-2.89,0.19,991.87,9.15,417.00,163.95,0.34,26.58,0.00,-55.14,AFC,SET,CONSUMP,FASHION
4Q2561,277.01,,,4.45,0.10,0.31,0.37,93.64,4.34,1.61,0.16,911.11,8.30,378.27,N/A,0.31,26.44,0.00,264.87,AFC,SET,CONSUMP,FASHION
1Q2562,238.89,27.01,,5.65,0.12,0.40,0.46,95.27,3.92,2.37,0.18,"1,033.73",0.00,417.00,N/A,0.34,26.71,0.00,70.71,AFC,SET,CONSUMP,FASHION
2Q2562,226.94,,,-16.13,-0.35,-1.14,-1.33,94.05,4.77,-7.11,0.15,"1,015.38",0.00,414.73,67.59,0.34,26.84,0.00,-45.48,AFC,SET,CONSUMP,FASHION
3Q2562,197.52,58.03,3.96,-6.77,-0.15,-0.49,-0.56,94.34,4.75,-3.43,0.16,"1,069.05",8.80,401.05,N/A,0.33,26.50,0.00,-49.30,AFC,SET,CONSUMP,FASHION
4Q2562,206.80,42.72,,-3.88,-0.09,-0.28,-0.32,93.97,4.67,-1.88,0.17,"1,174.36",8.05,366.87,N/A,0.31,26.37,0.00,-25.61,AFC,SET,CONSUMP,FASHION
1Q2563,151.18,-193.81,,-11.31,-0.25,-0.81,-0.95,91.79,5.47,-7.48,0.18,"1,227.99",6.90,314.46,N/A,0.26,26.18,0.00,-12.10,AFC,SET,CONSUMP,FASHION
2Q2563,145.73,-92.00,-35.61,-21.95,-0.48,-1.60,-1.87,92.15,6.42,-15.06,0.16,"1,331.62",6.50,296.23,N/A,0.25,25.93,0.00,-9.94,AFC,SET,CONSUMP,FASHION
3Q2563,197.22,,,1.20,0.03,0.09,0.10,92.47,4.63,0.61,0.18,"1,252.15",0.00,273.45,,,,0.00,-11.99,AFC,SET,CONSUMP,FASHION
4Q2563,90.59,,-182.05,-10.67,-0.24,-0.75,-0.92,91.80,8.69,-11.78,0.26,"1,314.48",0.00,289.40,N/A,0.25,25.50,0.00,-11.75,AFC,SET,CONSUMP,FASHION
1Q2564,141.51,87.50,88.00,-1.54,-0.03,-0.11,-0.13,88.55,6.19,-1.09,0.19,"1,280.58",0.00,284.84,N/A,0.24,25.56,0.00,-15.28,AFC,SET,CONSUMP,FASHION
2Q2564,140.80,66.67,97.92,-0.46,-0.01,-0.03,-0.04,88.51,7.21,-0.32,0.18,"1,297.41",0.00,268.89,N/A,0.23,25.46,0.00,-48.11,AFC,SET,CONSUMP,FASHION
3Q2564,253.73,,"1,600.00",23.58,0.51,1.69,2.02,91.54,5.80,9.29,0.21,"1,148.77",6.65,303.07,N/A,0.26,25.34,0.00,35.42,AFC,SET,CONSUMP,FASHION
4Q2564,246.48,7.84,,24.75,0.55,1.72,2.08,91.34,5.73,10.04,0.21,"1,043.30",9.35,426.12,61.97,0.36,25.74,0.00,11.68,AFC,SET,CONSUMP,FASHION
2Q2565,494.45,-80.36,,4.94,0.11,0.33,0.41,92.32,6.26,1.00,0.24,810.06,11.00,501.32,11.31,0.42,26.23,0.00,11.96,AFC,SET,CONSUMP,FASHION
3Q2565,260.43,62.04,-65.69,7.96,0.17,0.52,0.66,92.11,5.59,3.06,0.27,912.06,9.45,430.68,,,,0.00,10.01,AFC,SET,CONSUMP,FASHION
