,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,"3,172.96",,7.66,101.45,0.42,0.82,2.43,85.05,9.58,3.20,2.12,-329.81,13.80,"3,125.90",N/A,0.93,14.84,0.00,27.23,AH,SET,INDUS,AUTO
2Q2555,"4,049.89",194.27,461.62,275.96,1.24,2.04,6.28,94.91,2.26,6.81,2.04,-464.12,14.30,"3,239.15",N/A,0.94,15.27,1.33,17.04,AH,SET,INDUS,AUTO
3Q2555,"4,559.77",-39.74,24.40,172.22,0.74,1.23,3.77,87.95,6.42,3.78,2.08,-452.73,21.70,"4,915.36",N/A,1.31,16.50,0.88,16.05,AH,SET,INDUS,AUTO
4Q2555,"5,028.47",121.61,,374.22,1.65,2.68,7.87,94.38,2.66,7.44,1.80,-756.30,20.10,"4,552.94",N/A,1.21,16.58,0.94,6.54,AH,SET,INDUS,AUTO
1Q2556,"4,685.18",-39.78,136.67,283.76,0.99,2.05,5.61,91.85,5.10,6.06,1.68,-820.28,27.25,"6,172.51",9.33,1.78,14.90,2.26,6.50,AH,SET,INDUS,AUTO
2Q2556,"4,047.30",-32.95,-46.07,189.45,0.67,1.37,3.59,91.50,4.92,4.68,1.57,-657.66,19.40,"5,436.34",4.94,1.07,18.81,3.07,6.20,AH,SET,INDUS,AUTO
3Q2556,"3,927.10",-32.46,-39.56,149.97,0.45,1.11,2.78,91.62,5.46,3.82,1.44,-678.63,16.60,"5,354.89",5.31,1.03,16.19,3.12,6.20,AH,SET,INDUS,AUTO
4Q2556,"4,338.79",,,11.19,-0.06,0.09,0.21,72.92,4.75,0.26,1.30,-523.80,14.60,"4,709.72",4.79,0.89,16.32,3.55,6.63,AH,SET,INDUS,AUTO
1Q2557,"3,691.61",,-52.70,154.02,0.47,1.22,2.78,92.13,4.70,4.17,1.26,-466.49,12.80,"4,129.07",6.76,0.78,16.45,3.83,6.96,AH,SET,INDUS,AUTO
2Q2557,"3,868.67",-31.91,-51.97,107.19,0.32,0.85,1.90,88.35,5.58,2.77,1.23,-384.24,16.20,"5,225.86",10.78,0.96,16.83,3.02,8.22,AH,SET,INDUS,AUTO
3Q2557,"4,038.79",-21.88,-44.44,92.28,0.25,0.74,1.63,92.26,4.37,2.28,1.15,-396.26,16.30,"5,258.12",13.20,0.96,17.03,3.01,8.39,AH,SET,INDUS,AUTO
