,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,284.94,2.64,111.82,29.15,2.33,2.81,3.30,92.64,5.52,10.23,0.17,-158.54,106.00,"1,325.00",13.02,1.53,69.36,3.30,6.28,AHC,SET,SERVICE,HELTH
2Q2555,320.17,,,49.33,-1.70,4.66,5.44,92.78,5.37,15.41,0.17,-149.36,14.10,"1,762.50",15.05,1.96,7.20,2.48,7.05,AHC,SET,SERVICE,HELTH
3Q2555,350.86,,-87.01,54.37,0.43,4.92,5.76,93.69,4.70,15.50,0.18,-143.29,21.00,"2,625.00",17.71,2.88,7.30,1.67,9.94,AHC,SET,SERVICE,HELTH
4Q2555,330.33,-25.58,-85.90,39.51,0.32,3.39,3.97,93.65,4.68,11.96,0.16,-139.98,21.40,"2,675.00",16.59,2.75,7.79,1.64,9.58,AHC,SET,SERVICE,HELTH
1Q2556,328.49,0.00,-86.27,40.06,0.32,3.27,3.83,92.43,5.60,12.20,0.18,-142.26,28.75,"3,593.75",20.85,3.53,8.14,2.09,12.36,AHC,SET,SERVICE,HELTH
2Q2556,340.90,-28.13,,43.09,0.23,3.45,4.07,91.44,6.75,12.64,0.18,-144.03,25.00,"3,747.73",20.45,3.49,7.17,2.00,13.56,AHC,SET,SERVICE,HELTH
3Q2556,377.03,82.61,-2.33,62.11,0.42,4.97,5.85,92.96,5.49,16.47,0.17,-137.14,21.00,"3,148.09",17.78,3.03,6.94,2.38,10.92,AHC,SET,SERVICE,HELTH
4Q2556,349.04,-28.57,-6.25,45.24,0.30,3.51,4.09,92.73,5.46,12.96,0.16,-132.97,19.40,"2,908.24",15.74,2.68,7.24,2.58,9.77,AHC,SET,SERVICE,HELTH
1Q2557,377.27,0.00,-6.25,45.20,0.30,3.34,3.92,93.47,4.47,11.98,0.19,-146.87,20.50,"3,073.14",16.13,2.73,7.51,3.12,9.90,AHC,SET,SERVICE,HELTH
2Q2557,362.17,-20.00,4.35,36.20,0.24,2.61,3.13,91.75,6.16,9.99,0.21,-155.44,32.75,"4,909.53",25.10,4.17,7.86,1.95,16.85,AHC,SET,SERVICE,HELTH
3Q2557,404.99,70.83,-2.38,60.62,0.41,4.30,5.17,93.58,4.54,14.97,0.20,-168.38,31.00,"4,647.19",24.62,4.09,7.58,2.06,16.49,AHC,SET,SERVICE,HELTH
4Q2557,380.09,-36.59,-13.33,39.67,0.26,2.74,3.24,93.17,5.00,10.44,0.17,-173.17,28.50,"4,272.41",22.82,3.54,8.05,2.25,15.50,AHC,SET,SERVICE,HELTH
