,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,"1,160.29",757.43,47.05,88.89,0.18,2.70,6.00,93.81,5.56,7.66,1.14,"1,308.16",3.14,"1,570.00",35.93,1.11,2.84,7.96,13.80,AI,SET,RESOURC,ENERG
2Q2555,"1,150.10",-64.28,,31.51,0.06,0.96,2.11,94.98,4.57,2.74,1.26,"1,108.70",3.66,"1,830.00",25.45,1.21,3.02,6.83,12.59,AI,SET,RESOURC,ENERG
3Q2555,"1,022.41",154.66,,80.70,0.16,2.33,5.42,94.99,4.66,7.89,1.40,908.70,6.80,"3,400.00",28.31,2.32,2.93,3.68,14.23,AI,SET,RESOURC,ENERG
4Q2555,"1,012.23",,,-12.49,-0.02,-0.34,-0.83,95.29,4.51,-1.23,1.46,925.16,6.70,"3,350.00",15.99,2.24,2.99,3.73,14.19,AI,SET,RESOURC,ENERG
1Q2556,"1,301.32",,-0.06,89.08,0.18,2.50,5.70,96.59,3.22,6.85,1.11,"1,031.01",14.90,"7,450.00",39.17,5.01,2.97,3.02,22.92,AI,SET,RESOURC,ENERG
2Q2556,"1,380.51",58.23,342.74,139.68,0.28,4.06,8.63,94.72,4.85,10.12,1.14,938.92,15.90,"7,950.00",41.81,4.89,3.25,2.83,19.30,AI,SET,RESOURC,ENERG
3Q2556,"1,106.88",11.46,93.79,156.15,0.31,4.43,9.28,95.43,4.09,14.11,1.05,810.82,14.50,"7,250.00",24.31,4.57,3.18,3.10,15.82,AI,SET,RESOURC,ENERG
4Q2556,"1,274.94",,"-1,132.35",-120.74,-0.25,-3.06,-4.44,95.96,3.64,-9.47,0.16,659.02,14.40,"7,200.00",19.31,4.13,3.49,3.13,11.68,AI,SET,RESOURC,ENERG
1Q2557,"1,549.04",,30.93,149.91,0.23,3.68,4.61,96.59,3.05,9.68,0.37,778.30,13.00,"6,500.00",25.03,2.68,4.86,15.38,10.61,AI,SET,RESOURC,ENERG
2Q2557,"1,409.42",-83.07,-85.99,42.96,0.04,1.08,1.51,96.16,3.37,3.05,0.43,"1,060.53",12.80,"6,400.00",22.30,4.14,3.09,15.63,12.16,AI,SET,RESOURC,ENERG
3Q2557,"1,210.89",2.30,-87.14,15.70,0.04,0.40,0.55,95.59,3.92,1.30,0.35,"1,209.41",11.60,"5,800.00",34.26,3.70,3.13,17.24,13.60,AI,SET,RESOURC,ENERG
4Q2557,"1,410.07",575.00,,116.36,0.27,3.07,4.03,94.21,5.03,8.25,0.27,"1,040.96",8.90,"4,450.00",139.17,2.90,3.07,22.47,9.21,AI,SET,RESOURC,ENERG
1Q2558,929.82,,,-60.59,-0.07,-1.67,-2.08,93.49,5.89,-6.52,0.22,896.96,8.90,"4,450.00",15.25,2.19,4.06,1.62,15.10,AI,SET,RESOURC,ENERG
2Q2558,"1,130.26",,81.59,23.81,0.07,0.66,0.82,95.31,4.21,2.11,0.28,783.99,0.00,"3,040.00",14.58,2.10,0.73,1.70,12.31,AI,SET,RESOURC,ENERG
3Q2558,"1,087.99",-73.24,-52.50,43.48,0.02,1.20,1.49,94.83,4.56,4.00,0.22,663.44,0.00,"3,040.00",14.58,2.10,0.73,1.70,10.90,AI,SET,RESOURC,ENERG
4Q2558,"1,233.82",110.53,-85.19,137.80,0.04,3.83,4.59,95.28,4.50,11.17,0.18,716.01,0.00,"3,040.00",14.58,2.10,0.73,1.70,11.26,AI,SET,RESOURC,ENERG
1Q2559,"1,414.86",-32.58,,84.98,0.03,2.24,2.73,95.76,4.00,6.01,0.26,684.80,0.00,"3,040.00",23.16,1.95,0.78,5.92,7.26,AI,SET,RESOURC,ENERG
2Q2559,"1,497.78",57.03,-40.35,137.58,0.04,3.55,4.44,96.66,3.10,9.19,0.24,627.50,0.00,,,,0.78,,,AI,SET,RESOURC,ENERG
3Q2559,"1,001.37",-58.04,-6.47,41.63,0.02,1.15,1.36,95.18,4.65,4.16,0.12,655.34,0.00,,,,0.78,,,AI,SET,RESOURC,ENERG
4Q2559,758.14,0.51,-55.35,46.95,0.02,1.34,1.51,92.70,6.11,6.19,0.13,687.68,0.00,,,,0.78,,,AI,SET,RESOURC,ENERG
1Q2560,762.64,-62.99,-75.49,-21.41,0.01,-0.60,-0.69,93.22,5.93,-2.81,0.16,662.74,0.00,,,,0.86,,,AI,SET,RESOURC,ENERG
