,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2560,,,,,,,,,,,0.48,,,,,,,,,AIMIRT,SET,PROPCON,PF&REIT
1Q2561,43.63,,,31.94,,1.41,2.04,,,73.20,0.42,,9.90,"1,534.50",,0.99,10.00,0.00,,AIMIRT,SET,PROPCON,PF&REIT
2Q2561,43.89,,,31.15,,1.39,1.97,,,70.98,0.42,,9.95,"1,542.25",,0.97,10.21,0.00,,AIMIRT,SET,PROPCON,PF&REIT
3Q2561,43.96,,,196.41,,8.44,11.77,,,446.84,0.37,,10.80,"1,674.00",,1.06,10.22,0.00,,AIMIRT,SET,PROPCON,PF&REIT
4Q2561,44.27,,,31.21,,1.27,1.78,,,70.50,0.44,,10.20,"1,581.00",,0.90,11.30,0.00,,AIMIRT,SET,PROPCON,PF&REIT
1Q2562,46.64,,,31.62,,1.26,1.80,,,67.80,0.44,,11.20,"1,736.00",,0.99,11.31,6.85,,AIMIRT,SET,PROPCON,PF&REIT
2Q2562,46.58,,,31.45,,1.25,1.79,,,67.53,0.43,,12.50,"1,937.50",,1.10,11.32,6.14,,AIMIRT,SET,PROPCON,PF&REIT
3Q2562,102.32,,,141.23,,3.03,4.19,,,138.03,0.36,,15.10,"6,436.38",,1.33,11.34,1.85,,AIMIRT,SET,PROPCON,PF&REIT
4Q2562,142.50,,,182.04,,2.66,3.61,,,127.75,0.36,,13.40,"5,711.75",,1.15,11.68,2.08,,AIMIRT,SET,PROPCON,PF&REIT
1Q2563,142.47,,,94.66,,1.37,1.85,,,66.44,0.36,,10.40,"4,433.00",,0.87,11.97,4.77,,AIMIRT,SET,PROPCON,PF&REIT
2Q2563,142.49,,,99.51,,1.43,1.94,,,69.84,0.36,,13.00,"5,541.25",,1.08,11.99,3.81,,AIMIRT,SET,PROPCON,PF&REIT
3Q2563,147.35,,,115.32,,1.60,2.24,,,78.26,0.45,,13.30,"5,669.13",,1.11,12.02,3.73,,AIMIRT,SET,PROPCON,PF&REIT
4Q2563,153.94,,,104.33,,1.40,2.02,,,67.77,0.45,,13.00,"5,541.25",,1.08,12.08,3.81,,AIMIRT,SET,PROPCON,PF&REIT
1Q2564,155.89,,,104.92,,1.40,2.03,,,67.30,0.45,,11.90,"5,072.38",,0.98,12.11,7.12,,AIMIRT,SET,PROPCON,PF&REIT
2Q2564,159.13,,,100.60,,1.33,1.96,,,63.21,0.50,,12.00,"5,115.00",,0.99,12.14,5.34,,AIMIRT,SET,PROPCON,PF&REIT
3Q2564,196.13,,,127.80,,1.45,2.08,,,65.16,0.39,,13.00,"7,741.25",,1.09,11.93,4.66,,AIMIRT,SET,PROPCON,PF&REIT
4Q2564,213.23,,,154.47,,1.54,2.15,,,72.44,0.39,,13.40,"7,979.44",,1.11,12.07,4.53,,AIMIRT,SET,PROPCON,PF&REIT
1Q2565,211.78,,,142.12,,1.42,1.97,,,67.11,0.39,,12.90,"7,681.70",,,,5.87,,AIMIRT,SET,PROPCON,PF&REIT
2Q2565,217.45,,,141.73,,1.39,1.96,,,65.18,0.44,,12.00,"7,145.77",,0.99,12.12,6.31,,AIMIRT,SET,PROPCON,PF&REIT
3Q2565,218.63,,,254.70,,2.43,3.49,,,116.49,0.43,,12.00,"7,205.32",,1.00,12.14,6.26,,AIMIRT,SET,PROPCON,PF&REIT
