,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,"1,346.54",66.67,-91.94,39.31,0.10,0.65,1.15,93.41,5.49,2.92,0.76,-507.94,15.60,"6,231.25",7.09,1.83,8.53,4.49,12.11,AJ,SET,INDUS,PKG
2Q2555,"1,249.99",,,-23.65,-0.06,-0.40,-0.69,92.82,6.25,-1.89,0.72,-468.98,11.70,"4,673.44",10.02,1.36,8.63,5.98,17.90,AJ,SET,INDUS,PKG
3Q2555,"1,315.26",,38.10,114.43,0.29,1.97,3.33,93.30,5.48,8.70,0.65,-414.77,14.20,"5,672.04",39.81,1.68,8.47,4.93,19.52,AJ,SET,INDUS,PKG
4Q2555,"1,291.81",-48.28,150.00,59.91,0.15,1.01,1.70,92.40,6.65,4.64,0.72,-416.19,14.80,"5,911.70",36.65,1.69,8.76,4.73,19.00,AJ,SET,INDUS,PKG
1Q2556,"1,272.65",-40.00,-10.00,34.25,0.09,0.55,0.96,92.84,6.38,2.69,0.80,-329.23,13.70,"5,472.32",28.80,1.54,8.91,1.09,18.78,AJ,SET,INDUS,PKG
2Q2556,"1,219.76",,-117.35,-50.39,-0.13,-0.76,-1.42,92.41,6.66,-4.13,0.95,-325.54,9.30,"3,714.78",20.09,1.03,8.99,1.61,16.47,AJ,SET,INDUS,PKG
3Q2556,"1,546.85",,-79.46,23.79,0.06,0.34,0.68,93.28,5.84,1.54,1.08,-341.13,10.20,"4,074.28",25.75,1.17,8.72,1.47,22.65,AJ,SET,INDUS,PKG
4Q2556,"1,413.10",,,-105.63,-0.26,-1.43,-3.06,92.01,7.03,-7.47,1.22,-352.49,9.25,"3,694.81",54.69,1.05,8.78,1.62,38.18,AJ,SET,INDUS,PKG
1Q2557,"1,495.97",82.74,,-18.23,-0.05,-0.24,-0.54,93.62,5.85,-1.22,1.27,-360.53,9.95,"3,974.42",N/A,1.17,8.51,0.00,45.39,AJ,SET,INDUS,PKG
2Q2557,"1,659.64",,,13.71,0.04,0.18,0.40,93.11,6.21,0.83,1.34,-337.58,10.30,"4,114.22",N/A,1.22,8.47,0.00,32.99,AJ,SET,INDUS,PKG
3Q2557,"1,704.48",-88.77,-93.28,2.13,0.00,0.03,0.06,92.85,6.52,0.13,1.35,-302.69,11.00,"4,393.83",N/A,1.30,8.49,0.00,35.15,AJ,SET,INDUS,PKG
4Q2557,"1,596.64",,-132.19,-245.47,-0.61,-3.02,-7.50,92.23,7.24,-15.37,1.62,-259.80,8.85,"3,535.04",N/A,1.04,8.50,0.00,61.89,AJ,SET,INDUS,PKG
1Q2558,"1,321.19",,,1.73,0.00,0.02,0.05,91.94,7.09,0.13,1.55,-185.39,7.90,"3,155.57",N/A,1.00,7.88,0.00,45.25,AJ,SET,INDUS,PKG
2Q2558,"1,856.86",602.54,-14.62,12.15,0.03,0.15,0.38,92.50,6.54,0.65,1.56,-238.04,7.80,"3,115.63",N/A,0.99,7.89,0.00,40.89,AJ,SET,INDUS,PKG
3Q2558,"1,595.06",,,-2.68,-0.01,-0.03,-0.08,92.64,7.01,-0.17,1.56,-279.84,6.45,"2,576.38",N/A,0.81,7.92,0.00,35.72,AJ,SET,INDUS,PKG
4Q2558,"1,486.34",-177.01,96.98,-7.41,-0.02,-0.09,-0.23,90.94,7.79,-0.50,1.62,-331.76,6.00,"2,396.64",N/A,0.76,7.91,0.00,16.38,AJ,SET,INDUS,PKG
1Q2559,"1,595.18",-153.23,,-18.95,-0.05,-0.23,-0.60,91.47,7.33,-1.19,1.63,-368.63,6.35,"2,536.44",669.17,0.80,7.89,0.08,17.21,AJ,SET,INDUS,PKG
2Q2559,"1,811.36",96.04,,-0.57,-0.00,-0.01,-0.02,92.29,6.92,-0.03,1.62,-373.62,6.95,"2,776.10",N/A,0.89,7.84,0.07,17.99,AJ,SET,INDUS,PKG
3Q2559,"1,740.15",,,36.55,0.09,0.44,1.16,92.32,6.95,2.10,1.62,-327.77,7.55,"3,015.77",N/A,0.96,7.84,0.07,16.86,AJ,SET,INDUS,PKG
4Q2559,"1,824.50",185.12,,104.22,0.26,1.24,3.22,91.90,7.32,5.71,1.58,-256.41,11.40,"4,553.61",473.18,1.43,7.98,0.04,16.24,AJ,SET,INDUS,PKG
1Q2560,"2,075.70",-2.70,,101.40,0.25,1.18,3.03,92.89,6.15,4.89,1.58,-234.02,14.00,"5,592.15",46.12,1.70,8.24,1.43,15.17,AJ,SET,INDUS,PKG
2Q2560,"1,877.30",24.14,,125.97,0.32,1.45,3.71,91.74,6.80,6.71,1.52,-165.66,13.20,"5,272.60",21.82,1.55,8.49,1.52,12.32,AJ,SET,INDUS,PKG
3Q2560,"1,930.69",-26.70,152.43,92.01,0.23,1.09,2.69,93.08,6.13,4.77,1.43,-153.76,14.00,"5,592.15",15.19,1.65,8.51,1.43,11.65,AJ,SET,INDUS,PKG
4Q2560,"1,890.31",34.20,18.81,124.06,0.31,1.47,3.57,92.24,6.93,6.56,1.43,-154.03,12.00,"4,793.27",11.32,1.40,8.60,1.67,10.70,AJ,SET,INDUS,PKG
1Q2561,"1,875.09",-93.55,-92.12,9.12,0.02,0.11,0.26,92.98,6.40,0.49,1.42,-128.01,14.10,"5,632.09",12.70,1.60,8.79,4.68,12.87,AJ,SET,INDUS,PKG
2Q2561,"1,917.08",,,-10.11,-0.02,-0.12,-0.29,92.91,6.47,-0.53,1.67,-124.06,10.30,"4,114.22",11.72,1.17,8.81,6.41,14.19,AJ,SET,INDUS,PKG
3Q2561,"2,029.67",68.18,,-2.59,-0.01,-0.03,-0.08,93.71,5.83,-0.13,1.69,-156.09,10.00,"3,994.39",18.57,1.18,8.49,6.60,16.40,AJ,SET,INDUS,PKG
4Q2561,"1,995.46",,-80.97,21.57,0.06,0.24,0.63,92.86,6.40,1.08,1.67,-181.80,8.15,"3,255.43",27.02,0.96,8.48,8.10,18.27,AJ,SET,INDUS,PKG
1Q2562,"1,733.13",-55.93,30.00,10.37,0.03,0.12,0.30,92.84,6.63,0.60,1.56,-188.48,0.00,"3,115.63",173.25,0.91,8.54,0.38,17.08,AJ,SET,INDUS,PKG
