,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,83.45,,,9.74,0.03,4.12,6.33,83.44,16.50,11.67,0.59,,,,,,,,,AKP,mai,SERVICE,-
2Q2555,82.40,28.40,,12.19,0.04,4.65,7.39,99.45,0.39,14.79,0.59,,,,,,,,,AKP,mai,SERVICE,-
3Q2555,92.60,-4.83,,11.73,0.04,4.23,6.64,90.36,9.20,12.67,0.55,,,,,,,,,AKP,mai,SERVICE,-
4Q2555,105.37,22.26,,14.41,0.04,4.92,7.59,90.97,8.85,13.67,0.53,,,,,,,,,AKP,mai,SERVICE,-
1Q2556,103.41,-33.07,0.00,11.22,0.03,2.87,3.94,82.19,12.19,10.85,0.29,,3.94,"1,591.76",33.12,0.00,0.00,1.27,19.01,AKP,mai,SERVICE,-
2Q2556,111.44,-66.67,-74.04,3.43,0.01,0.70,0.94,87.70,11.84,3.08,0.40,,2.28,921.12,18.59,2.47,0.92,2.19,12.19,AKP,mai,SERVICE,-
3Q2556,134.13,200.00,-18.17,9.96,0.03,1.95,2.75,89.46,10.39,7.43,0.42,,2.00,808.00,19.81,2.27,0.88,2.50,9.94,AKP,mai,SERVICE,-
4Q2556,143.10,66.67,11.56,17.53,0.05,3.33,4.67,89.05,10.15,12.25,0.39,,1.73,698.92,17.91,1.91,0.91,2.89,7.39,AKP,mai,SERVICE,-
1Q2557,112.78,-40.00,0.00,11.94,0.03,2.26,3.06,88.86,11.10,10.58,0.32,,2.10,848.40,20.13,2.21,0.95,2.38,7.58,AKP,mai,SERVICE,-
2Q2557,145.36,33.33,300.00,15.91,0.04,2.98,4.04,87.74,9.76,10.95,0.39,,2.32,937.28,21.87,2.37,0.98,2.16,7.38,AKP,mai,SERVICE,-
3Q2557,153.60,-25.00,0.00,12.52,0.03,2.28,3.15,83.72,14.33,8.15,0.36,,3.62,"1,462.48",26.43,3.73,0.97,1.38,10.90,AKP,mai,SERVICE,-
4Q2557,136.24,-33.33,-60.00,8.64,0.02,1.57,2.12,86.27,11.29,6.34,0.33,,3.52,"1,422.08",24.56,3.52,1.00,1.42,11.23,AKP,mai,SERVICE,-
