,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2561,,,,,,,,,,,6.78,663.79,,,,,,,,ALL,mai,PROPCON,-
1Q2562,852.36,,,97.06,0.24,1.59,11.82,79.87,18.02,11.39,6.13,"1,036.92",,,,,,,,ALL,mai,PROPCON,-
2Q2562,839.58,-5.69,,116.01,0.22,1.80,9.04,75.42,21.16,13.82,2.94,"1,217.87",4.48,"2,508.80",7.04,,0.00,0.00,8.34,ALL,mai,PROPCON,-
3Q2562,647.44,4.68,,129.30,0.23,1.94,7.34,42.40,21.75,19.97,2.64,"1,379.81",4.14,"2,318.40",5.92,1.37,3.03,0.00,6.55,ALL,mai,PROPCON,-
4Q2562,578.83,23.33,,158.72,0.29,2.22,8.34,39.42,18.39,27.42,2.85,"2,334.22",3.98,"2,228.80",4.71,1.22,3.26,0.00,10.04,ALL,mai,PROPCON,-
1Q2563,678.77,-29.94,-14.68,113.11,0.20,1.42,5.55,72.22,19.64,16.66,2.96,"2,367.11",2.68,"1,500.80",3.00,0.76,3.54,3.73,9.34,ALL,mai,PROPCON,-
2Q2563,605.83,-10.47,-19.01,101.26,0.18,1.24,4.72,57.89,18.92,16.71,2.66,"2,638.09",4.00,"2,240.00",4.33,1.07,3.74,2.50,9.87,ALL,mai,PROPCON,-
3Q2563,307.32,-95.17,-96.26,4.89,0.01,0.06,0.22,65.50,26.62,1.59,2.71,"2,992.10",3.00,"1,680.00",3.34,0.77,3.92,0.00,10.98,ALL,mai,PROPCON,-
4Q2563,628.65,363.04,-85.96,22.66,0.04,0.28,1.02,82.05,14.99,3.60,2.66,"3,055.24",3.50,"1,960.00",5.19,0.89,3.93,0.00,13.58,ALL,mai,PROPCON,-
1Q2564,256.08,,,-71.83,-0.12,-0.88,-3.30,63.47,29.46,-28.05,2.86,"3,584.62",3.60,"2,217.53",9.17,1.00,3.62,1.26,22.96,ALL,mai,PROPCON,-
2Q2564,558.31,,-68.06,34.87,0.06,0.42,1.57,64.25,16.73,6.25,2.58,"3,857.61",3.12,"2,042.06",35.83,0.96,3.46,1.37,27.05,ALL,mai,PROPCON,-
3Q2564,244.91,,,-105.20,-0.16,-1.29,-4.65,61.30,25.80,-42.96,2.64,"4,086.59",2.82,"1,894.00",N/A,0.82,3.44,1.48,42.10,ALL,mai,PROPCON,-
1Q2565,220.16,29.02,1.20,-77.38,-0.12,-0.97,-3.74,65.05,25.55,-35.15,3.07,"4,576.40",2.80,"1,880.57",N/A,0.94,2.99,0.00,79.63,ALL,mai,PROPCON,-
2Q2565,310.19,53.58,,-154.34,-0.05,-1.99,-8.04,66.36,27.28,-49.76,3.01,"4,247.25",1.03,"1,546.70",N/A,0.75,1.43,0.00,176.31,ALL,mai,PROPCON,-
3Q2565,86.31,-106.94,31.81,-162.86,-0.11,-2.13,-8.54,8.07,77.15,-188.71,3.02,"4,462.25",0.74,"1,223.78",N/A,0.59,1.27,0.00,-51.20,ALL,mai,PROPCON,-
