,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,"1,113.96",41.30,-18.04,99.50,2.30,1.95,3.21,93.02,5.21,8.93,0.63,645.04,108.00,"4,665.60",10.27,1.53,70.49,5.56,6.08,ALUCON,SET,INDUS,PKG
2Q2555,"1,292.42",76.54,57.60,175.65,4.07,3.34,5.66,93.63,4.27,13.59,0.75,80.22,104.00,"4,492.80",10.40,1.43,72.79,5.77,5.67,ALUCON,SET,INDUS,PKG
3Q2555,"1,293.04",-11.94,2.60,154.74,3.58,2.86,4.93,92.88,4.42,11.97,0.70,-425.33,126.00,"5,443.20",10.97,1.78,70.86,4.76,6.24,ALUCON,SET,INDUS,PKG
4Q2555,"1,236.24",10.31,142.33,170.47,3.95,3.17,5.16,92.39,4.36,13.79,0.56,-365.05,130.50,"5,637.60",11.26,1.75,74.44,4.60,5.87,ALUCON,SET,INDUS,PKG
1Q2556,"1,368.42",12.41,92.78,191.82,4.44,3.48,5.51,92.98,4.26,14.02,0.60,0.83,165.00,"7,128.00",11.87,2.10,78.39,4.24,6.66,ALUCON,SET,INDUS,PKG
2Q2556,"1,311.60",-10.09,-1.82,172.44,3.99,3.01,4.91,93.09,4.61,13.15,0.67,-19.92,0.00,"6,868.80",9.92,1.92,82.83,4.40,6.72,ALUCON,SET,INDUS,PKG
3Q2556,"1,268.43",5.88,18.04,182.59,4.23,3.12,5.16,92.75,4.55,14.40,0.64,59.51,141.00,"6,091.20",8.83,1.77,79.82,4.96,6.12,ALUCON,SET,INDUS,PKG
4Q2556,"1,224.15",-27.49,-22.41,132.39,3.06,2.20,3.58,92.06,4.42,10.82,0.62,-434.38,144.00,"6,220.80",8.67,1.71,84.04,4.86,6.50,ALUCON,SET,INDUS,PKG
1Q2557,"1,425.71",57.57,8.76,208.61,4.83,3.36,5.39,91.40,5.93,14.63,0.59,-810.67,160.50,"6,933.60",10.21,1.84,87.11,4.98,6.85,ALUCON,SET,INDUS,PKG
2Q2557,"1,541.02",9.24,32.14,227.88,5.28,3.61,5.82,91.76,5.24,14.79,0.64,-785.84,0.00,"8,640.00",12.41,2.18,91.94,4.00,7.91,ALUCON,SET,INDUS,PKG
3Q2557,"1,505.46",-11.73,10.16,201.15,4.66,3.09,5.09,96.35,0.23,13.36,0.65,-492.44,190.00,"8,208.00",10.92,2.13,89.21,4.21,7.61,ALUCON,SET,INDUS,PKG
4Q2557,"1,342.15",-43.73,-14.51,113.09,2.62,1.67,2.75,90.27,5.77,8.43,0.64,158.95,0.00,"8,424.00",10.94,2.08,93.87,4.10,8.03,ALUCON,SET,INDUS,PKG
1Q2558,"1,477.63",31.48,-28.66,148.82,3.44,2.16,3.51,91.25,5.29,10.07,0.61,222.99,201.00,"8,683.20",11.57,2.08,96.49,4.98,8.44,ALUCON,SET,INDUS,PKG
2Q2558,"1,507.65",33.68,-12.70,198.94,4.60,2.87,4.74,91.58,5.19,13.20,0.69,280.12,204.00,"8,812.80",12.75,2.04,99.93,4.90,8.72,ALUCON,SET,INDUS,PKG
3Q2558,"1,428.83",1.85,0.73,202.59,4.69,2.96,4.84,95.14,1.92,14.18,0.58,393.78,0.00,"8,467.20",12.79,2.07,94.54,5.10,7.95,ALUCON,SET,INDUS,PKG
4Q2558,"1,538.14",10.90,98.53,224.72,5.20,3.36,5.11,89.63,7.74,14.61,0.46,-41.65,0.00,"8,596.80",12.96,2.00,99.43,5.03,6.99,ALUCON,SET,INDUS,PKG
1Q2559,"1,552.07",17.96,78.10,265.05,6.14,4.01,5.72,92.13,5.33,17.08,0.39,48.36,220.00,"9,504.00",12.26,2.11,104.23,4.55,6.63,ALUCON,SET,INDUS,PKG
2Q2559,"1,611.76",9.68,46.13,290.71,6.73,4.46,6.19,92.82,4.82,18.04,0.38,226.40,235.00,"10,152.00",11.39,2.13,110.37,4.26,6.65,ALUCON,SET,INDUS,PKG
3Q2559,"1,540.77",-9.43,29.95,263.30,6.09,4.06,5.54,92.38,4.94,17.09,0.34,-25.28,0.00,"11,534.40",11.73,2.49,107.10,3.75,7.05,ALUCON,SET,INDUS,PKG
4Q2559,"1,509.59",-4.84,11.51,250.75,5.80,3.85,5.01,96.32,0.79,16.61,0.26,386.63,260.00,"11,232.00",10.76,2.30,112.96,3.85,6.60,ALUCON,SET,INDUS,PKG
1Q2560,"1,603.06",-1.44,-6.82,246.96,5.72,3.76,4.70,92.24,4.93,15.41,0.24,719.50,310.00,"13,392.00",12.52,2.61,118.70,4.84,7.73,ALUCON,SET,INDUS,PKG
2Q2560,"1,586.70",-3.56,-18.07,238.29,5.51,3.61,4.61,93.99,2.90,15.02,0.32,"1,310.68",300.00,"12,960.00",12.32,2.41,124.42,5.00,8.07,ALUCON,SET,INDUS,PKG
3Q2560,"1,516.52",-44.50,-49.79,132.24,3.06,2.03,2.63,92.99,4.35,8.72,0.28,"1,785.76",297.00,"12,830.40",12.84,2.58,114.94,5.05,8.62,ALUCON,SET,INDUS,PKG
4Q2560,"1,572.72",25.82,-33.62,166.25,3.85,2.59,3.21,93.44,3.68,10.57,0.20,"1,483.72",260.00,"11,232.00",12.94,2.20,118.00,5.77,7.97,ALUCON,SET,INDUS,PKG
1Q2561,"1,632.99",-21.56,-47.17,130.31,3.02,2.03,2.44,93.13,4.01,7.98,0.20,"1,642.92",247.00,"10,670.40",13.61,2.02,122.02,4.45,8.30,ALUCON,SET,INDUS,PKG
2Q2561,"1,613.81",37.75,-24.55,180.03,4.16,2.79,3.43,92.72,4.23,11.16,0.26,"1,472.70",204.00,"8,812.80",13.21,1.63,125.03,5.39,7.58,ALUCON,SET,INDUS,PKG
3Q2561,"1,647.17",12.98,53.59,202.83,4.70,3.06,3.89,93.14,3.85,12.31,0.28,"1,599.99",178.50,"7,711.20",12.67,1.51,118.20,6.16,6.50,ALUCON,SET,INDUS,PKG
4Q2561,"1,600.82",1.70,24.16,206.50,4.78,3.04,3.81,93.25,3.95,12.90,0.22,"1,773.94",174.50,"7,538.40",11.10,1.42,122.90,6.30,5.97,ALUCON,SET,INDUS,PKG
1Q2562,"1,512.18",-21.76,23.84,161.39,3.74,2.36,2.87,93.25,4.07,10.67,0.21,"1,906.87",178.50,"7,711.20",10.71,1.39,128.31,5.60,5.57,ALUCON,SET,INDUS,PKG
2Q2562,"1,497.55",-30.48,-37.50,112.32,2.60,1.69,2.03,92.82,4.49,7.50,0.19,"1,924.49",173.00,"7,473.60",9.95,1.31,132.05,5.78,5.85,ALUCON,SET,INDUS,PKG
3Q2562,"1,342.76",12.31,-37.87,126.34,2.92,1.97,2.32,92.95,4.59,9.41,0.17,"1,806.49",165.00,"7,128.00",10.44,1.32,124.65,6.06,5.85,ALUCON,SET,INDUS,PKG
4Q2562,"1,291.17",4.79,-35.98,132.06,3.06,2.02,2.38,93.80,3.63,10.23,0.18,"1,755.15",154.00,"6,652.80",10.97,1.21,127.57,6.49,6.12,ALUCON,SET,INDUS,PKG
1Q2563,"1,482.80",104.90,67.65,270.87,6.27,4.00,4.72,93.48,4.27,18.27,0.18,"1,626.57",120.00,"5,184.00",,,,6.25,4.00,ALUCON,SET,INDUS,PKG
2Q2563,"1,322.79",-52.95,13.46,127.30,2.95,1.88,2.20,93.51,4.36,9.62,0.17,"1,663.26",141.00,"6,091.20",9.49,1.04,136.02,5.32,4.55,ALUCON,SET,INDUS,PKG
3Q2563,"1,075.44",5.76,6.85,135.07,3.12,2.03,2.35,92.11,5.69,12.56,0.15,"1,529.92",155.00,"6,696.00",10.20,1.18,131.46,4.84,5.10,ALUCON,SET,INDUS,PKG
4Q2563,"1,159.68",0.96,2.94,135.76,3.15,2.01,2.31,92.88,4.75,11.71,0.14,"1,394.09",170.00,"7,344.00",11.04,1.26,134.59,4.41,5.57,ALUCON,SET,INDUS,PKG
1Q2564,"1,389.71",43.44,-27.94,195.20,4.52,2.80,3.22,91.68,5.97,14.05,0.16,"1,228.63",181.00,"7,819.20",11.69,1.31,138.01,5.52,5.82,ALUCON,SET,INDUS,PKG
2Q2564,"1,416.37",2.73,57.34,200.58,4.64,2.85,3.32,91.32,5.94,14.16,0.17,"1,107.22",179.00,"7,732.80",13.03,1.26,142.53,5.59,5.73,ALUCON,SET,INDUS,PKG
3Q2564,"1,516.72",-3.05,44.23,194.40,4.50,2.74,3.23,91.49,5.61,12.82,0.18,"1,126.11",181.50,"7,840.80",11.76,1.32,137.18,5.51,5.59,ALUCON,SET,INDUS,PKG
4Q2564,"1,557.04",-41.30,-16.15,114.04,2.64,1.59,1.84,90.19,6.48,7.32,0.14,"1,168.67",183.00,"7,905.60",10.89,1.29,141.68,5.46,5.86,ALUCON,SET,INDUS,PKG
1Q2565,"1,783.72",17.32,-31.42,133.87,3.10,1.84,2.12,91.86,5.95,7.51,0.16,"1,298.03",195.00,"8,424.00",,,,5.13,6.75,ALUCON,SET,INDUS,PKG
2Q2565,"1,821.08",51.24,0.98,202.48,4.69,2.78,3.23,90.72,5.50,11.12,0.17,"1,465.73",0.00,"8,143.20",12.67,1.27,147.95,5.31,7.02,ALUCON,SET,INDUS,PKG
3Q2565,"1,850.94",12.39,17.06,227.57,5.27,3.13,3.63,92.25,5.01,12.29,0.15,"1,605.71",187.00,"8,078.40",12.53,1.31,142.64,5.35,6.45,ALUCON,SET,INDUS,PKG
