,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,946.50,-57.78,72.73,245.03,0.19,1.30,3.57,64.50,16.86,25.89,1.80,"2,609.53",16.70,"17,818.90",19.11,2.96,5.65,2.40,15.12,AMATA,SET,PROPCON,PROP
2Q2555,"1,278.10",-5.26,20.00,259.53,0.18,1.33,3.67,85.75,17.90,20.31,1.74,"2,488.62",15.60,"16,645.20",16.35,2.67,5.83,2.56,13.97,AMATA,SET,PROPCON,PROP
3Q2555,"1,386.61",127.78,156.25,519.62,0.41,2.50,6.64,81.13,16.54,37.47,1.60,"2,296.96",16.70,"17,818.90",17.10,2.90,5.76,2.40,12.97,AMATA,SET,PROPCON,PROP
4Q2555,"2,435.79",39.02,26.67,700.70,0.57,3.06,7.12,64.52,11.78,28.77,1.13,"2,345.87",16.20,"17,285.40",13.21,2.47,6.57,2.47,10.18,AMATA,SET,PROPCON,PROP
1Q2556,"1,174.44",-78.95,-36.84,190.35,0.12,0.84,1.88,75.16,21.16,16.21,1.37,"2,201.96",24.50,"26,141.50",18.10,2.95,8.30,2.24,13.79,AMATA,SET,PROPCON,PROP
2Q2556,"2,066.57",436.33,257.55,788.80,0.64,3.59,8.50,83.47,14.02,38.17,1.36,"2,124.97",18.20,"19,419.40",14.10,2.61,6.97,3.02,9.41,AMATA,SET,PROPCON,PROP
3Q2556,"2,392.62",-8.88,43.03,705.53,0.59,3.18,7.17,84.86,12.23,29.49,1.15,"1,981.88",17.50,"18,672.50",9.99,2.39,7.32,3.14,8.15,AMATA,SET,PROPCON,PROP
4Q2556,"1,872.45",-88.06,-87.72,243.82,0.07,1.11,2.39,68.65,21.89,13.02,1.18,"1,759.71",13.80,"14,724.60",7.16,1.75,7.91,3.99,8.79,AMATA,SET,PROPCON,PROP
1Q2557,"2,071.93",485.71,241.67,543.97,0.41,2.44,5.21,83.31,14.37,26.25,1.10,"1,761.36",14.80,"15,791.60",10.42,1.90,7.80,3.38,7.63,AMATA,SET,PROPCON,PROP
2Q2557,703.82,,,52.99,-0.02,0.23,0.50,59.07,32.40,7.53,1.19,"1,972.98",16.90,"18,032.30",9.92,2.07,8.18,2.96,10.96,AMATA,SET,PROPCON,PROP
3Q2557,957.93,,-77.83,205.80,0.13,0.90,1.96,75.39,17.70,21.48,1.17,"2,372.34",16.20,"17,285.40",15.41,2.04,7.92,3.09,13.70,AMATA,SET,PROPCON,PROP
4Q2557,"3,896.41","1,100.00","2,128.57","1,757.24",1.56,7.77,15.39,90.12,8.31,45.10,0.81,"2,757.70",15.70,"16,751.90",26.46,1.95,8.05,3.18,7.08,AMATA,SET,PROPCON,PROP
1Q2558,"1,215.50",-92.31,-70.73,226.33,0.12,1.02,1.84,79.54,18.04,18.62,0.81,"3,004.79",16.20,"17,285.40",7.77,1.71,9.48,4.32,8.19,AMATA,SET,PROPCON,PROP
2Q2558,"1,018.29",250.00,,863.32,0.42,3.70,6.99,70.27,23.05,84.78,0.97,"2,914.20",15.00,"16,005.00",8.32,1.57,9.57,4.67,6.08,AMATA,SET,PROPCON,PROP
3Q2558,"1,814.50",2.38,230.77,507.82,0.43,2.11,4.12,79.10,15.09,27.99,0.93,"2,529.27",12.40,"13,230.80",5.56,1.30,9.55,5.65,5.12,AMATA,SET,PROPCON,PROP
4Q2558,"1,332.64",-60.47,-89.10,295.18,0.17,1.20,2.28,76.98,18.33,22.15,0.89,"2,701.43",12.30,"13,124.10",4.86,1.23,10.00,5.69,7.55,AMATA,SET,PROPCON,PROP
1Q2559,806.54,-52.94,-33.33,119.64,0.08,0.47,0.88,74.08,23.53,14.83,0.87,"2,773.16",12.30,"13,124.10",10.79,1.17,10.47,3.74,7.98,AMATA,SET,PROPCON,PROP
2Q2559,902.40,112.50,-59.52,228.31,0.17,0.91,1.69,63.83,27.16,25.30,0.83,"2,761.00",12.80,"13,657.60",11.74,1.21,10.54,3.59,11.77,AMATA,SET,PROPCON,PROP
