,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
2Q2558,,,,,,,,,,,0.38,,,,,,,,,AMATAR,SET,PROPCON,PF&REIT
3Q2558,101.58,,,78.95,,1.59,2.18,,,77.73,0.37,,11.20,"4,008.37",,1.12,10.01,0.00,,AMATAR,SET,PROPCON,PF&REIT
4Q2558,101.55,,,73.16,,1.46,2.00,,,72.04,0.37,,0.00,"4,151.52",,1.13,10.23,0.00,,AMATAR,SET,PROPCON,PF&REIT
1Q2559,102.60,,,78.59,,1.57,2.15,,,76.60,0.37,,13.00,"4,652.57",,1.27,10.21,3.23,,AMATAR,SET,PROPCON,PF&REIT
2Q2559,103.40,,,80.78,,1.61,2.20,,,78.12,0.37,,12.30,"4,402.05",,1.20,10.23,3.41,,AMATAR,SET,PROPCON,PF&REIT
3Q2559,103.71,,,79.35,,1.58,2.16,,,76.51,0.37,,12.40,"4,437.84",,1.21,10.25,3.39,,AMATAR,SET,PROPCON,PF&REIT
4Q2559,102.19,,,12.65,,0.25,0.35,,,12.38,0.37,,11.40,"4,079.95",,1.11,10.27,3.68,,AMATAR,SET,PROPCON,PF&REIT
1Q2560,99.44,,,76.66,,1.54,2.12,,,77.09,0.37,,10.40,"3,722.06",,1.03,10.10,6.39,,AMATAR,SET,PROPCON,PF&REIT
2Q2560,99.08,,,76.04,,1.53,2.10,,,76.75,0.37,,10.40,"3,722.06",,1.03,10.10,6.39,,AMATAR,SET,PROPCON,PF&REIT
3Q2560,104.66,,,77.72,,1.56,2.14,,,74.25,0.37,,10.50,"3,757.84",,1.04,10.11,6.33,,AMATAR,SET,PROPCON,PF&REIT
4Q2560,100.14,,,60.64,,1.22,1.67,,,60.56,0.37,,10.70,"3,829.42",,1.06,10.13,6.21,,AMATAR,SET,PROPCON,PF&REIT
1Q2561,97.31,,,71.59,,1.44,1.97,,,73.56,0.37,,10.40,"3,722.06",,1.03,10.11,7.16,,AMATAR,SET,PROPCON,PF&REIT
2Q2561,98.39,,,72.31,,1.45,1.99,,,73.49,0.37,,10.30,"3,686.27",,1.01,10.15,7.23,,AMATAR,SET,PROPCON,PF&REIT
3Q2561,96.32,,,69.05,,1.38,1.90,,,71.69,0.37,,10.80,"3,865.21",,1.06,10.16,6.90,,AMATAR,SET,PROPCON,PF&REIT
4Q2561,95.85,,,28.99,,0.58,0.80,,,30.24,0.38,,10.80,"3,865.21",,1.06,10.16,6.90,,AMATAR,SET,PROPCON,PF&REIT
1Q2562,102.92,,,85.93,,1.73,2.38,,,83.49,0.37,,11.20,"4,008.37",,1.11,10.06,5.76,,AMATAR,SET,PROPCON,PF&REIT
2Q2562,99.36,,,76.25,,1.53,2.10,,,76.73,0.37,,12.50,"4,473.63",,1.24,10.11,5.16,,AMATAR,SET,PROPCON,PF&REIT
3Q2562,98.78,,,70.08,,1.41,1.93,,,70.95,0.37,,12.80,"4,580.99",,1.26,10.12,5.04,,AMATAR,SET,PROPCON,PF&REIT
4Q2562,93.58,,,77.32,,1.55,2.13,,,82.63,0.37,,11.40,"4,079.95",,1.12,10.13,5.66,,AMATAR,SET,PROPCON,PF&REIT
1Q2563,93.57,,,69.74,,1.40,1.91,,,74.53,0.37,,10.20,"3,650.48",,,,7.30,,AMATAR,SET,PROPCON,PF&REIT
2Q2563,92.83,,,70.57,,1.41,1.93,,,76.02,0.37,,10.30,"3,686.27",,1.01,10.18,7.23,,AMATAR,SET,PROPCON,PF&REIT
3Q2563,88.94,,,67.37,,1.35,1.84,,,75.75,0.37,,10.00,"3,578.90",,0.98,10.21,7.45,,AMATAR,SET,PROPCON,PF&REIT
4Q2563,88.41,,,-3.16,,-0.06,-0.09,,,-3.57,0.37,,10.20,"3,650.48",,1.00,10.23,7.30,,AMATAR,SET,PROPCON,PF&REIT
1Q2564,88.50,,,66.38,,1.35,1.84,,,75.00,0.37,,9.80,"3,507.32",,0.97,10.05,5.26,,AMATAR,SET,PROPCON,PF&REIT
2Q2564,85.25,,,60.83,,1.23,1.69,,,71.35,0.37,,9.40,"3,364.17",,0.93,10.07,5.48,,AMATAR,SET,PROPCON,PF&REIT
3Q2564,86.81,,,62.02,,1.25,1.72,,,71.44,0.37,,8.85,"3,167.33",,0.88,10.08,5.82,,AMATAR,SET,PROPCON,PF&REIT
4Q2564,83.69,,,-2.95,,-0.06,-0.08,,,-3.53,0.37,,8.80,"3,149.43",,0.87,10.10,5.85,,AMATAR,SET,PROPCON,PF&REIT
1Q2565,87.38,,,61.41,,1.26,1.73,,,70.28,0.37,,7.95,"2,845.23",,,,5.97,,AMATAR,SET,PROPCON,PF&REIT
2Q2565,87.36,,,61.67,,1.26,1.73,,,70.60,0.37,,7.20,"2,576.81",,0.72,9.95,6.60,,AMATAR,SET,PROPCON,PF&REIT
3Q2565,89.23,,,64.59,,1.32,1.81,,,72.39,0.37,,6.70,"2,397.86",,0.67,9.97,7.09,,AMATAR,SET,PROPCON,PF&REIT
