,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2557,,,,,,,,,,,0.24,,,,,,,,,AMATAV,SET,PROPCON,PROP
3Q2558,577.78,,,175.36,0.15,5.43,8.19,,13.18,30.35,0.80,,,,,,,,,AMATAV,SET,PROPCON,PROP
4Q2558,231.87,-99.31,,5.27,0.00,0.12,0.20,,10.99,2.27,0.49,,8.95,"8,368.25",50.47,0.00,0.00,0.00,12.07,AMATAV,SET,PROPCON,PROP
1Q2559,201.48,"4,616.98",,53.27,0.05,1.08,1.61,,16.56,26.44,0.49,,9.05,"8,461.75",69.72,2.78,3.26,0.00,10.62,AMATAV,SET,PROPCON,PROP
2Q2559,201.41,0.00,,59.43,0.05,1.31,1.82,,13.39,29.51,0.29,,8.80,"8,228.00",78.41,2.66,3.31,0.00,15.33,AMATAV,SET,PROPCON,PROP
3Q2559,146.17,-20.00,-74.02,34.20,0.04,0.76,1.07,,13.75,23.40,0.53,,7.25,"6,778.75",61.00,2.26,3.21,0.00,23.98,AMATAV,SET,PROPCON,PROP
4Q2559,357.37,,,-85.30,-0.09,-1.67,-2.69,,8.11,-23.87,0.69,,6.75,"6,311.25",48.32,2.15,3.15,0.00,28.69,AMATAV,SET,PROPCON,PROP
1Q2560,167.06,,-96.00,4.87,0.00,0.09,0.16,,18.97,2.92,0.81,,8.35,"7,807.25",156.72,2.64,3.16,2.40,42.84,AMATAV,SET,PROPCON,PROP
2Q2560,117.37,"1,800.00",-24.00,37.99,0.04,0.68,1.28,,22.49,32.37,0.95,,7.70,"7,199.50","1,265.51",2.60,2.97,2.60,51.37,AMATAV,SET,PROPCON,PROP
3Q2560,452.08,347.37,325.00,185.10,0.17,3.01,6.06,,5.57,40.94,1.08,,8.00,"7,480.00",N/A,2.71,2.95,2.50,25.93,AMATAV,SET,PROPCON,PROP
4Q2560,392.78,8.85,,194.44,0.19,3.08,6.21,,-2.22,49.50,0.96,,8.75,"8,181.25",68.00,2.80,3.12,2.29,16.67,AMATAV,SET,PROPCON,PROP
1Q2561,459.45,-23.26,"7,000.00",151.89,0.14,2.48,4.83,,7.17,33.06,0.95,,7.80,"7,293.00",19.74,2.53,3.09,0.38,11.78,AMATAV,SET,PROPCON,PROP
2Q2561,202.48,7.17,300.47,158.23,0.15,2.48,4.77,,22.90,78.14,0.90,,6.45,"6,030.75",12.06,2.04,3.16,0.47,8.72,AMATAV,SET,PROPCON,PROP
3Q2561,242.88,-76.46,-78.93,42.02,0.04,0.64,1.23,,10.29,17.30,0.92,,6.25,"5,843.75",9.57,1.81,3.45,0.48,10.75,AMATAV,SET,PROPCON,PROP
4Q2561,265.71,,,-143.89,-0.14,-2.18,-4.35,,20.63,-54.15,1.08,,4.44,"4,151.40",8.64,1.33,3.34,0.68,17.27,AMATAV,SET,PROPCON,PROP
1Q2562,130.88,85.71,,-17.09,-0.02,-0.26,-0.54,,26.95,-13.06,1.06,,5.20,"4,862.00",27.61,1.61,3.22,1.73,40.60,AMATAV,SET,PROPCON,PROP
2Q2562,123.17,-100.00,,-34.92,-0.04,-0.55,-1.16,,21.39,-28.35,1.13,,5.05,"4,721.75",190.28,1.61,3.13,1.78,-670.43,AMATAV,SET,PROPCON,PROP
3Q2562,136.28,,37.07,51.88,0.05,0.77,1.78,,23.93,38.07,1.53,,4.82,"4,506.70",N/A,1.68,2.87,1.87,926.28,AMATAV,SET,PROPCON,PROP
4Q2562,199.36,-75.76,,21.37,0.01,0.29,0.73,,30.52,10.72,1.61,,4.78,"4,469.30",N/A,1.64,2.91,1.88,37.44,AMATAV,SET,PROPCON,PROP
1Q2563,140.16,824.37,,113.03,0.11,1.43,3.71,,21.92,80.65,1.59,,3.86,"3,609.10",,,,1.30,21.91,AMATAV,SET,PROPCON,PROP
2Q2563,124.60,,-100.00,-77.13,-0.08,-0.95,-2.50,,22.25,-61.90,1.69,,5.05,"4,721.75",38.19,1.65,3.07,0.99,26.20,AMATAV,SET,PROPCON,PROP
3Q2563,121.77,,-18.53,41.55,0.04,0.52,1.37,,23.28,34.12,1.62,,4.92,"4,600.20",55.24,1.75,2.81,1.02,26.17,AMATAV,SET,PROPCON,PROP
4Q2563,147.84,,,-98.01,-0.10,-1.23,-3.29,,22.57,-66.30,1.73,,5.50,"5,142.50",67.63,1.87,2.94,0.91,44.48,AMATAV,SET,PROPCON,PROP
1Q2564,126.89,,-45.62,55.93,0.06,0.68,1.88,,23.60,44.08,1.77,,6.50,"6,077.50",N/A,2.40,2.71,0.00,68.77,AMATAV,SET,PROPCON,PROP
2Q2564,218.34,-34.99,,48.76,0.04,0.54,1.35,,14.30,22.33,1.32,,7.60,"7,106.00",N/A,2.59,2.93,0.00,42.27,AMATAV,SET,PROPCON,PROP
3Q2564,212.51,121.63,115.48,88.73,0.09,0.88,2.04,,19.30,41.75,1.32,,7.70,"7,199.50",209.03,2.10,3.67,0.00,39.66,AMATAV,SET,PROPCON,PROP
4Q2564,"1,182.16",536.84,,551.36,0.55,4.91,11.49,,4.53,46.64,1.35,,7.25,"6,778.75",86.35,1.77,4.09,0.00,12.08,AMATAV,SET,PROPCON,PROP
1Q2565,802.88,-7.53,748.50,537.01,0.51,4.48,10.20,,6.89,66.89,1.21,,7.75,"7,246.25",,,,0.65,7.58,AMATAV,SET,PROPCON,PROP
2Q2565,928.16,-1.02,"1,191.85",508.99,0.50,4.00,8.71,,4.34,54.84,1.15,,7.50,"7,106.00",6.39,1.51,5.03,0.66,5.75,AMATAV,SET,PROPCON,PROP
3Q2565,664.78,-56.42,154.04,233.79,0.22,1.70,3.61,,8.07,35.17,1.10,,7.25,"6,825.50",4.44,1.27,5.73,0.68,5.48,AMATAV,SET,PROPCON,PROP
