,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,249.36,,,26.29,0.09,1.82,2.87,88.72,10.53,10.54,0.69,-266.43,6.65,"1,995.00",22.50,2.24,2.97,6.02,9.87,APCS,SET,PROPCON,CONS
2Q2555,290.38,-11.11,,24.59,0.08,1.53,2.68,89.20,10.99,8.47,0.81,-429.98,5.70,"1,881.00",20.04,2.05,2.77,6.38,12.19,APCS,SET,PROPCON,CONS
3Q2555,285.94,-12.50,-49.87,24.73,0.07,1.52,2.69,89.13,10.81,8.65,0.73,-368.87,5.55,"1,831.50",24.68,2.04,2.72,6.55,11.30,APCS,SET,PROPCON,CONS
4Q2555,247.49,0.00,,21.78,0.07,1.36,2.31,87.19,12.65,8.80,0.67,-225.72,4.68,"1,544.40",21.36,1.67,2.80,7.77,8.11,APCS,SET,PROPCON,CONS
1Q2556,243.82,-85.71,-88.89,2.81,0.01,0.18,0.29,88.27,11.30,1.15,0.66,-6.25,4.78,"1,577.40",15.53,1.67,2.86,3.14,8.83,APCS,SET,PROPCON,CONS
2Q2556,248.01,,,-9.04,-0.03,-0.57,-0.98,89.22,10.60,-3.64,0.80,179.96,4.34,"1,432.20",18.46,1.51,2.87,3.46,9.73,APCS,SET,PROPCON,CONS
3Q2556,255.00,,-97.14,-2.95,0.00,-0.19,-0.33,78.99,9.86,-1.16,0.68,221.36,3.54,"1,168.20",27.18,1.32,2.69,4.24,8.86,APCS,SET,PROPCON,CONS
4Q2556,195.16,,,-9.24,-0.03,-0.63,-1.04,101.50,13.83,-4.73,0.61,195.13,2.50,825.00,52.31,0.93,2.69,6.00,8.61,APCS,SET,PROPCON,CONS
1Q2557,208.93,-87.50,,-19.96,-0.06,-1.43,-2.29,87.68,12.04,-9.55,0.59,149.93,2.18,719.40,N/A,0.82,2.65,0.00,9.06,APCS,SET,PROPCON,CONS
2Q2557,197.98,0.00,-100.00,-21.23,-0.06,-1.59,-2.50,88.13,11.48,-10.73,0.55,140.43,2.32,765.60,N/A,0.89,2.60,0.00,9.80,APCS,SET,PROPCON,CONS
