,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2561,,,,,,,,,,,3.09,-12.56,,,,,,,,APP,mai,TECH,-
3Q2562,569.30,,,49.59,0.26,12.18,43.90,62.47,36.42,8.71,2.27,-11.34,,,,,,,,APP,mai,TECH,-
4Q2562,165.67,-90.33,,8.04,0.03,1.53,3.52,53.66,45.34,4.85,0.90,-14.51,2.26,632.80,9.66,,0.00,0.00,2.99,APP,mai,TECH,-
1Q2563,164.94,53.92,,10.71,0.04,1.71,3.26,55.10,42.51,6.50,0.91,-16.00,1.34,375.20,6.53,1.16,1.16,7.46,1.62,APP,mai,TECH,-
2Q2563,165.76,87.74,,20.24,0.07,3.14,6.13,63.65,35.44,12.21,0.99,-19.41,1.61,450.80,9.04,1.35,1.19,6.21,3.43,APP,mai,TECH,-
3Q2563,169.40,-33.50,-81.41,13.46,0.05,2.07,4.04,62.71,36.97,7.95,0.92,-28.63,2.78,778.40,11.45,2.38,1.17,3.60,9.12,APP,mai,TECH,-
4Q2563,158.02,-96.24,-92.77,0.56,0.00,0.09,0.17,52.34,45.03,0.36,0.94,-30.47,2.26,632.80,12.04,1.86,1.22,4.42,7.86,APP,mai,TECH,-
1Q2564,170.18,"2,291.16",12.39,12.11,0.04,1.78,3.50,59.48,37.77,7.11,0.99,-31.14,3.26,912.80,20.29,2.68,1.22,4.60,11.68,APP,mai,TECH,-
2Q2564,212.12,18.72,-28.93,14.40,0.05,2.03,4.25,66.10,32.48,6.79,1.20,-33.42,3.76,"1,052.80",22.72,2.98,1.26,3.99,15.33,APP,mai,TECH,-
3Q2564,184.47,-5.96,0.50,13.36,0.05,1.88,4.03,63.09,36.02,7.24,1.08,-25.17,3.48,974.40,24.07,2.99,1.16,4.31,14.09,APP,mai,TECH,-
4Q2564,232.14,36.18,"3,535.36",18.86,0.07,2.62,5.42,65.75,32.12,8.12,1.05,-31.95,4.36,"1,220.80",30.11,3.60,1.21,3.44,12.19,APP,mai,TECH,-
1Q2565,211.13,-43.50,-14.09,10.43,0.04,1.37,2.88,61.09,36.64,4.94,1.16,-33.40,4.14,"1,159.20",19.83,3.24,1.28,4.83,12.59,APP,mai,TECH,-
2Q2565,221.18,-41.23,-57.47,5.92,0.02,0.76,1.74,63.37,35.54,2.68,1.46,-34.69,3.20,896.00,15.79,2.44,1.31,6.25,13.58,APP,mai,TECH,-
3Q2565,226.20,86.96,-15.46,11.65,0.04,1.51,3.61,67.87,31.99,5.15,1.32,-47.58,3.10,868.00,17.90,2.75,1.13,6.45,12.29,APP,mai,TECH,-
