,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,85.30,-35.94,190.91,11.63,0.01,1.20,1.42,58.08,38.18,13.63,0.19,,0.40,719.14,130.59,0.89,0.45,0.00,9.90,AQUA,SET,SERVICE,MEDIA
2Q2555,102.58,,-125.35,-28.44,-0.02,-2.82,-3.50,17.23,79.55,-27.72,0.29,,0.39,701.16,44.98,0.85,0.46,0.00,16.68,AQUA,SET,SERVICE,MEDIA
3Q2555,109.93,,,22.00,0.01,2.13,2.72,76.10,22.31,20.01,0.26,,0.35,629.25,N/A,0.79,0.44,0.00,10.16,AQUA,SET,SERVICE,MEDIA
4Q2555,105.14,20.98,47.75,26.21,0.01,2.52,3.15,59.60,37.15,24.93,0.23,,0.60,"1,078.71",54.99,1.32,0.45,0.00,12.64,AQUA,SET,SERVICE,MEDIA
1Q2556,104.82,30.15,200.16,34.47,0.02,3.01,3.82,64.66,32.63,32.89,0.30,,0.83,"1,492.21",47.80,1.77,0.47,0.00,13.50,AQUA,SET,SERVICE,MEDIA
2Q2556,104.02,4.06,,35.95,0.02,2.87,3.67,83.00,15.53,34.56,0.26,,0.81,"1,456.25",26.88,1.52,0.53,0.00,8.12,AQUA,SET,SERVICE,MEDIA
3Q2556,102.92,-18.31,33.85,29.21,0.02,2.31,2.89,70.75,23.48,28.38,0.24,,0.79,"1,420.30",11.94,1.43,0.55,0.00,7.14,AQUA,SET,SERVICE,MEDIA
4Q2556,99.93,551.62,620.93,191.31,0.11,13.57,16.21,,33.90,191.44,0.16,,1.05,"1,887.74",14.94,1.85,0.57,0.00,4.32,AQUA,SET,SERVICE,MEDIA
1Q2557,79.56,-89.14,-39.82,30.15,0.01,1.38,1.53,,25.94,37.90,0.08,,0.88,"3,656.12",9.97,2.37,0.68,3.88,6.10,AQUA,SET,SERVICE,MEDIA
2Q2557,93.94,-16.61,-51.78,40.87,0.01,1.09,1.53,,32.54,43.51,0.71,,1.38,"5,733.46",20.16,2.30,0.60,1.97,16.73,AQUA,SET,SERVICE,MEDIA
3Q2557,126.95,-20.23,-52.91,43.29,0.01,0.92,1.57,,20.94,34.10,0.69,,1.52,"6,315.12",21.74,2.60,0.58,1.78,17.36,AQUA,SET,SERVICE,MEDIA
4Q2557,142.95,506.24,-56.19,248.66,0.05,5.67,7.95,,19.60,173.94,0.17,,1.12,"5,144.16",17.46,2.09,0.59,2.19,10.31,AQUA,SET,SERVICE,MEDIA
1Q2558,139.18,-69.39,23.44,79.22,0.01,1.63,2.26,,18.14,56.92,0.60,,0.97,"4,455.21",15.67,1.45,0.67,1.65,8.01,AQUA,SET,SERVICE,MEDIA
2Q2558,151.61,2.52,51.76,83.00,0.01,1.47,2.34,,16.14,54.74,0.57,,0.89,"4,087.77",12.69,1.30,0.69,1.96,6.72,AQUA,SET,SERVICE,MEDIA
3Q2558,148.13,32.60,152.28,75.08,0.02,1.37,2.18,,21.03,50.69,0.61,,0.77,"3,536.61",10.19,1.13,0.68,2.26,5.79,AQUA,SET,SERVICE,MEDIA
4Q2558,167.79,-28.92,-70.42,67.39,0.01,1.23,2.01,,23.78,40.16,0.66,,0.72,"3,306.96",8.21,1.05,0.69,2.42,8.70,AQUA,SET,SERVICE,MEDIA
1Q2559,162.70,24.73,20.53,80.26,0.02,1.44,2.40,,21.81,49.33,0.67,,0.90,"4,133.70",14.50,1.28,0.70,3.33,10.66,AQUA,SET,SERVICE,MEDIA
2Q2559,161.62,16.80,37.32,93.94,0.02,1.69,2.88,,18.03,58.12,0.74,,0.85,"3,904.05",13.08,1.20,0.71,3.53,10.32,AQUA,SET,SERVICE,MEDIA
3Q2559,153.01,-48.68,-46.86,47.98,0.01,0.86,1.49,,19.73,31.36,0.72,,0.80,"3,674.40",11.26,1.15,0.69,3.78,10.70,AQUA,SET,SERVICE,MEDIA
4Q2559,160.49,-59.75,-69.91,20.45,0.00,0.37,0.63,,13.52,12.74,0.66,,0.85,"3,904.05",13.62,1.21,0.70,3.60,12.53,AQUA,SET,SERVICE,MEDIA
1Q2560,174.59,402.89,21.34,95.62,0.02,1.65,2.88,,21.54,54.77,0.82,,0.77,"3,536.61",14.67,1.08,0.72,1.30,13.31,AQUA,SET,SERVICE,MEDIA
2Q2560,235.71,-28.46,-25.68,69.38,0.01,1.10,2.04,,21.33,29.43,0.88,,0.71,"3,261.03",12.71,0.96,0.74,1.41,13.39,AQUA,SET,SERVICE,MEDIA
3Q2560,258.35,-4.82,37.83,65.90,0.01,1.02,1.91,,19.45,25.51,0.87,,0.75,"3,444.75",14.92,1.01,0.74,1.33,12.80,AQUA,SET,SERVICE,MEDIA
4Q2560,297.41,307.81,"1,296.39",263.49,0.06,3.98,7.26,,32.86,88.59,0.78,,0.68,"3,123.24",12.56,0.89,0.76,1.47,6.93,AQUA,SET,SERVICE,MEDIA
1Q2561,234.04,-55.55,23.43,117.78,0.03,1.76,3.10,,20.89,50.33,0.74,,0.49,"2,250.57",4.54,0.60,0.82,2.04,5.89,AQUA,SET,SERVICE,MEDIA
