,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2559,,,,,,,,,,,8.60,,,,,,,,,ASAP,SET,FINCIAL,FIN
1Q2560,,,,33.45,0.07,0.49,3.38,,,,4.55,,4.22,"2,785.20",39.89,,0.00,0.00,,ASAP,SET,FINCIAL,FIN
2Q2560,,-34.41,,33.54,0.05,0.44,2.55,,,,4.92,,7.75,"5,115.00",60.16,3.89,1.99,0.00,,ASAP,SET,FINCIAL,FIN
3Q2560,551.57,5.20,,35.49,0.05,0.44,2.65,,,6.43,5.06,,7.80,"5,148.00",50.92,3.90,2.00,0.00,,ASAP,SET,FINCIAL,FIN
4Q2560,572.59,53.50,,48.30,0.08,0.57,3.50,,,8.44,5.23,,7.70,"5,082.00",43.40,3.74,2.06,0.00,,ASAP,SET,FINCIAL,FIN
1Q2561,,-29.94,-25.80,35.49,0.05,0.39,2.49,,,,5.68,,10.50,"6,930.00",50.55,5.42,1.94,0.39,,ASAP,SET,FINCIAL,FIN
2Q2561,,-23.14,-13.04,33.55,0.04,0.33,2.30,,,,6.49,,5.45,"3,956.70",25.89,2.75,2.18,0.76,,ASAP,SET,FINCIAL,FIN
3Q2561,,-39.75,-50.20,20.40,0.02,0.18,1.38,,,,7.14,,7.30,"5,299.80",34.68,3.60,2.03,0.57,,ASAP,SET,FINCIAL,FIN
4Q2561,,-86.06,-95.48,0.20,0.00,0.00,0.01,,,,7.46,,3.08,"2,236.08",16.23,1.50,2.05,1.35,,ASAP,SET,FINCIAL,FIN
1Q2562,,133.72,-84.92,5.89,0.01,0.05,0.39,,,,7.60,,3.08,"2,236.08",24.94,1.50,2.06,0.00,,ASAP,SET,FINCIAL,FIN
2Q2562,,2.47,-79.89,6.04,0.01,0.05,0.40,,,,7.76,,2.78,"2,018.28",33.62,1.35,2.07,0.00,,ASAP,SET,FINCIAL,FIN
3Q2562,"2,282.90",,,-5.61,-0.01,-0.04,-0.37,,,-0.25,7.93,,2.74,"1,989.24",61.16,1.32,2.07,0.00,,ASAP,SET,FINCIAL,FIN
4Q2562,919.39,"-1,612.42",,-96.10,-0.13,-0.72,-6.62,,,-10.45,8.35,,1.91,"1,386.66",212.97,0.92,2.07,0.00,,ASAP,SET,FINCIAL,FIN
1Q2563,871.89,91.87,,-7.81,-0.01,-0.06,-0.56,,,-0.90,8.34,,0.99,718.74,,,,0.00,,ASAP,SET,FINCIAL,FIN
2Q2563,784.06,-270.45,,-28.94,-0.04,-0.23,-2.12,,,-3.69,8.41,,1.90,"1,379.40",N/A,1.00,1.91,0.00,,ASAP,SET,FINCIAL,FIN
3Q2563,907.21,19.82,-313.45,-23.20,-0.03,-0.18,-1.72,,,-2.56,8.32,,2.20,"1,597.20",N/A,1.18,1.86,0.00,,ASAP,SET,FINCIAL,FIN
4Q2563,993.62,-31.88,68.16,-30.60,-0.04,-0.25,-2.31,,,-3.08,8.15,,1.78,"1,292.28",N/A,0.96,1.85,0.00,,ASAP,SET,FINCIAL,FIN
1Q2564,883.17,-5.50,-313.29,-32.29,-0.04,-0.27,-2.49,,,-3.66,8.16,,2.98,"2,163.48",N/A,1.65,1.81,0.00,,ASAP,SET,FINCIAL,FIN
2Q2564,928.03,-95.88,-118.54,-63.24,-0.09,-0.55,-5.07,,,-6.81,8.25,,2.64,"1,916.64",N/A,1.50,1.76,0.00,,ASAP,SET,FINCIAL,FIN
3Q2564,"1,148.28",-46.64,-299.69,-92.74,-0.13,-0.86,-7.94,,,-8.08,8.15,,2.46,"1,785.96",N/A,1.47,1.67,0.00,,ASAP,SET,FINCIAL,FIN
1Q2565,"1,121.31",,,5.11,0.01,0.05,0.47,,,0.46,7.50,,2.14,"1,553.64",,,,0.00,,ASAP,SET,FINCIAL,FIN
2Q2565,993.53,30.68,,10.60,0.01,0.12,1.02,,,1.07,7.02,,3.68,"2,744.28",N/A,2.64,1.43,0.00,,ASAP,SET,FINCIAL,FIN
3Q2565,872.56,927.93,,67.82,0.09,0.83,6.30,,,7.77,6.18,,3.10,"2,323.20",N/A,2.25,1.42,0.00,,ASAP,SET,FINCIAL,FIN
