,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,297.92,,-40.00,28.42,0.84,0.33,0.46,80.40,15.16,9.54,0.42,-4.98,34.50,"1,104.00",19.20,0.19,184.92,0.00,11.02,ASIA,SET,SERVICE,TOURISM
2Q2555,315.65,63.10,87.67,47.64,1.37,0.55,0.77,71.08,15.10,15.09,0.41,-35.80,35.00,"1,120.00",27.89,0.19,185.61,0.00,10.21,ASIA,SET,SERVICE,TOURISM
3Q2555,311.58,-4.38,63.75,45.23,1.31,0.52,0.73,75.04,21.11,14.52,0.41,-61.04,66.50,"2,128.00",34.79,0.36,186.86,0.00,12.49,ASIA,SET,SERVICE,TOURISM
4Q2555,311.88,52.67,,65.60,2.00,0.72,1.00,78.62,17.05,21.03,0.38,-73.95,86.50,"2,768.00",35.71,0.46,188.12,0.00,11.34,ASIA,SET,SERVICE,TOURISM
1Q2556,362.28,-27.00,73.81,48.05,1.46,0.50,0.75,71.13,24.65,13.26,0.63,-56.48,118.50,"3,792.00",21.48,0.57,208.95,1.18,15.31,ASIA,SET,SERVICE,TOURISM
2Q2556,323.50,82.88,94.89,90.27,2.67,0.94,1.53,80.14,15.65,27.90,0.62,-54.03,93.50,"2,992.00",15.23,0.53,177.41,1.50,12.26,ASIA,SET,SERVICE,TOURISM
3Q2556,350.08,5.70,115.43,94.16,2.82,0.97,1.58,80.03,15.16,26.90,0.61,-63.19,85.00,"2,720.00",11.43,0.47,179.31,1.65,10.12,ASIA,SET,SERVICE,TOURISM
4Q2556,341.79,206.48,332.47,292.50,8.65,2.96,4.79,78.60,16.83,85.58,0.62,-71.51,85.50,"2,736.00",9.55,0.47,181.86,1.64,7.09,ASIA,SET,SERVICE,TOURISM
1Q2557,338.57,-83.47,-2.05,47.82,1.43,0.47,0.77,79.70,15.75,14.12,0.63,-85.40,84.25,"2,696.00",5.40,0.45,187.04,2.37,7.17,ASIA,SET,SERVICE,TOURISM
2Q2557,328.92,95.80,4.87,95.67,2.80,0.93,1.53,66.13,15.78,29.09,0.65,-86.68,84.00,"2,688.00",5.39,0.45,188.22,2.38,7.21,ASIA,SET,SERVICE,TOURISM
3Q2557,306.15,-60.71,-61.02,36.95,1.10,0.39,0.66,77.28,18.07,12.07,0.74,-122.51,99.50,"3,184.00",6.34,0.53,189.07,2.01,7.74,ASIA,SET,SERVICE,TOURISM
4Q2557,352.48,-16.36,-89.36,31.44,0.92,0.37,0.66,76.20,16.50,8.92,0.79,-124.30,89.00,"2,848.00",6.37,0.60,147.72,2.25,11.73,ASIA,SET,SERVICE,TOURISM
1Q2558,387.31,159.78,67.13,78.99,2.39,0.93,1.66,76.45,16.90,20.39,0.79,-134.80,87.25,"2,792.00",13.96,0.61,143.21,3.72,10.70,ASIA,SET,SERVICE,TOURISM
2Q2558,353.74,-20.25,-31.92,63.13,1.91,0.74,1.32,75.26,19.02,17.85,0.79,-170.51,89.25,"2,856.00",12.38,0.62,144.94,3.64,12.00,ASIA,SET,SERVICE,TOURISM
3Q2558,366.89,76.48,205.81,108.98,3.36,1.27,2.27,74.85,18.63,29.70,0.77,-133.91,81.75,"2,616.00",12.95,0.56,145.31,3.98,10.02,ASIA,SET,SERVICE,TOURISM
4Q2558,345.47,7.61,293.48,117.09,3.62,1.32,2.25,75.08,19.48,33.89,0.66,-124.05,83.25,"2,664.00",9.69,0.57,146.53,3.90,8.87,ASIA,SET,SERVICE,TOURISM
1Q2559,375.07,-74.31,-61.09,30.74,0.93,0.33,0.55,76.27,18.14,8.20,0.64,-115.52,81.50,"2,608.00",7.22,0.48,170.18,5.21,8.94,ASIA,SET,SERVICE,TOURISM
2Q2559,330.61,,,-2.58,-0.11,-0.03,-0.05,73.51,20.72,-0.78,0.65,-90.25,74.00,"2,368.00",7.53,0.43,170.92,5.74,9.01,ASIA,SET,SERVICE,TOURISM
3Q2559,339.95,-516.56,,-21.74,-0.67,-0.24,-0.39,68.42,25.87,-6.39,0.65,-83.00,69.50,"2,224.00",8.90,0.41,168.80,6.12,10.96,ASIA,SET,SERVICE,TOURISM
4Q2559,318.80,94.06,,-0.26,-0.04,0.00,0.00,73.44,19.26,-0.08,0.66,-87.72,68.75,"2,200.00",18.24,0.41,168.01,6.18,13.61,ASIA,SET,SERVICE,TOURISM
1Q2560,369.53,,5.38,32.50,0.98,0.35,0.59,72.73,20.67,8.80,0.66,-81.26,73.00,"2,336.00",662.66,0.43,168.36,1.16,14.13,ASIA,SET,SERVICE,TOURISM
2Q2560,323.20,,-102.11,-6.43,-0.22,-0.07,-0.12,72.04,22.16,-1.99,0.66,-64.64,73.25,"2,344.00",457.62,0.43,169.02,1.16,14.41,ASIA,SET,SERVICE,TOURISM
3Q2560,362.00,,,3.10,0.11,0.03,0.06,73.83,21.05,0.86,0.67,-70.72,0.00,"2,256.00","1,340.97",0.42,167.85,1.21,13.52,ASIA,SET,SERVICE,TOURISM
4Q2560,526.06,"3,539.01",,132.41,3.93,1.44,2.38,48.33,13.90,25.17,0.64,-49.91,68.00,"2,176.00",82.11,0.41,164.61,1.25,9.75,ASIA,SET,SERVICE,TOURISM
1Q2561,386.31,-66.43,34.69,42.69,1.32,0.46,0.75,74.63,19.18,11.05,0.63,-40.53,70.50,"2,256.00",14.70,0.41,171.92,2.62,9.67,ASIA,SET,SERVICE,TOURISM
