,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,"2,043.86",400.00,-68.75,17.11,0.05,0.29,0.87,92.71,5.68,0.84,2.14,"1,383.78",4.32,"1,563.06",6.80,0.80,5.39,3.47,10.79,ASIAN,SET,AGRO,FOOD
2Q2555,"2,583.90",-40.00,-88.00,11.70,0.03,0.18,0.58,93.80,5.19,0.45,2.39,"1,456.09",4.10,"1,483.46",7.92,0.75,5.44,3.66,13.33,ASIAN,SET,AGRO,FOOD
3Q2555,"2,845.93",66.67,-77.27,17.48,0.05,0.25,0.82,94.37,4.84,0.61,2.26,"1,535.89",3.80,"1,374.92",12.54,0.67,5.69,3.95,14.34,ASIAN,SET,AGRO,FOOD
4Q2555,"2,949.50",,,-18.36,-0.05,-0.26,-0.84,94.40,4.24,-0.62,2.22,"1,575.63",3.66,"1,324.26",27.61,0.60,6.05,4.10,14.45,ASIAN,SET,AGRO,FOOD
1Q2556,"2,525.78",-180.00,,-51.19,-0.14,-0.74,-2.42,94.51,4.68,-2.03,2.34,"1,545.74",3.54,"1,280.84",45.86,0.59,6.00,0.00,16.25,ASIAN,SET,AGRO,FOOD
2Q2556,"2,125.84",-106.84,,-104.24,-0.29,-1.53,-5.19,93.33,5.42,-4.90,2.46,"1,537.55",3.02,"1,092.70",N/A,0.53,5.68,0.00,23.89,ASIAN,SET,AGRO,FOOD
3Q2556,"2,254.51",20.42,,-82.44,-0.23,-1.22,-4.30,93.02,5.84,-3.66,2.56,"1,528.40",2.30,832.19,N/A,0.42,5.41,0.00,40.90,ASIAN,SET,AGRO,FOOD
4Q2556,"2,521.11",,,39.16,0.11,0.59,2.06,93.44,5.08,1.55,2.41,"1,467.84",2.32,839.42,N/A,0.45,5.19,0.00,27.91,ASIAN,SET,AGRO,FOOD
1Q2557,"2,098.33",-36.36,,24.88,0.07,0.39,1.28,92.59,6.12,1.19,2.22,"1,405.22",2.78,"1,005.86",N/A,0.52,5.32,0.00,20.70,ASIAN,SET,AGRO,FOOD
2Q2557,"1,835.44",,89.64,-10.96,-0.03,-0.18,-0.56,92.08,6.10,-0.60,2.21,"1,406.59",2.98,"1,078.22",N/A,0.55,5.39,0.00,14.98,ASIAN,SET,AGRO,FOOD
3Q2557,"1,874.01",-305.40,47.22,-44.46,-0.12,-0.71,-2.32,92.21,6.22,-2.37,2.28,"1,378.20",3.08,"1,114.41",N/A,0.57,5.37,0.00,13.76,ASIAN,SET,AGRO,FOOD
4Q2557,"2,099.43",-128.89,,-98.81,-0.28,-1.62,-5.29,91.66,6.53,-4.71,2.26,"1,363.54",2.80,"1,013.10",117.54,0.53,5.24,0.00,18.91,ASIAN,SET,AGRO,FOOD
1Q2558,"1,685.63",,14.29,29.57,0.08,0.49,1.59,92.17,5.05,1.75,2.25,"1,525.08",3.28,"1,186.77",N/A,0.64,5.10,0.00,19.78,ASIAN,SET,AGRO,FOOD
2Q2558,"1,680.45",-35.33,,18.10,0.05,0.29,0.97,90.90,7.03,1.08,2.44,"1,501.67",3.40,"1,230.19",N/A,0.66,5.15,0.00,19.05,ASIAN,SET,AGRO,FOOD
3Q2558,"2,402.13",360.49,,84.82,0.24,1.30,4.41,89.53,8.08,3.53,2.34,"1,299.79",3.38,"1,222.95",N/A,0.65,5.20,0.00,13.23,ASIAN,SET,AGRO,FOOD
4Q2558,"2,325.34",-43.44,,50.14,0.13,0.79,2.52,92.34,6.94,2.16,2.06,"1,229.51",4.00,"1,447.28",42.97,0.74,5.44,0.00,9.74,ASIAN,SET,AGRO,FOOD
1Q2559,"2,002.38",-77.23,-61.65,10.79,0.03,0.18,0.53,92.59,6.75,0.54,1.95,"1,105.92",4.90,"1,772.92",9.71,0.88,5.58,5.10,10.31,ASIAN,SET,AGRO,FOOD
2Q2559,"1,996.90",-4.43,-43.33,9.27,0.03,0.15,0.45,93.36,6.06,0.46,2.09,"1,075.68",4.50,"1,628.19",9.94,0.80,5.61,5.56,11.07,ASIAN,SET,AGRO,FOOD
3Q2559,"2,358.03",-31.79,-91.61,9.67,0.02,0.15,0.47,92.48,6.58,0.41,2.13,"1,152.48",4.02,"1,454.52",9.38,0.71,5.70,6.22,13.41,ASIAN,SET,AGRO,FOOD
4Q2559,"2,990.67","1,650.00",159.74,124.90,0.35,1.95,5.82,89.56,7.27,4.18,1.85,"1,028.44",4.50,"1,628.19",20.38,0.78,5.74,5.56,11.92,ASIAN,SET,AGRO,FOOD
1Q2560,"2,519.27",-17.14,845.24,105.81,0.29,1.66,4.66,90.56,7.98,4.20,1.76,925.03,5.30,"1,917.65",12.40,0.86,6.13,3.96,10.67,ASIAN,SET,AGRO,FOOD
2Q2560,"2,310.69",-10.34,786.77,94.39,0.26,1.44,4.05,92.87,5.91,4.08,1.84,923.77,13.80,"4,993.12",20.00,2.15,6.42,1.52,14.56,ASIAN,SET,AGRO,FOOD
3Q2560,"2,403.89",20.28,"1,463.70",111.95,0.31,1.65,4.69,91.55,6.65,4.66,1.83,978.40,15.90,"5,752.95",25.78,3.69,4.31,0.88,13.74,ASIAN,SET,AGRO,FOOD
4Q2560,"2,654.17",,,105.87,-0.09,1.55,4.26,92.40,6.11,3.99,1.68,"1,135.59",9.60,"5,210.18",11.92,2.14,6.73,1.46,13.55,ASIAN,SET,AGRO,FOOD
1Q2561,"2,369.39",,-82.76,26.58,0.05,0.39,1.04,91.18,5.89,1.12,1.61,"1,292.75",7.20,"3,907.64",9.35,1.54,4.68,3.99,12.69,ASIAN,SET,AGRO,FOOD
2Q2561,"2,329.59",240.00,-34.62,92.33,0.17,1.37,3.63,92.20,7.22,3.96,1.70,"1,229.19",5.00,"2,713.64",8.01,1.06,4.73,5.75,11.16,ASIAN,SET,AGRO,FOOD
3Q2561,"2,503.84",58.82,-13.67,146.59,0.27,2.19,5.65,92.06,6.52,5.85,1.48,"1,153.55",9.55,"5,183.05",15.39,2.06,4.65,3.01,13.66,ASIAN,SET,AGRO,FOOD
4Q2561,"2,595.48",-33.33,,96.74,0.18,1.47,3.56,91.57,7.26,3.73,1.37,"1,051.56",6.85,"3,717.68",10.01,1.39,4.92,4.19,10.75,ASIAN,SET,AGRO,FOOD
1Q2562,"2,402.29",-38.89,120.00,59.56,0.11,0.93,2.13,92.44,5.73,2.48,1.21,979.86,7.85,"4,260.41",11.76,1.54,5.09,3.18,10.73,ASIAN,SET,AGRO,FOOD
2Q2562,"2,002.14",-63.64,-76.47,22.13,0.04,0.36,0.79,91.21,7.21,1.11,1.23,934.43,7.30,"3,961.91",10.02,1.40,5.20,3.42,11.18,ASIAN,SET,AGRO,FOOD
3Q2562,"1,914.15",58.50,-76.52,34.13,0.06,0.56,1.23,92.57,5.99,1.78,1.12,928.04,5.60,"3,039.27",9.35,1.10,5.09,4.46,11.38,ASIAN,SET,AGRO,FOOD
4Q2562,"2,012.24",-50.95,-82.72,16.88,0.03,0.29,0.60,91.20,7.11,0.84,1.07,912.60,4.26,"2,312.02",10.88,0.83,5.15,5.87,11.64,ASIAN,SET,AGRO,FOOD
1Q2563,"2,009.90",510.93,72.73,104.80,0.19,1.75,3.68,90.25,8.58,5.21,1.14,832.13,2.94,"1,595.62",,,,6.80,9.54,ASIAN,SET,AGRO,FOOD
2Q2563,"2,072.82",194.74,"1,300.00",300.24,0.56,4.68,10.05,91.73,5.00,14.48,1.15,907.93,7.65,"4,151.87",23.33,1.44,5.33,2.61,9.38,ASIAN,SET,AGRO,FOOD
3Q2563,"2,375.23",-33.93,483.60,202.24,0.37,3.11,6.35,91.61,8.20,8.51,0.95,793.39,11.60,"6,295.64",13.80,2.04,5.68,1.72,9.52,ASIAN,SET,AGRO,FOOD
4Q2563,"2,369.13",5.41,"1,154.02",210.78,0.39,3.34,6.21,89.11,7.26,8.90,0.78,776.64,9.80,"5,318.73",8.52,1.62,6.06,2.04,6.67,ASIAN,SET,AGRO,FOOD
1Q2564,"2,132.81",-33.33,36.84,214.84,0.26,3.31,5.96,91.05,7.19,10.07,0.82,850.76,22.50,"12,211.37",14.93,3.49,6.45,2.44,11.83,ASIAN,SET,AGRO,FOOD
2Q2564,"2,526.06",40.07,-34.97,293.30,0.36,4.21,7.90,91.34,7.66,11.61,0.94,793.47,16.40,"13,351.04",14.39,3.59,4.56,2.24,13.00,ASIAN,SET,AGRO,FOOD
3Q2564,"2,445.99",-8.57,-10.01,271.06,0.33,3.75,7.23,88.87,10.43,11.08,0.92,810.14,17.30,"14,083.71",15.29,3.79,4.56,2.12,12.64,ASIAN,SET,AGRO,FOOD
4Q2564,"2,488.28",-2.19,-16.49,265.12,0.33,3.63,6.78,92.41,6.59,10.65,0.82,897.79,17.90,"14,572.17",14.72,3.85,4.65,2.05,12.03,ASIAN,SET,AGRO,FOOD
1Q2565,"2,877.12",-6.33,17.33,248.35,0.31,3.29,5.96,91.69,6.93,8.63,0.80,878.33,15.50,"12,618.36",,,,4.19,10.15,ASIAN,SET,AGRO,FOOD
2Q2565,"2,833.06",6.48,-10.81,264.43,0.32,3.29,6.20,90.82,8.35,9.33,0.97,870.84,17.10,"14,083.71",13.07,3.28,5.27,3.76,11.60,ASIAN,SET,AGRO,FOOD
3Q2565,"3,024.91",-8.16,-10.41,242.84,0.30,2.92,5.71,89.67,9.39,8.03,0.94,878.41,18.00,"14,979.21",14.28,3.54,5.20,3.53,11.85,ASIAN,SET,AGRO,FOOD
