,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,151.21,158.06,-11.11,19.64,0.08,2.41,6.86,73.12,13.46,12.99,1.58,509.01,1.59,373.35,6.75,1.35,1.18,9.43,5.27,ASIMAR,SET,SERVICE,TRANS
2Q2555,150.56,-37.50,66.67,11.27,0.05,1.52,3.94,80.49,15.66,7.49,1.62,469.51,1.76,413.27,7.83,1.40,1.26,7.39,5.21,ASIMAR,SET,SERVICE,TRANS
3Q2555,166.88,112.00,19.10,24.42,0.11,3.43,8.45,83.73,12.64,14.63,1.32,448.33,1.80,422.66,7.22,1.53,1.18,7.22,5.03,ASIMAR,SET,SERVICE,TRANS
4Q2555,164.12,-86.79,-54.84,3.30,0.01,0.48,1.09,78.60,18.33,2.01,1.23,247.84,2.24,525.97,8.56,1.75,1.28,5.80,5.59,ASIMAR,SET,SERVICE,TRANS
1Q2556,184.96,114.29,-62.50,6.20,0.03,0.92,2.01,83.88,12.98,3.35,1.12,132.55,2.68,629.29,11.81,2.27,1.18,0.38,8.01,ASIMAR,SET,SERVICE,TRANS
2Q2556,176.24,133.33,40.00,18.91,0.07,3.07,5.87,82.48,15.36,10.73,0.71,71.34,1.52,392.60,8.69,1.25,1.34,0.67,5.42,ASIMAR,SET,SERVICE,TRANS
3Q2556,159.56,0.00,-33.96,18.86,0.07,3.41,5.55,81.89,16.52,11.82,0.55,46.71,1.66,428.76,8.12,1.30,1.28,0.61,5.97,ASIMAR,SET,SERVICE,TRANS
4Q2556,199.05,14.29,471.43,21.55,0.08,3.90,5.96,83.23,13.77,10.83,0.51,41.18,1.64,423.60,8.96,1.21,1.35,0.62,4.94,ASIMAR,SET,SERVICE,TRANS
1Q2557,154.76,,,-1.28,-0.01,-0.22,-0.34,79.02,16.07,-0.83,0.56,33.07,2.10,542.41,8.28,1.45,1.45,7.14,6.79,ASIMAR,SET,SERVICE,TRANS
2Q2557,103.87,-400.00,,-5.34,-0.03,-0.91,-1.50,71.78,24.60,-5.14,0.76,44.01,1.94,501.08,8.63,1.33,1.46,7.73,9.53,ASIMAR,SET,SERVICE,TRANS
3Q2557,132.59,,-58.57,6.25,0.03,1.06,1.86,78.22,20.48,4.71,0.73,41.11,1.95,503.67,14.91,1.51,1.29,7.69,11.83,ASIMAR,SET,SERVICE,TRANS
4Q2557,216.45,455.17,101.25,40.95,0.16,6.97,11.38,86.86,11.62,18.92,0.54,29.20,1.80,464.92,21.96,1.37,1.31,8.33,7.43,ASIMAR,SET,SERVICE,TRANS
1Q2558,272.15,-21.12,,32.85,0.13,5.15,8.28,86.82,11.47,12.07,0.67,35.95,2.10,542.41,13.37,1.43,1.47,5.71,6.22,ASIMAR,SET,SERVICE,TRANS
2Q2558,184.17,-26.77,,22.72,0.09,3.32,5.56,83.21,16.82,12.34,0.68,3.55,2.40,619.90,8.30,1.50,1.60,5.00,5.27,ASIMAR,SET,SERVICE,TRANS
3Q2558,217.26,82.80,486.21,46.45,0.17,6.83,10.85,88.08,10.91,21.38,0.51,-1.62,2.94,759.38,7.39,1.88,1.57,4.08,4.45,ASIMAR,SET,SERVICE,TRANS
4Q2558,92.81,,,-10.69,-0.04,-1.77,-2.40,57.62,39.81,-11.52,0.20,21.91,3.40,878.19,6.14,1.95,1.75,3.53,5.99,ASIMAR,SET,SERVICE,TRANS
1Q2559,112.49,,-82.68,5.70,0.02,1.06,1.28,71.16,24.82,5.06,0.22,6.44,3.80,981.51,10.88,2.23,1.70,5.26,9.02,ASIMAR,SET,SERVICE,TRANS
2Q2559,126.44,27.27,-69.89,7.08,0.03,1.26,1.67,77.86,19.82,5.60,0.45,29.59,3.16,816.20,12.96,1.83,1.72,6.33,10.24,ASIMAR,SET,SERVICE,TRANS
3Q2559,132.02,114.29,-64.71,17.46,0.06,2.47,4.25,74.15,22.53,13.23,0.99,14.74,2.92,754.21,16.10,1.89,1.55,6.85,16.83,ASIMAR,SET,SERVICE,TRANS
4Q2559,243.63,33.33,,19.17,0.08,2.50,4.47,88.13,10.58,7.87,0.60,-17.80,2.80,723.22,41.86,1.73,1.61,7.14,9.80,ASIMAR,SET,SERVICE,TRANS
1Q2560,141.15,-80.00,-27.27,4.01,0.02,0.55,0.91,77.92,19.39,2.84,0.69,-8.31,2.90,749.04,15.49,1.72,1.69,4.14,10.57,ASIMAR,SET,SERVICE,TRANS
2Q2560,210.23,675.00,342.86,33.32,0.12,4.52,7.56,84.57,14.00,15.85,0.65,-35.52,2.60,671.56,14.36,1.53,1.70,4.62,6.62,ASIMAR,SET,SERVICE,TRANS
