,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,,80.00,0.00,184.60,0.09,2.72,4.51,,,,0.69,,2.44,"5,137.80",10.17,1.29,1.89,8.20,,ASP,SET,FINCIAL,FIN
2Q2555,,-66.67,-40.00,67.46,0.03,0.92,1.64,,,,0.87,,2.30,"4,843.01",9.69,1.15,2.00,8.70,,ASP,SET,FINCIAL,FIN
3Q2555,,200.00,80.00,191.33,0.09,2.49,4.76,,,,0.96,,2.30,"4,843.01",10.62,1.21,1.90,8.70,,ASP,SET,FINCIAL,FIN
4Q2555,,-11.11,60.00,159.75,0.08,1.97,3.89,,,,0.98,,2.54,"5,348.37",9.85,1.33,1.91,7.87,,ASP,SET,FINCIAL,FIN
1Q2556,,137.50,111.11,394.42,0.19,4.10,9.02,,,,1.40,,4.02,"8,464.74",14.03,2.02,1.99,5.97,,ASP,SET,FINCIAL,FIN
2Q2556,,-40.36,277.70,244.24,0.11,2.41,5.43,,,,1.10,,3.84,"8,085.72",9.95,1.77,2.17,6.25,,ASP,SET,FINCIAL,FIN
3Q2556,,20.32,51.49,287.09,0.14,3.26,6.57,,,,0.92,,3.76,"7,917.27",8.00,1.78,2.11,6.38,,ASP,SET,FINCIAL,FIN
4Q2556,,-50.68,-15.95,141.58,0.07,1.77,3.24,,,,0.73,,3.46,"7,285.57",6.71,1.69,2.04,6.94,,ASP,SET,FINCIAL,FIN
1Q2557,,-32.47,-76.10,95.61,0.05,1.26,2.14,,,,0.66,,3.40,"7,159.23",6.71,1.61,2.11,11.76,,ASP,SET,FINCIAL,FIN
2Q2557,,166.53,6.81,254.84,0.12,3.00,5.75,,,,1.17,,3.60,"7,580.36",9.86,1.68,2.14,11.11,,ASP,SET,FINCIAL,FIN
3Q2557,,18.62,5.30,294.58,0.14,3.04,6.73,,,,1.25,,3.94,"8,296.28",10.65,1.90,2.07,10.15,,ASP,SET,FINCIAL,FIN
4Q2557,,-44.27,18.98,182.84,0.08,2.08,4.07,,,,0.67,,4.08,"8,591.08",10.92,1.95,2.09,9.80,,ASP,SET,FINCIAL,FIN
1Q2558,,25.00,120.22,210.09,0.10,2.65,4.48,,,,0.71,,3.86,"8,127.83",9.82,1.77,2.18,8.29,,ASP,SET,FINCIAL,FIN
2Q2558,,-30.00,-42.16,139.12,0.07,1.55,2.99,,,,1.16,,4.24,"8,927.98",9.47,1.86,2.28,7.55,,ASP,SET,FINCIAL,FIN
3Q2558,,-42.86,-72.14,85.99,0.04,0.98,1.95,,,,0.83,,3.68,"7,748.81",9.37,1.72,2.14,8.70,,ASP,SET,FINCIAL,FIN
4Q2558,,25.00,-37.50,122.54,0.05,1.57,2.80,,,,0.75,,3.50,"7,369.80",11.92,1.71,2.05,9.14,,ASP,SET,FINCIAL,FIN
1Q2559,,20.00,-40.00,134.18,0.06,1.62,2.98,,,,0.91,,3.40,"7,159.23",12.84,1.61,2.11,7.06,,ASP,SET,FINCIAL,FIN
2Q2559,,50.00,28.57,171.77,0.09,1.91,3.79,,,,1.05,,3.32,"6,990.78",14.51,1.53,2.17,7.23,,ASP,SET,FINCIAL,FIN
3Q2559,,16.67,162.50,231.68,0.10,2.67,5.14,,,,0.81,,3.32,"6,990.78",13.59,1.56,2.13,7.23,,ASP,SET,FINCIAL,FIN
4Q2559,,0.00,110.00,218.02,0.10,2.42,4.70,,,,1.08,,3.64,"7,664.59",11.61,1.69,2.15,6.59,,ASP,SET,FINCIAL,FIN
1Q2560,,-14.29,50.00,192.43,0.09,1.99,3.97,,,,0.91,,3.52,"7,411.91",9.81,1.56,2.26,8.50,,ASP,SET,FINCIAL,FIN
2Q2560,,-11.11,-11.11,168.32,0.08,1.70,3.50,,,,1.22,,3.64,"7,664.59",9.42,1.55,2.35,8.22,,ASP,SET,FINCIAL,FIN
3Q2560,,11.25,-15.24,184.66,0.09,1.66,3.96,,,,1.56,,3.84,"8,085.72",9.98,1.73,2.22,7.79,,ASP,SET,FINCIAL,FIN
4Q2560,,2.25,-13.33,196.15,0.09,1.69,4.14,,,,1.34,,4.00,"8,422.62",11.03,1.81,2.20,7.48,,ASP,SET,FINCIAL,FIN
1Q2561,,20.88,22.22,228.17,0.11,2.19,4.61,,,,0.88,,3.74,"7,875.15",10.62,1.63,2.29,8.02,,ASP,SET,FINCIAL,FIN
2Q2561,,-54.55,-37.50,111.59,0.05,1.24,2.27,,,,0.78,,3.70,"7,790.93",10.02,1.54,2.40,8.11,,ASP,SET,FINCIAL,FIN
3Q2561,,-40.00,-66.29,68.27,0.03,0.75,1.46,,,,1.11,,3.84,"8,085.72",11.22,1.70,2.26,7.81,,ASP,SET,FINCIAL,FIN
4Q2561,,-33.33,-78.02,26.17,0.02,0.32,0.57,,,,0.38,,3.06,"6,443.31",10.66,1.40,2.19,9.80,,ASP,SET,FINCIAL,FIN
1Q2562,,200.00,-45.45,118.99,0.06,1.87,2.54,,,,0.33,,3.08,"6,485.42",14.94,1.40,2.20,6.49,,ASP,SET,FINCIAL,FIN
2Q2562,,-50.00,-40.00,66.74,0.03,0.89,1.43,,,,0.87,,2.78,"5,853.72",18.01,1.23,2.26,7.19,,ASP,SET,FINCIAL,FIN
3Q2562,,33.33,33.33,90.01,0.04,1.17,1.96,,,,0.48,,2.08,"4,379.76",15.63,0.95,2.19,9.62,,ASP,SET,FINCIAL,FIN
4Q2562,,0.00,100.00,83.68,0.04,1.28,1.82,,,,0.36,,1.74,"3,663.84",12.14,0.80,2.16,11.49,,ASP,SET,FINCIAL,FIN
1Q2563,487.67,-75.00,-83.33,24.08,0.01,0.34,0.52,,,4.94,0.72,,1.23,"2,589.96",,,,10.57,,ASP,SET,FINCIAL,FIN
2Q2563,410.77,600.00,133.33,153.96,0.07,1.92,3.30,,,37.48,0.71,,1.68,"3,537.50",13.37,0.76,2.22,7.74,,ASP,SET,FINCIAL,FIN
3Q2563,451.77,-14.29,50.00,107.71,0.06,1.38,2.31,,,23.84,0.64,,1.68,"3,537.50",10.06,0.76,2.22,7.74,,ASP,SET,FINCIAL,FIN
4Q2563,530.48,0.00,50.00,130.03,0.06,1.53,2.75,,,24.51,0.96,,2.18,"4,590.33",12.43,0.99,2.21,5.96,,ASP,SET,FINCIAL,FIN
1Q2564,885.69,176.70,"1,560.20",349.58,0.17,3.28,7.04,,,39.47,1.32,,2.64,"5,558.93",13.37,1.16,2.28,6.82,,ASP,SET,FINCIAL,FIN
