,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2558,,,,,,,,,,,2.11,-16.19,,,,,,,,AU,mai,AGRO,-
3Q2559,440.94,,,74.98,0.14,20.36,58.93,58.01,41.64,17.00,1.71,-13.69,,,,,,,,AU,mai,AGRO,-
4Q2559,167.45,-70.34,,23.79,0.04,3.51,5.03,52.48,47.22,14.21,0.21,-19.29,12.30,"8,917.50",93.56,,0.00,0.00,33.58,AU,mai,AGRO,-
1Q2560,157.78,-25.64,,21.74,0.03,2.29,2.65,50.74,48.25,13.78,0.10,-20.37,9.70,"7,032.50",71.20,8.69,1.12,0.08,24.65,AU,mai,AGRO,-
2Q2560,176.15,38.66,,31.46,0.04,3.37,3.73,53.57,45.19,17.86,0.11,-26.98,8.85,"7,218.27",76.44,8.69,1.02,0.08,30.70,AU,mai,AGRO,-
3Q2560,197.19,25.28,-61.68,41.72,0.05,4.31,4.76,56.61,42.32,21.16,0.09,-37.97,9.70,"7,911.55",79.27,9.24,1.05,0.07,44.47,AU,mai,AGRO,-
4Q2560,204.26,-33.93,-14.66,33.98,0.03,3.37,3.71,51.07,46.22,16.63,0.11,-33.74,12.20,"9,950.61",83.82,11.08,1.10,0.05,51.03,AU,mai,AGRO,-
1Q2561,201.54,11.07,27.48,31.17,0.04,2.99,3.29,49.67,49.28,15.47,0.09,-27.73,12.30,"10,032.17",77.83,10.76,1.14,1.22,47.55,AU,mai,AGRO,-
2Q2561,209.21,-7.17,-14.65,28.94,0.04,2.88,3.16,47.65,50.80,13.83,0.10,-20.22,9.25,"7,544.52",54.54,7.83,1.18,1.62,35.53,AU,mai,AGRO,-
3Q2561,216.36,32.86,-9.49,38.45,0.05,3.94,4.32,52.35,47.08,17.77,0.09,-15.35,8.50,"6,932.80",51.05,7.97,1.07,1.76,32.40,AU,mai,AGRO,-
4Q2561,253.62,26.37,73.12,48.87,0.06,4.67,5.24,57.80,40.99,19.27,0.15,-17.90,6.00,"4,893.74",36.92,5.39,1.11,2.50,20.99,AU,mai,AGRO,-
1Q2562,289.41,22.83,91.44,59.68,0.07,5.28,6.05,58.84,40.27,20.62,0.14,-21.99,8.45,"6,892.02",46.75,7.20,1.17,2.25,25.26,AU,mai,AGRO,-
2Q2562,314.51,5.84,118.26,63.17,0.08,5.63,6.51,59.19,39.98,20.08,0.17,-27.04,13.40,"10,929.36",62.12,10.75,1.25,1.42,34.08,AU,mai,AGRO,-
3Q2562,314.76,2.25,67.97,64.58,0.08,5.83,6.75,59.37,39.74,20.52,0.15,-28.93,12.80,"10,439.98",49.68,11.29,1.13,1.48,29.22,AU,mai,AGRO,-
4Q2562,286.58,-23.10,2.22,49.66,0.06,4.25,4.90,56.13,42.83,17.33,0.16,-25.16,10.00,"8,156.24",34.52,8.24,1.21,1.90,22.53,AU,mai,AGRO,-
1Q2563,220.02,-73.23,-77.72,13.30,0.02,0.97,1.44,45.79,53.82,6.04,0.89,-64.70,6.60,"5,383.12",22.71,5.18,1.27,4.39,16.94,AU,mai,AGRO,-
2Q2563,145.71,,,-3.07,-0.00,-0.22,-0.38,41.57,57.23,-2.11,0.58,-67.41,9.65,"7,870.77",41.27,9.71,0.99,3.01,30.63,AU,mai,AGRO,-
3Q2563,199.44,,-57.01,27.77,0.03,2.18,3.38,53.99,45.35,13.92,0.53,-70.52,9.00,"7,340.61",58.98,9.10,0.99,3.22,32.45,AU,mai,AGRO,-
4Q2563,209.64,-37.04,-64.81,17.48,0.02,1.35,2.07,47.78,50.81,8.34,0.53,-73.06,10.70,"8,727.17",99.57,10.45,1.02,2.71,42.64,AU,mai,AGRO,-
1Q2564,181.29,-32.76,-11.60,11.75,0.01,0.92,1.37,48.97,50.04,6.48,0.44,-20.82,11.60,"9,461.23",170.57,11.12,1.04,0.52,45.94,AU,mai,AGRO,-
2Q2564,138.64,,-142.55,-7.44,-0.01,-0.62,-0.89,37.80,61.25,-5.36,0.43,-15.45,10.50,"8,564.05",158.81,9.93,1.06,0.57,40.62,AU,mai,AGRO,-
3Q2564,116.04,-76.10,,-13.10,-0.02,-1.15,-1.64,34.35,64.48,-11.29,0.41,-13.42,10.10,"8,237.80",166.22,10.22,0.99,0.59,48.06,AU,mai,AGRO,-
1Q2565,200.82,,23.94,14.52,0.02,1.29,1.80,47.71,50.82,7.23,0.38,-9.88,10.10,"8,237.80","1,852.74",10.21,0.99,0.00,48.17,AU,mai,AGRO,-
2Q2565,235.21,135.95,,34.31,0.04,3.00,4.09,52.15,45.72,14.59,0.35,-8.64,9.45,"7,707.64","1,062.21",9.39,1.01,0.00,38.90,AU,mai,AGRO,-
3Q2565,247.95,-2.71,,33.52,0.04,2.85,3.84,51.87,47.32,13.52,0.34,-10.08,9.85,"8,400.92",171.37,9.82,1.05,0.00,34.19,AU,mai,AGRO,-
