,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2555,,,,,,,,,,,1.49,-133.09,,,,,,,,AUCT,mai,SERVICE,-
1Q2556,99.04,,,8.41,0.02,2.23,6.40,69.45,29.60,8.49,2.27,-258.48,,,,,,,,AUCT,mai,SERVICE,-
2Q2556,99.38,0.00,,8.84,0.02,2.07,6.56,70.87,27.61,8.90,2.08,-347.52,,,,,,,,AUCT,mai,SERVICE,-
3Q2556,125.95,100.00,,17.57,0.04,3.14,7.16,77.26,21.27,13.95,0.97,-432.22,2.22,"1,221.00",35.61,0.00,0.00,0.00,10.53,AUCT,mai,SERVICE,-
4Q2556,150.11,75.00,,34.75,0.07,5.01,9.38,81.71,16.35,23.15,0.79,,2.36,"1,298.00",29.95,3.69,0.64,0.00,11.90,AUCT,mai,SERVICE,-
1Q2557,165.39,14.29,300.00,46.45,0.08,6.14,11.27,81.87,16.26,28.09,0.88,,3.18,"1,749.00",25.14,4.50,0.71,3.77,11.19,AUCT,mai,SERVICE,-
2Q2557,163.85,0.00,300.00,42.43,0.08,5.25,9.83,81.50,16.74,25.90,0.86,,6.50,"3,575.00",33.22,8.21,0.79,1.85,18.60,AUCT,mai,SERVICE,-
3Q2557,191.15,25.00,150.00,54.12,0.10,6.92,13.07,82.93,16.26,28.31,0.91,,17.80,"9,790.00",69.33,22.86,0.78,0.67,40.57,AUCT,mai,SERVICE,-
4Q2557,199.68,10.00,57.14,59.43,0.11,8.04,13.83,81.91,16.75,29.76,0.55,,13.00,"7,150.00",40.22,17.88,0.73,0.92,25.42,AUCT,mai,SERVICE,-
1Q2558,197.82,0.00,37.50,61.35,0.11,7.49,14.01,83.02,15.86,31.01,1.22,,17.20,"9,460.00",46.73,20.59,0.84,1.98,32.04,AUCT,mai,SERVICE,-
2Q2558,162.04,-45.45,-25.00,34.74,0.06,4.01,8.01,78.30,19.60,21.44,0.80,,16.80,"9,240.00",42.52,22.20,0.76,2.02,31.93,AUCT,mai,SERVICE,-
3Q2558,188.53,66.67,0.00,51.02,0.10,6.42,11.87,81.13,17.24,27.06,0.91,,12.70,"6,985.00",33.32,15.49,0.82,2.68,24.41,AUCT,mai,SERVICE,-
4Q2558,175.65,-30.00,-36.36,40.55,0.07,5.30,9.44,82.22,19.70,23.08,0.67,,10.70,"5,885.00",28.49,14.41,0.74,3.18,22.28,AUCT,mai,SERVICE,-
1Q2559,152.37,-14.29,-45.45,31.60,0.06,4.16,7.54,77.38,21.62,20.74,0.98,,9.05,"4,977.50",26.53,11.06,0.82,3.76,21.72,AUCT,mai,SERVICE,-
2Q2559,141.56,-29.75,-29.75,24.58,0.04,3.38,6.14,75.65,23.17,17.37,0.66,,6.85,"3,767.50",23.86,9.70,0.71,4.96,17.54,AUCT,mai,SERVICE,-
3Q2559,158.60,60.97,-32.15,35.64,0.07,5.52,8.84,80.65,18.99,22.47,0.54,,7.95,"4,372.50",29.60,10.59,0.75,4.28,21.77,AUCT,mai,SERVICE,-
4Q2559,154.19,-11.57,-14.29,33.79,0.06,5.70,8.23,78.86,20.41,21.92,0.36,,10.50,"5,775.00",43.63,14.68,0.72,3.24,29.35,AUCT,mai,SERVICE,-
1Q2560,152.92,0.03,0.03,33.01,0.06,5.26,7.44,77.69,21.46,21.59,0.46,,7.95,"4,372.50",34.81,10.23,0.78,2.77,22.24,AUCT,mai,SERVICE,-
2Q2560,124.75,-66.71,-52.60,11.55,0.02,1.81,2.67,74.41,25.06,9.26,0.49,,7.25,"3,987.50",31.39,8.66,0.84,3.03,22.07,AUCT,mai,SERVICE,-
3Q2560,140.69,200.30,-11.57,32.89,0.06,5.03,8.00,79.54,19.86,23.38,0.69,,6.40,"3,520.00",30.88,8.67,0.74,3.44,20.11,AUCT,mai,SERVICE,-
4Q2560,144.95,-16.67,-16.67,26.48,0.05,4.05,6.12,78.61,20.69,18.27,0.35,,5.70,"3,135.00",28.18,7.52,0.76,3.86,18.61,AUCT,mai,SERVICE,-
1Q2561,162.15,60.00,33.29,41.52,0.08,6.00,8.86,78.56,20.86,25.61,0.59,,5.05,"2,777.50",26.72,6.20,0.81,3.96,15.77,AUCT,mai,SERVICE,-
2Q2561,149.44,-37.50,150.25,28.15,0.05,3.71,6.13,76.50,22.29,18.84,0.72,,5.85,"3,217.50",28.61,6.57,0.89,3.42,16.28,AUCT,mai,SERVICE,-
3Q2561,181.67,80.00,50.00,49.86,0.09,6.42,11.67,81.26,18.31,27.45,0.92,,7.30,"4,015.00",31.11,9.34,0.78,2.74,18.36,AUCT,mai,SERVICE,-
4Q2561,205.23,0.00,80.00,50.93,0.09,6.55,11.32,78.04,21.09,24.82,0.56,,5.00,"2,750.00",18.83,6.48,0.77,4.00,11.20,AUCT,mai,SERVICE,-
1Q2562,199.28,22.22,37.50,59.56,0.11,7.10,11.79,81.91,17.41,29.89,0.75,,5.65,"3,107.50",18.23,6.54,0.86,5.31,11.70,AUCT,mai,SERVICE,-
2Q2562,181.22,-27.27,60.00,42.84,0.08,4.80,8.54,79.57,19.48,23.64,0.81,,7.45,"4,097.50",21.74,7.66,0.97,4.03,14.41,AUCT,mai,SERVICE,-
3Q2562,202.68,25.00,11.11,57.81,0.10,6.76,12.69,80.81,18.18,28.52,0.94,,8.90,"4,895.00",24.09,10.46,0.85,3.37,16.47,AUCT,mai,SERVICE,-
4Q2562,228.69,40.00,55.56,74.04,0.14,8.67,15.42,83.52,15.03,32.37,0.63,,7.10,"3,905.00",18.50,8.81,0.81,4.23,12.17,AUCT,mai,SERVICE,-
1Q2563,235.23,-35.71,-18.18,51.87,0.09,4.16,10.96,81.63,17.43,22.05,2.84,,4.12,"2,266.00",9.67,4.38,0.94,9.71,9.20,AUCT,mai,SERVICE,-
2Q2563,226.51,47.86,66.34,70.81,0.13,4.21,15.25,83.65,15.97,31.26,2.44,,8.10,"4,455.00",19.66,10.39,0.78,4.94,13.05,AUCT,mai,SERVICE,-
3Q2563,192.94,-42.19,-23.07,39.94,0.08,2.41,8.49,80.16,19.41,20.70,2.62,,13.90,"7,645.00",30.04,15.30,0.91,2.88,20.34,AUCT,mai,SERVICE,-
4Q2563,214.40,42.99,-21.43,65.34,0.11,3.88,13.80,85.68,13.94,30.48,2.51,,9.90,"5,445.00",23.01,12.36,0.80,4.04,15.06,AUCT,mai,SERVICE,-
1Q2564,237.14,14.05,39.40,69.00,0.13,3.75,12.76,83.71,16.09,29.10,2.31,,11.00,"6,050.00",26.54,11.95,0.92,3.73,16.06,AUCT,mai,SERVICE,-
2Q2564,202.15,-34.13,-37.90,45.45,0.08,2.46,8.50,81.71,17.90,22.48,2.63,,10.00,"5,500.00",22.44,9.56,1.05,4.10,15.86,AUCT,mai,SERVICE,-
