,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2561,,,,,,,,,,,2.72,,,,,,,,,AWC,SET,PROPCON,PROP
2Q2562,"5,840.12",,,352.45,0.01,0.38,1.40,74.59,23.46,6.03,2.64,,,,,,,,,AWC,SET,PROPCON,PROP
3Q2562,"2,727.29",-37.85,,205.08,0.01,0.22,0.81,80.03,21.18,7.52,2.60,,,,,,,,,AWC,SET,PROPCON,PROP
4Q2562,"2,954.59",88.17,,482.49,0.02,0.48,0.95,71.37,27.68,16.33,0.44,,5.85,"187,200.00",221.42,,0.00,0.00,19.59,AWC,SET,PROPCON,PROP
1Q2563,"2,512.94",-80.33,,108.22,0.00,0.09,0.15,68.78,30.80,4.31,0.70,,3.26,"104,320.00",,,,0.38,26.09,AWC,SET,PROPCON,PROP
2Q2563,778.00,,,-876.84,-0.03,-0.70,-1.20,25.11,72.62,-112.70,0.72,,3.86,"123,520.00",131.26,1.68,2.30,0.32,53.71,AWC,SET,PROPCON,PROP
3Q2563,"1,266.86",29.23,,-620.44,-0.02,-0.50,-0.86,48.00,48.72,-48.97,0.73,,3.50,"112,000.00",N/A,1.55,2.26,0.36,75.63,AWC,SET,PROPCON,PROP
4Q2563,"1,578.62",20.68,,-492.17,-0.02,-0.40,-0.69,67.37,29.11,-31.18,0.75,,4.56,"145,920.00",N/A,2.04,2.24,0.27,170.78,AWC,SET,PROPCON,PROP
1Q2564,"1,102.76",-20.68,,-594.00,-0.02,-0.46,-0.80,49.34,48.99,-53.87,0.72,,5.10,"163,200.00",N/A,2.29,2.22,0.00,953.88,AWC,SET,PROPCON,PROP
2Q2564,987.01,66.54,77.34,-198.48,-0.01,-0.15,-0.26,36.87,61.08,-20.11,0.73,,4.34,"138,880.00",N/A,1.79,2.42,0.00,205.69,AWC,SET,PROPCON,PROP
3Q2564,807.96,,,686.99,0.02,0.51,0.88,29.78,68.08,85.03,0.74,,4.66,"149,120.00",N/A,1.93,2.42,0.00,86.08,AWC,SET,PROPCON,PROP
4Q2564,"1,498.09",40.75,,966.97,0.03,0.70,1.23,57.00,40.80,64.55,0.75,,4.64,"148,480.00",N/A,1.90,2.44,0.00,52.80,AWC,SET,PROPCON,PROP
1Q2565,"1,614.40",-33.29,,645.11,0.02,0.46,0.81,58.52,40.73,39.96,0.76,,5.10,"163,201.99",,,,0.21,41.75,AWC,SET,PROPCON,PROP
2Q2565,"1,999.05",20.24,,776.47,0.02,0.55,0.97,62.27,37.03,38.84,0.77,,4.86,"156,163.76",74.34,1.95,2.50,0.22,33.37,AWC,SET,PROPCON,PROP
3Q2565,"2,487.90",32.43,49.51,"1,026.43",0.03,0.72,1.27,66.78,32.86,41.26,0.76,,5.75,"185,604.47",60.35,2.31,2.51,0.19,35.33,AWC,SET,PROPCON,PROP
