,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,543.36,88.00,,-89.72,-0.36,-0.72,-1.92,,,-16.51,1.66,,20.00,"5,000.00",N/A,1.06,18.80,5.00,,AYUD,SET,FINCIAL,INSUR
2Q2555,569.63,,5.71,92.13,0.37,0.78,2.00,,,16.17,1.50,,0.00,"5,700.00",N/A,1.23,18.53,4.39,,AYUD,SET,FINCIAL,INSUR
3Q2555,527.62,86.49,40.82,172.28,0.69,1.56,3.69,,,32.65,1.25,,22.00,"5,500.00",N/A,1.21,18.23,4.55,,AYUD,SET,FINCIAL,INSUR
4Q2555,553.77,,89.33,-79.75,-0.32,-0.77,-1.67,,,-14.40,1.10,,24.40,"6,100.00",N/A,1.28,19.10,4.10,,AYUD,SET,FINCIAL,INSUR
1Q2556,601.25,,,213.19,0.85,2.15,4.37,,,35.46,0.97,,22.90,"5,725.00",60.30,1.20,19.00,1.66,,AYUD,SET,FINCIAL,INSUR
2Q2556,755.31,-77.20,-47.61,47.77,0.19,0.48,0.96,,,6.32,1.05,,26.75,"6,687.50",16.81,1.34,20.02,1.42,,AYUD,SET,FINCIAL,INSUR
3Q2556,665.72,215.30,-11.42,152.79,0.61,1.52,3.14,,,22.95,1.08,,23.30,"5,825.00",16.48,1.19,19.61,1.63,,AYUD,SET,FINCIAL,INSUR
4Q2556,692.31,15.35,,176.18,0.70,1.81,3.59,,,25.45,0.89,,23.50,"5,875.00",17.59,1.21,19.38,1.62,,AYUD,SET,FINCIAL,INSUR
1Q2557,707.75,57.45,30.59,276.36,1.11,2.96,5.37,,,39.05,0.75,,28.50,"7,125.00",12.08,1.43,19.89,6.32,,AYUD,SET,FINCIAL,INSUR
2Q2557,697.47,-44.74,216.44,154.49,0.61,1.64,2.92,,,22.15,0.81,,35.00,"8,750.00",13.40,1.64,21.30,5.14,,AYUD,SET,FINCIAL,INSUR
3Q2557,"2,005.61",694.70,697.56,"1,218.63",4.87,11.83,20.94,,,60.76,0.74,,42.00,"10,500.00",13.82,1.99,21.09,4.29,,AYUD,SET,FINCIAL,INSUR
4Q2557,695.43,-82.57,20.52,212.41,0.85,1.93,3.23,,,30.54,0.62,,34.00,"8,500.00",4.66,1.33,25.47,5.29,,AYUD,SET,FINCIAL,INSUR
1Q2558,766.73,8.75,-16.76,230.98,0.92,1.98,3.34,,,30.13,0.75,,36.00,"9,000.00",4.83,1.33,27.11,6.94,,AYUD,SET,FINCIAL,INSUR
2Q2558,712.10,-23.14,15.77,177.53,0.71,1.54,2.59,,,24.93,0.61,,36.00,"9,000.00",4.95,1.28,28.22,6.94,,AYUD,SET,FINCIAL,INSUR
3Q2558,754.36,7.90,-84.28,191.56,0.77,1.77,2.87,,,25.39,0.63,,35.00,"8,750.00",4.76,1.31,26.70,7.14,,AYUD,SET,FINCIAL,INSUR
4Q2558,605.22,-59.89,-63.82,76.84,0.31,0.72,1.12,,,12.70,0.51,,35.25,"8,812.50",10.85,1.32,26.67,7.09,,AYUD,SET,FINCIAL,INSUR
