,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,"28,861.85",-21.11,-69.61,"3,977.82",10.25,1.78,4.43,83.20,14.89,13.78,1.44,127.06,608.00,"165,222.70",8.24,2.18,279.27,3.45,7.32,BANPU,SET,RESOURC,ENERG
2Q2555,"31,055.62",-1.82,-13.48,"4,422.54",10.06,1.96,4.88,82.65,12.80,14.24,1.52,133.18,448.00,"121,743.04",8.90,1.57,285.18,4.69,6.25,BANPU,SET,RESOURC,ENERG
3Q2555,"30,367.09",-17.31,-46.25,"3,425.83",8.32,1.50,3.84,83.04,13.18,11.28,1.62,146.44,392.00,"106,525.16",8.04,1.36,288.87,5.36,6.31,BANPU,SET,RESOURC,ENERG
4Q2555,"31,255.92",-33.12,-57.16,"2,473.58",5.56,1.09,2.80,81.07,15.44,7.91,1.51,151.71,412.00,"111,960.12",9.90,1.44,285.29,5.10,7.27,BANPU,SET,RESOURC,ENERG
1Q2556,"26,798.17",-38.83,-66.78,"1,713.78",3.40,0.76,1.92,78.53,14.41,6.40,1.53,151.55,377.00,"102,448.94",11.01,1.32,284.46,4.78,8.06,BANPU,SET,RESOURC,ENERG
2Q2556,"24,552.97",-25.09,-74.66,"1,204.43",2.55,0.53,1.39,88.62,15.14,4.91,1.76,158.42,241.00,"65,491.23",8.48,0.79,292.62,7.76,8.44,BANPU,SET,RESOURC,ENERG
3Q2556,"26,866.65",,,"1,640.31",-4.98,0.71,1.95,81.38,13.45,6.11,1.76,150.20,27.50,"74,730.66",13.32,0.98,27.80,6.89,10.09,BANPU,SET,RESOURC,ENERG
4Q2556,"27,211.90",,-95.51,"1,191.32",0.25,0.51,1.41,84.58,14.97,4.38,1.78,155.64,30.25,"82,203.73",20.46,1.14,26.75,5.95,11.31,BANPU,SET,RESOURC,ENERG
1Q2557,"28,555.51",179.03,-79.51,"2,930.29",0.70,1.24,3.42,80.87,14.18,10.26,1.75,149.98,28.00,"72,292.60",22.94,0.98,27.20,4.29,9.39,BANPU,SET,RESOURC,ENERG
2Q2557,"23,721.36",-62.13,-89.64,"1,307.43",0.26,0.55,1.52,84.53,13.72,5.51,1.74,151.24,29.50,"76,165.42",18.91,1.03,28.74,4.07,9.39,BANPU,SET,RESOURC,ENERG
3Q2557,"27,268.36",-80.79,,383.04,0.05,0.16,0.46,87.30,12.98,1.40,1.85,148.33,29.50,"76,165.42",18.67,1.03,28.70,4.07,9.54,BANPU,SET,RESOURC,ENERG
4Q2557,"24,019.97",-49.63,-89.78,458.97,0.03,0.20,0.57,85.49,15.80,1.91,1.87,158.12,24.90,"64,288.78",19.72,0.93,26.82,4.82,10.21,BANPU,SET,RESOURC,ENERG
1Q2558,"22,655.10",4.97,-96.15,528.50,0.03,0.24,0.69,85.22,14.13,2.33,1.93,171.59,29.50,"76,165.42",28.42,1.12,26.25,4.07,12.49,BANPU,SET,RESOURC,ENERG
2Q2558,"20,284.37",,,217.69,-0.02,0.10,0.29,84.04,14.68,1.07,1.94,172.09,25.50,"65,837.90",69.45,1.03,24.75,4.71,13.37,BANPU,SET,RESOURC,ENERG
3Q2558,"21,229.84",-32.97,,270.61,-0.03,0.12,0.36,85.84,13.36,1.27,2.15,181.20,20.00,"51,637.57",244.08,0.79,25.24,6.00,14.10,BANPU,SET,RESOURC,ENERG
4Q2558,"21,399.24","-1,943.69",,"-1,682.45",-0.57,-0.71,-2.24,77.17,21.22,-7.86,2.17,162.84,16.00,"41,310.06","4,980.12",0.65,24.45,7.50,13.87,BANPU,SET,RESOURC,ENERG
1Q2559,"19,959.62",87.56,,138.24,-0.07,0.06,0.18,84.35,14.31,0.69,2.25,152.14,16.70,"43,117.37",N/A,0.68,24.48,5.99,15.48,BANPU,SET,RESOURC,ENERG
2Q2559,"16,891.51",,,466.11,0.11,0.19,0.61,82.40,15.65,2.76,2.08,141.69,14.70,"56,930.42",N/A,0.89,24.65,4.54,16.77,BANPU,SET,RESOURC,ENERG
3Q2559,"20,620.84",-84.34,,440.26,0.02,0.18,0.55,85.73,13.25,2.14,1.96,116.35,15.70,"76,407.27",N/A,1.13,17.38,3.38,18.61,BANPU,SET,RESOURC,ENERG
4Q2559,"23,440.25","2,348.33",,"2,388.01",0.41,0.97,2.65,82.29,16.15,10.19,1.55,103.12,19.20,"94,793.66",N/A,1.33,14.61,2.72,13.60,BANPU,SET,RESOURC,ENERG
1Q2560,"22,622.95",-29.51,,"2,318.40",0.29,0.92,2.35,86.45,11.79,10.25,1.53,99.20,19.80,"100,200.56",59.75,1.27,15.98,2.20,11.56,BANPU,SET,RESOURC,ENERG
2Q2560,"21,947.85",54.70,318.01,"3,202.13",0.45,1.27,3.19,86.42,12.49,14.59,1.51,90.69,16.60,"85,687.96",26.00,1.06,15.97,2.57,9.23,BANPU,SET,RESOURC,ENERG
