,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,"19,098.31",600.00,21.74,"3,441.66",0.56,0.36,3.30,,,18.02,8.19,,27.00,"164,001.88",17.70,1.60,16.87,2.59,,BAY,SET,FINCIAL,BANK
2Q2555,"20,190.00",8.93,22.00,"3,715.01",0.61,0.37,3.47,,,18.40,8.58,,29.50,"179,187.24",18.12,1.69,17.46,2.37,,BAY,SET,FINCIAL,BANK
3Q2555,"20,701.35",1.64,26.53,"3,756.64",0.62,0.36,3.46,,,18.15,8.52,,31.25,"189,816.99",17.89,1.76,17.75,2.24,,BAY,SET,FINCIAL,BANK
4Q2555,"21,083.35",0.00,675.00,"3,755.32",0.62,0.36,3.37,,,17.81,8.45,,32.50,"197,409.67",17.40,1.81,17.96,2.15,,BAY,SET,FINCIAL,BANK
1Q2556,"21,571.81",8.06,19.64,"4,071.66",0.67,0.37,3.52,,,18.87,8.37,,34.75,"211,076.50",14.43,1.86,18.66,2.30,,BAY,SET,FINCIAL,BANK
2Q2556,"22,154.22",-25.37,-18.03,"3,076.53",0.50,0.28,2.59,,,13.89,8.45,,35.50,"215,632.10",14.15,1.84,19.35,2.25,,BAY,SET,FINCIAL,BANK
3Q2556,"22,725.43",24.17,0.14,"3,830.14",0.62,0.34,3.19,,,16.85,8.50,,37.75,"229,298.93",15.73,1.92,19.66,2.12,,BAY,SET,FINCIAL,BANK
4Q2556,"23,696.03",-74.37,-74.33,"1,007.18",0.16,0.09,0.83,,,4.25,8.70,,30.50,"185,261.38",12.66,1.54,19.81,2.62,,BAY,SET,FINCIAL,BANK
1Q2557,"22,766.01",237.92,-19.74,"3,302.75",0.54,0.28,2.67,,,14.51,8.45,,37.50,"227,780.39",19.19,1.88,19.98,2.13,,BAY,SET,FINCIAL,BANK
2Q2557,"22,984.99",5.94,13.94,"3,501.26",0.57,0.29,2.77,,,15.23,8.41,,46.50,"282,447.68",25.47,2.26,20.60,1.72,,BAY,SET,FINCIAL,BANK
