,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2561,,,,,,,,,,,5.54,,,,,,,,,BC,mai,PROPCON,-
2Q2562,153.55,,,348.47,0.20,9.45,47.74,7.81,83.19,226.95,3.20,,,,,,,,,BC,mai,PROPCON,-
3Q2562,46.78,,,-102.95,-0.21,-2.79,-13.08,-79.65,176.86,-220.08,4.37,,,,,,,,,BC,mai,PROPCON,-
4Q2562,71.79,12.12,,-95.93,-0.19,-2.62,-10.99,-15.56,128.57,-133.62,2.50,,1.61,816.27,N/A,,0.00,0.00,4.94,BC,mai,PROPCON,-
1Q2563,64.62,50.67,,-80.43,-0.09,-2.06,-7.45,-15.93,113.22,-124.46,2.73,,0.81,410.67,N/A,0.43,1.90,13.58,8.86,BC,mai,PROPCON,-
2Q2563,19.33,30.47,,-75.51,-0.06,-1.90,-7.31,-84.63,177.59,-390.69,2.96,,1.04,527.28,N/A,0.58,1.81,10.58,-16.98,BC,mai,PROPCON,-
3Q2563,25.50,-29.58,60.95,-84.85,-0.08,-2.14,-8.63,-73.35,167.32,-332.71,3.12,,0.84,425.88,N/A,0.48,1.75,13.10,-18.56,BC,mai,PROPCON,-
4Q2563,38.63,-7.78,52.10,-84.60,-0.09,-2.14,-9.18,-34.46,127.12,-218.98,3.46,,1.00,507.00,N/A,0.61,1.65,11.00,-20.63,BC,mai,PROPCON,-
1Q2564,30.48,7.41,10.08,-80.51,-0.08,-2.03,-9.55,-76.64,166.32,-264.18,3.97,,1.85,937.95,N/A,1.18,1.57,0.00,-23.17,BC,mai,PROPCON,-
2Q2564,34.04,-10.55,-42.96,-87.17,-0.09,-2.17,-11.72,-94.35,170.50,-256.06,4.91,,2.54,"1,287.78",N/A,1.71,1.48,0.00,-26.30,BC,mai,PROPCON,-
3Q2564,32.60,-27.35,-40.51,-109.28,-0.12,-2.70,-16.87,-118.09,204.02,-335.19,5.63,,1.51,765.57,N/A,1.09,1.39,0.00,-22.31,BC,mai,PROPCON,-
4Q2564,167.74,,,38.42,0.03,0.95,6.37,84.51,18.22,22.90,5.77,,2.14,"1,084.98",N/A,1.67,1.28,0.00,-105.75,BC,mai,PROPCON,-
1Q2565,52.08,,-40.99,-94.04,-0.12,-2.32,-15.68,-7.88,98.62,-180.57,5.76,,2.08,"1,060.09",N/A,1.87,1.33,0.00,-173.07,BC,mai,PROPCON,-
2Q2565,51.96,29.67,10.31,-80.73,-0.08,-1.96,-14.17,-24.83,111.32,-155.37,6.79,,1.73,989.00,N/A,1.37,1.27,0.00,-199.74,BC,mai,PROPCON,-
3Q2565,63.33,4.80,32.95,-82.95,-0.08,-1.99,-16.79,-16.86,99.73,-130.97,8.18,,1.50,864.75,N/A,1.28,1.19,0.00,"-5,726.30",BC,mai,PROPCON,-
