,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,"11,099.01",273.21,211.94,"3,303.17",2.09,5.46,9.61,76.57,19.53,29.76,0.76,-65.63,86.75,"134,068.56",30.57,4.19,20.70,1.27,12.75,BDMS,SET,SERVICE,HELTH
2Q2555,"10,831.18",-60.29,-11.70,"1,365.62",0.83,2.15,3.89,82.37,19.22,12.61,0.86,-65.97,97.50,"150,682.24",22.23,4.45,21.92,1.13,14.52,BDMS,SET,SERVICE,HELTH
3Q2555,"12,046.09",57.83,57.83,"2,110.26",1.31,3.22,5.87,79.73,19.12,17.52,0.79,-63.00,107.50,"166,136.83",24.86,4.96,21.66,1.02,14.86,BDMS,SET,SERVICE,HELTH
4Q2555,"12,090.83",-30.53,62.50,"1,473.19",0.91,2.19,3.89,78.45,19.99,12.18,0.76,-68.48,113.50,"175,409.58",23.63,4.95,22.93,0.97,14.84,BDMS,SET,SERVICE,HELTH
1Q2556,"12,458.33",38.46,-39.71,"2,027.35",1.26,2.90,5.11,80.70,18.07,16.27,0.76,-71.75,164.50,"254,227.99",32.03,6.82,24.13,1.09,22.70,BDMS,SET,SERVICE,HELTH
2Q2556,"12,049.17",-30.77,5.09,"1,401.00",0.87,1.94,3.51,71.63,21.73,11.63,0.86,-66.19,157.50,"243,409.77",36.56,6.23,25.27,1.14,22.06,BDMS,SET,SERVICE,HELTH
3Q2556,"13,504.64",14.91,-23.48,"1,627.66",1.00,2.20,4.07,73.56,22.42,12.05,0.84,-59.72,126.00,"194,727.82",29.01,5.21,24.19,1.43,18.70,BDMS,SET,SERVICE,HELTH
4Q2556,"13,246.32",-8.74,0.52,"1,463.97",0.91,1.94,3.51,75.51,20.01,11.05,0.79,-59.30,117.50,"182,018.74",29.12,4.69,25.10,1.53,17.52,BDMS,SET,SERVICE,HELTH
1Q2557,"14,032.68",-85.79,-89.68,"2,172.63",0.13,2.81,4.97,80.30,18.76,15.48,0.74,-59.41,133.00,"206,029.72",32.90,5.06,26.26,1.50,19.00,BDMS,SET,SERVICE,HELTH
2Q2557,"13,212.68",-22.42,-88.44,"1,566.75",0.10,2.00,3.55,71.50,20.66,11.86,0.81,-59.34,16.70,"258,698.97",40.50,6.04,2.76,1.20,22.90,BDMS,SET,SERVICE,HELTH
3Q2557,"14,493.72",23.41,-87.58,"1,982.85",0.12,2.35,4.44,74.84,20.59,13.68,0.96,-63.76,18.50,"286,582.70",43.80,6.93,2.67,1.08,24.33,BDMS,SET,SERVICE,HELTH
4Q2557,"15,235.49",-2.00,-86.67,"1,946.86",0.12,2.12,4.10,75.62,19.10,12.78,0.90,-62.73,17.20,"266,444.45",38.50,6.07,2.83,1.16,22.62,BDMS,SET,SERVICE,HELTH
1Q2558,"15,766.25",21.14,13.65,"2,369.86",0.15,2.54,4.73,75.55,18.61,15.03,0.82,-59.67,19.70,"305,171.84",41.28,6.52,3.02,1.17,24.72,BDMS,SET,SERVICE,HELTH
