,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2558,,,,,,,,,,,1.68,,,,,,,,,BEM,SET,SERVICE,TRANS
1Q2559,"3,053.66",,,701.86,0.05,0.90,2.38,92.32,6.76,22.98,1.61,,5.55,"84,831.75",32.02,2.92,1.90,1.26,12.27,BEM,SET,SERVICE,TRANS
2Q2559,"2,941.83",-40.00,,506.71,0.03,0.64,1.72,92.86,6.37,17.22,1.79,,6.90,"105,466.50",38.02,3.55,1.95,1.01,12.17,BEM,SET,SERVICE,TRANS
3Q2559,"3,469.22",66.67,,811.21,0.05,1.00,2.78,90.98,7.93,23.38,1.76,,6.90,"105,466.50",37.91,3.63,1.90,1.01,10.56,BEM,SET,SERVICE,TRANS
4Q2559,"3,763.77",-20.00,,593.10,0.04,0.73,2.01,90.71,8.34,15.76,1.78,,7.45,"113,873.25",37.91,3.91,1.91,0.94,20.65,BEM,SET,SERVICE,TRANS
1Q2560,"3,768.30",25.00,0.00,704.38,0.05,0.85,2.34,93.37,5.65,18.69,1.73,,7.60,"116,166.00",44.58,3.91,1.94,1.45,20.23,BEM,SET,SERVICE,TRANS
2Q2560,"3,742.30",-20.00,33.33,727.57,0.04,0.88,2.39,93.01,6.00,19.44,1.69,,7.45,"113,873.25",43.70,3.74,1.99,1.48,19.51,BEM,SET,SERVICE,TRANS
3Q2560,"3,925.34",50.00,20.00,945.99,0.06,1.04,3.12,93.77,5.57,24.10,2.31,,8.05,"123,044.25",43.57,4.07,1.98,1.37,21.85,BEM,SET,SERVICE,TRANS
4Q2560,"3,962.38",-16.67,25.00,764.42,0.05,0.77,2.49,88.70,7.63,19.29,2.17,,7.70,"117,694.50",39.81,3.89,1.98,1.43,20.33,BEM,SET,SERVICE,TRANS
1Q2561,"4,016.84",0.00,0.00,739.51,0.05,0.75,2.34,90.64,6.09,18.41,2.08,,7.15,"109,287.75",34.99,3.52,2.03,1.82,18.94,BEM,SET,SERVICE,TRANS
2Q2561,"3,917.74",20.00,50.00,980.46,0.06,0.99,3.07,90.51,6.47,25.03,2.10,,7.45,"113,873.25",36.07,3.58,2.08,1.74,18.61,BEM,SET,SERVICE,TRANS
3Q2561,"6,566.13",250.00,250.00,"3,122.50",0.21,3.08,9.25,56.48,3.62,47.55,1.92,,8.70,"132,979.50",38.97,4.19,2.08,1.49,16.16,BEM,SET,SERVICE,TRANS
4Q2561,"4,085.59",-85.71,-40.00,493.37,0.03,0.48,1.39,87.39,10.09,12.08,1.92,,9.70,"148,264.50",26.51,4.18,2.32,1.34,17.63,BEM,SET,SERVICE,TRANS
1Q2562,"4,078.25",100.00,20.00,867.73,0.06,0.83,2.42,91.11,6.23,21.28,1.91,,10.10,"154,378.50",29.03,4.35,2.32,1.49,18.09,BEM,SET,SERVICE,TRANS
2Q2562,"7,436.00",233.33,233.33,"3,121.00",0.20,2.85,8.09,48.33,3.61,41.97,1.77,,11.40,"174,249.00",32.03,4.82,2.36,1.32,15.82,BEM,SET,SERVICE,TRANS
3Q2562,"4,406.48",-70.00,-71.43,939.33,0.06,0.83,2.34,86.46,5.97,21.32,1.86,,10.80,"165,078.00",21.78,4.03,2.68,1.39,18.37,BEM,SET,SERVICE,TRANS
4Q2562,"4,300.46",-33.33,33.33,523.80,0.04,0.47,1.34,90.44,7.27,12.18,1.88,,10.90,"166,606.50",30.87,4.24,2.57,1.38,18.43,BEM,SET,SERVICE,TRANS
1Q2563,"3,884.76",-25.00,-50.00,510.23,0.03,0.45,1.36,91.71,6.02,13.13,2.16,,7.75,"118,458.75",,,,1.94,15.33,BEM,SET,SERVICE,TRANS
2Q2563,"2,833.22",-66.67,-95.00,153.05,0.01,0.13,0.42,78.34,9.51,5.40,2.09,,9.50,"145,207.50",28.56,3.98,2.38,1.58,28.96,BEM,SET,SERVICE,TRANS
3Q2563,"3,865.53",500.00,0.00,823.36,0.06,0.72,2.17,85.58,6.83,21.30,1.96,,8.55,"130,686.75",61.71,3.55,2.41,1.75,29.47,BEM,SET,SERVICE,TRANS
4Q2563,"3,732.64",-50.00,-25.00,568.09,0.03,0.50,1.47,88.52,8.78,15.22,1.99,,8.30,"126,865.50",63.34,3.25,2.55,1.81,31.35,BEM,SET,SERVICE,TRANS
1Q2564,"3,184.96",-33.33,-33.33,306.13,0.02,0.27,0.80,87.81,9.86,9.61,1.97,,8.75,"133,743.75",65.21,3.52,2.49,1.14,36.38,BEM,SET,SERVICE,TRANS
2Q2564,"2,741.37",-50.00,0.00,200.60,0.01,0.17,0.53,77.32,10.33,7.32,2.06,,8.15,"124,572.75",67.38,3.24,2.52,1.23,34.73,BEM,SET,SERVICE,TRANS
3Q2564,"2,432.17",0.00,-83.33,108.38,0.01,0.09,0.29,77.67,10.87,4.46,2.04,,8.75,"133,743.75",70.50,3.54,2.47,1.14,44.53,BEM,SET,SERVICE,TRANS
1Q2565,"3,158.93",100.00,0.00,336.18,0.02,0.29,0.88,89.59,8.37,10.64,2.03,,8.70,"132,979.50",,,,0.92,47.56,BEM,SET,SERVICE,TRANS
2Q2565,"3,644.52",100.00,300.00,634.07,0.04,0.55,1.67,81.14,8.35,17.40,2.05,,8.70,"133,743.75",128.49,3.50,2.50,0.91,43.64,BEM,SET,SERVICE,TRANS
3Q2565,"4,004.99",50.00,500.00,862.81,0.06,0.74,2.28,86.40,6.95,21.54,2.08,,9.15,"140,622.00",95.37,3.72,2.48,0.87,36.92,BEM,SET,SERVICE,TRANS
