,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2560,,,,,,,,,,,3.27,88.26,,,,,,,,BGC,SET,INDUS,PKG
2Q2561,"5,120.55",,,270.09,0.51,1.98,8.54,90.26,8.62,5.27,3.33,128.05,,,,,,,,BGC,SET,INDUS,PKG
3Q2561,"2,324.57",-67.27,,87.88,0.17,0.61,2.76,87.82,10.29,3.78,3.76,182.21,,,,,,,,BGC,SET,INDUS,PKG
4Q2561,"3,076.71",37.13,,165.77,0.23,1.13,4.02,90.24,9.11,5.39,1.86,211.54,10.20,"7,083.33",17.91,,0.00,0.00,4.18,BGC,SET,INDUS,PKG
1Q2562,"2,912.95",1.30,,168.65,0.23,1.16,3.22,90.58,8.83,5.79,1.69,351.79,11.40,"7,916.66",15.96,1.65,6.90,1.58,6.29,BGC,SET,INDUS,PKG
2Q2562,"2,749.13",-49.20,-76.90,86.47,0.12,0.61,1.65,90.37,8.84,3.15,1.70,401.23,12.70,"8,819.44",17.89,1.78,7.14,1.42,8.36,BGC,SET,INDUS,PKG
3Q2562,"2,539.51",-2.87,-31.46,84.54,0.12,0.60,1.63,90.31,9.15,3.33,1.73,388.65,14.50,"10,069.44",20.81,2.08,6.96,1.24,8.91,BGC,SET,INDUS,PKG
4Q2562,"3,116.91",132.89,16.40,188.75,0.27,1.20,3.49,91.67,7.87,6.06,2.09,359.68,13.60,"9,444.44",19.68,1.95,6.99,1.32,9.68,BGC,SET,INDUS,PKG
1Q2563,"3,027.58",-13.71,-0.85,167.65,0.23,0.95,2.92,89.94,9.67,5.54,2.06,307.30,8.50,"5,902.77",,,,5.20,7.71,BGC,SET,INDUS,PKG
2Q2563,"2,213.86",-50.46,-3.30,119.25,0.11,0.66,2.06,86.90,12.23,5.39,2.14,355.77,10.60,"7,361.11",14.43,1.43,7.40,4.17,8.03,BGC,SET,INDUS,PKG
3Q2563,"2,701.91",95.19,94.32,185.96,0.22,1.04,3.20,88.91,10.48,6.88,2.03,362.79,12.50,"8,680.55",17.10,1.73,7.21,3.54,7.85,BGC,SET,INDUS,PKG
4Q2563,"3,081.96",-22.98,-35.73,111.28,0.17,0.62,1.85,87.48,12.20,3.61,1.91,360.12,10.30,"7,152.77",12.27,1.40,7.37,4.29,7.41,BGC,SET,INDUS,PKG
1Q2564,"3,036.86",49.88,11.63,196.49,0.26,1.09,3.13,89.70,9.75,6.47,1.81,394.76,10.00,"6,944.44",13.45,1.36,7.36,4.60,7.28,BGC,SET,INDUS,PKG
2Q2564,"3,554.40",-26.14,66.42,172.94,0.19,0.95,2.93,88.50,10.28,4.87,2.45,347.71,10.20,"7,083.33",13.17,1.33,7.67,4.51,7.62,BGC,SET,INDUS,PKG
3Q2564,"2,806.52",-6.70,-20.45,150.33,0.18,0.80,2.75,86.05,12.79,5.36,2.42,348.01,10.70,"7,430.55",12.67,1.73,6.19,4.30,7.88,BGC,SET,INDUS,PKG
4Q2564,"3,078.60",-29.73,-27.42,79.51,0.13,0.42,1.44,88.99,11.10,2.58,2.41,388.28,10.60,"7,361.11",13.23,1.67,6.35,4.34,8.03,BGC,SET,INDUS,PKG
1Q2565,"4,066.51",149.08,20.61,225.62,0.31,1.33,4.35,87.54,10.01,5.55,2.11,347.34,10.20,"7,083.33",,,,4.71,6.83,BGC,SET,INDUS,PKG
2Q2565,"3,420.42",-50.21,-18.70,115.47,0.16,0.77,2.39,89.55,9.50,3.38,2.10,329.85,10.30,"7,291.66",13.07,1.62,6.48,4.57,7.34,BGC,SET,INDUS,PKG
3Q2565,"3,064.01",-10.36,-21.89,99.37,0.14,0.65,2.07,89.40,9.80,3.24,2.23,309.43,9.70,"6,909.72",12.86,1.56,6.39,4.82,7.99,BGC,SET,INDUS,PKG
