,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2559,,,,,,,,,,,5.59,,,,,,,,,BGRIM,SET,RESOURC,ENERG
1Q2560,"7,661.73",,,"1,097.94",0.36,1.43,8.97,96.11,3.74,14.33,4.97,,,,,,,,,BGRIM,SET,RESOURC,ENERG
2Q2560,"8,005.78",-38.57,,749.75,0.22,0.95,5.69,96.37,3.11,9.37,5.02,,,,,,,,,BGRIM,SET,RESOURC,ENERG
3Q2560,"8,127.00",1.15,,974.83,0.22,1.16,5.02,96.16,3.57,11.99,2.46,,22.20,"57,873.18",39.58,,0.00,0.00,7.36,BGRIM,SET,RESOURC,ENERG
4Q2560,"7,874.68",-29.48,,771.33,0.16,0.87,3.02,93.02,5.55,9.80,2.47,,28.75,"74,948.38",47.90,4.11,7.00,0.00,13.60,BGRIM,SET,RESOURC,ENERG
1Q2561,"8,177.53",76.05,-22.85,"1,203.10",0.28,1.35,4.57,95.95,3.78,14.71,2.30,,25.75,"67,127.68",31.56,3.60,7.16,1.17,12.68,BGRIM,SET,RESOURC,ENERG
2Q2561,"8,863.07",-70.12,-62.47,316.21,0.08,0.35,1.20,95.64,3.70,3.57,2.46,,22.80,"59,437.32",27.39,3.08,7.40,1.32,11.89,BGRIM,SET,RESOURC,ENERG
3Q2561,"9,998.52",262.19,34.38,"1,176.67",0.30,1.28,4.39,93.61,3.31,11.77,2.39,,29.00,"75,600.10",38.48,4.00,7.24,1.03,13.69,BGRIM,SET,RESOURC,ENERG
4Q2561,"10,005.71",-81.81,-65.34,279.79,0.05,0.29,1.01,94.88,4.40,2.80,2.63,,26.50,"69,082.85",31.53,3.62,7.33,1.13,13.74,BGRIM,SET,RESOURC,ENERG
1Q2562,"10,304.64",,,835.44,,0.79,2.97,96.15,3.39,8.11,2.86,,31.25,"81,465.63",43.73,4.23,7.39,1.02,15.61,BGRIM,SET,RESOURC,ENERG
2Q2562,"10,935.40",706.30,431.21,"1,038.43",0.44,0.93,3.64,95.57,3.80,9.50,2.98,,35.75,"93,196.68",55.72,4.74,7.55,0.90,16.91,BGRIM,SET,RESOURC,ENERG
3Q2562,"11,787.35",-31.82,0.00,"1,287.25",0.30,1.13,4.44,95.95,3.75,10.92,2.87,,43.25,"112,748.43",54.12,5.75,7.52,0.74,17.32,BGRIM,SET,RESOURC,ENERG
4Q2562,"11,393.99",-53.33,156.55,815.91,0.14,0.69,2.39,93.02,5.78,7.16,2.15,,52.50,"136,862.25",66.70,6.86,7.66,0.61,17.21,BGRIM,SET,RESOURC,ENERG
1Q2563,"11,315.26",,,159.18,-0.01,0.13,0.42,94.98,4.21,1.41,2.58,,39.75,"103,624.27",,,,0.93,14.45,BGRIM,SET,RESOURC,ENERG
2Q2563,"11,319.30",,-20.45,"1,681.61",0.35,1.31,4.61,95.04,4.29,14.86,2.43,,53.50,"139,469.15",74.21,5.22,10.26,0.69,16.31,BGRIM,SET,RESOURC,ENERG
3Q2563,"11,226.26",-54.29,-46.67,858.79,0.16,0.68,2.30,95.39,4.25,7.65,2.36,,42.25,"110,141.52",48.50,4.12,10.26,0.88,14.23,BGRIM,SET,RESOURC,ENERG
4Q2563,"10,476.84",12.50,28.57,"1,055.90",0.18,0.82,2.74,93.88,5.72,10.08,2.33,,48.50,"126,434.65",62.96,4.65,10.43,0.76,15.63,BGRIM,SET,RESOURC,ENERG
1Q2564,"10,480.56",11.11,,848.24,0.20,0.64,2.11,95.81,3.92,8.09,2.24,,45.75,"119,265.68",54.84,4.34,10.54,0.98,14.41,BGRIM,SET,RESOURC,ENERG
2Q2564,"11,520.31",75.00,0.00,"1,470.70",0.35,1.08,3.58,96.06,3.55,12.77,2.39,,42.00,"109,489.80",40.48,3.78,11.11,1.07,13.57,BGRIM,SET,RESOURC,ENERG
3Q2564,"11,771.14",-62.86,-18.75,605.71,0.13,0.43,1.49,96.01,3.51,5.15,2.54,"-1,125.13",41.00,"106,882.90",39.44,3.71,11.04,1.10,13.52,BGRIM,SET,RESOURC,ENERG
4Q2564,"13,044.23",-69.23,-77.78,492.54,0.04,0.34,1.22,96.19,3.37,3.78,2.66,"-1,187.28",40.50,"105,579.45",39.74,3.59,11.28,1.11,14.32,BGRIM,SET,RESOURC,ENERG
1Q2565,"14,809.13",,,90.73,-0.03,0.06,0.22,97.07,2.59,0.61,2.59,"-1,201.88",35.25,"91,893.23",,,,1.19,14.98,BGRIM,SET,RESOURC,ENERG
2Q2565,"14,741.19",-266.67,,-149.47,-0.11,-0.09,-0.35,96.48,3.07,-1.01,2.89,"-1,151.96",34.75,"91,241.50",54.05,2.98,11.75,1.20,16.99,BGRIM,SET,RESOURC,ENERG
3Q2565,"19,007.21",-118.18,,-650.60,-0.24,-0.38,-1.49,94.29,2.43,-3.42,2.99,"-1,268.22",33.25,"87,982.88",186.05,2.84,11.90,1.24,17.82,BGRIM,SET,RESOURC,ENERG
