,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,240.05,-50.00,-20.00,12.26,0.04,1.81,3.24,61.34,38.54,5.11,0.79,222.78,2.02,645.54,9.10,1.74,1.16,1.34,7.52,BGT,mai,CONSUMP,-
2Q2555,234.70,-50.00,-60.00,7.55,0.02,1.07,1.96,55.00,44.48,3.22,0.87,209.21,1.59,571.63,8.53,1.49,1.07,1.51,7.82,BGT,mai,CONSUMP,-
3Q2555,213.87,-50.00,-75.00,3.27,0.01,0.45,0.84,53.89,46.03,1.53,0.85,196.86,1.72,618.36,10.34,1.59,1.08,1.40,9.02,BGT,mai,CONSUMP,-
4Q2555,250.72,300.00,-50.00,15.76,0.04,2.11,3.95,58.97,39.54,6.29,0.89,188.37,1.23,442.20,9.05,1.13,1.09,1.95,7.84,BGT,mai,CONSUMP,-
1Q2556,219.62,-50.00,-50.00,7.10,0.02,0.91,1.71,57.25,42.70,3.23,0.87,188.04,1.30,467.37,12.03,1.15,1.13,1.69,8.78,BGT,mai,CONSUMP,-
2Q2556,214.71,-50.00,-50.00,4.84,0.01,0.63,1.15,55.01,44.91,2.26,0.79,199.96,1.04,373.89,11.09,0.89,1.17,2.12,7.53,BGT,mai,CONSUMP,-
3Q2556,204.97,0.00,0.00,3.31,0.01,0.45,0.78,55.59,43.85,1.61,0.71,214.30,1.05,377.49,12.09,0.90,1.16,2.10,7.22,BGT,mai,CONSUMP,-
4Q2556,236.58,100.00,-50.00,4.83,0.02,0.67,1.13,60.22,39.69,2.04,0.64,216.41,0.97,348.73,11.28,0.83,1.17,2.27,6.96,BGT,mai,CONSUMP,-
1Q2557,187.87,,,-10.70,-0.03,-1.55,-2.52,51.15,48.66,-5.70,0.61,204.64,0.92,330.75,16.48,0.78,1.19,1.30,8.95,BGT,mai,CONSUMP,-
2Q2557,200.04,,,4.14,0.00,0.61,0.99,55.27,44.45,2.07,0.63,186.12,0.92,330.75,286.37,0.80,1.15,1.30,9.58,BGT,mai,CONSUMP,-
3Q2557,189.22,,,-1.04,-0.01,-0.15,-0.25,60.13,39.50,-0.55,0.63,169.53,1.41,506.91,N/A,1.23,1.15,0.85,14.40,BGT,mai,CONSUMP,-
4Q2557,243.87,,50.00,11.54,0.03,1.68,2.72,52.15,47.72,4.73,0.61,154.97,1.21,435.01,N/A,1.06,1.14,0.99,11.30,BGT,mai,CONSUMP,-
1Q2558,190.24,-66.67,,5.72,0.01,0.86,1.34,56.11,43.72,3.01,0.52,155.81,1.27,456.58,N/A,1.09,1.17,0.00,8.61,BGT,mai,CONSUMP,-
2Q2558,174.39,,,-2.61,0.00,-0.40,-0.62,51.56,47.99,-1.50,0.58,154.93,1.26,452.99,33.51,1.07,1.18,0.00,10.43,BGT,mai,CONSUMP,-
3Q2558,167.40,,,0.29,0.00,0.05,0.07,51.20,48.54,0.18,0.52,162.02,1.20,432.82,45.56,1.03,1.17,0.00,10.25,BGT,mai,CONSUMP,-
4Q2558,216.81,,-66.67,4.79,0.01,0.74,1.13,54.08,45.73,2.21,0.55,177.14,1.11,400.36,30.84,0.95,1.17,0.00,11.33,BGT,mai,CONSUMP,-
1Q2559,207.11,200.00,200.00,12.04,0.03,1.83,2.78,59.43,40.42,5.82,0.49,190.33,1.11,400.36,56.52,0.93,1.19,0.00,9.50,BGT,mai,CONSUMP,-
2Q2559,204.28,33.33,,14.45,0.04,2.19,3.22,59.43,40.36,7.07,0.45,208.51,1.13,407.57,28.08,0.92,1.23,0.00,7.05,BGT,mai,CONSUMP,-
3Q2559,195.71,-50.00,,6.78,0.02,1.00,1.47,55.12,44.67,3.46,0.50,215.63,1.26,455.22,14.41,1.00,1.27,0.00,7.51,BGT,mai,CONSUMP,-
4Q2559,238.36,0.00,100.00,6.32,0.02,0.90,1.35,54.07,45.80,2.65,0.52,228.09,1.74,628.63,16.51,1.35,1.28,0.00,9.65,BGT,mai,CONSUMP,-
1Q2560,192.80,50.00,0.00,11.90,0.03,1.64,2.50,53.82,45.97,6.17,0.53,249.98,2.40,867.08,21.90,1.84,1.30,0.50,12.29,BGT,mai,CONSUMP,-
2Q2560,206.88,-33.33,-50.00,6.50,0.02,0.90,1.34,59.09,40.81,3.14,0.47,273.59,1.76,635.86,16.11,1.32,1.34,0.68,10.34,BGT,mai,CONSUMP,-
3Q2560,169.13,,,-4.03,-0.01,-0.59,-0.83,50.27,49.67,-2.38,0.33,290.84,1.50,545.28,17.30,1.12,1.34,0.80,10.31,BGT,mai,CONSUMP,-
4Q2560,275.47,,100.00,14.92,0.04,2.27,3.04,62.76,37.13,5.42,0.34,276.34,1.14,414.41,20.02,0.86,1.33,1.05,6.68,BGT,mai,CONSUMP,-
1Q2561,183.91,-75.00,-66.67,2.82,0.01,0.42,0.56,54.24,45.65,1.53,0.35,248.38,1.29,468.94,16.00,0.94,1.37,0.70,9.11,BGT,mai,CONSUMP,-
2Q2561,146.55,,,-4.30,-0.01,-0.65,-0.86,44.56,55.21,-2.93,0.32,227.89,1.07,388.97,19.25,0.78,1.38,0.84,10.87,BGT,mai,CONSUMP,-
3Q2561,163.38,-157.14,-260.00,-13.44,-0.04,-2.15,-2.76,48.11,51.75,-8.22,0.24,208.16,1.16,421.68,44.82,0.85,1.36,0.78,15.05,BGT,mai,CONSUMP,-
4Q2561,221.67,,-50.00,7.21,0.02,1.20,1.49,60.03,39.76,3.25,0.24,207.43,1.02,370.79,N/A,0.77,1.32,0.88,18.44,BGT,mai,CONSUMP,-
1Q2562,162.90,,,-3.13,-0.01,-0.52,-0.64,49.91,49.84,-1.92,0.24,195.44,1.00,363.52,N/A,0.75,1.34,0.00,25.37,BGT,mai,CONSUMP,-
2Q2562,128.72,-260.00,-157.14,-13.74,-0.04,-2.29,-2.88,34.85,64.64,-10.68,0.27,171.72,0.98,356.25,N/A,0.73,1.33,0.00,110.36,BGT,mai,CONSUMP,-
3Q2562,128.75,-22.22,-22.22,-14.28,-0.04,-2.47,-3.08,37.40,62.37,-11.09,0.22,154.51,1.02,370.79,N/A,0.79,1.30,0.00,76.24,BGT,mai,CONSUMP,-
4Q2562,166.06,31.82,,-10.88,-0.03,-1.90,-2.41,48.26,51.52,-6.55,0.32,156.07,1.01,367.16,N/A,0.80,1.26,0.00,-37.27,BGT,mai,CONSUMP,-
1Q2563,106.34,-66.67,-400.00,-18.95,-0.05,-2.17,-4.34,31.48,68.10,-17.82,1.71,184.72,0.48,174.49,N/A,0.39,1.23,0.00,-115.87,BGT,mai,CONSUMP,-
2Q2563,74.69,-20.00,-66.67,-22.35,-0.06,-1.93,-5.37,31.30,68.51,-29.92,1.84,230.41,1.08,392.60,N/A,0.92,1.17,0.00,103.56,BGT,mai,CONSUMP,-
3Q2563,103.77,66.67,54.55,-6.62,-0.02,-0.58,-1.65,48.58,51.18,-6.38,1.89,270.25,0.00,363.52,N/A,0.90,1.11,0.00,27.56,BGT,mai,CONSUMP,-
4Q2563,135.07,,,12.11,0.03,1.09,2.98,62.09,36.01,8.97,1.61,309.19,0.99,359.88,N/A,0.90,1.10,0.00,13.51,BGT,mai,CONSUMP,-
1Q2564,89.72,,91.24,-1.59,-0.00,-0.15,-0.39,44.76,54.00,-1.77,1.57,313.92,1.34,487.12,N/A,1.18,1.14,0.00,13.81,BGT,mai,CONSUMP,-
2Q2564,62.01,"-1,511.87",-17.67,-25.67,-0.07,-2.46,-6.43,25.49,73.36,-41.39,1.65,291.32,1.15,418.05,N/A,1.01,1.13,0.00,14.36,BGT,mai,CONSUMP,-
3Q2564,60.27,85.41,48.50,-3.74,-0.01,-0.37,-0.97,31.92,62.15,-6.21,1.66,301.54,1.27,461.67,N/A,1.19,1.06,0.00,19.05,BGT,mai,CONSUMP,-
4Q2564,140.76,,17.60,13.63,0.04,1.34,3.50,61.95,35.29,9.69,1.56,313.62,1.23,447.13,N/A,1.17,1.05,0.00,15.70,BGT,mai,CONSUMP,-
1Q2565,103.41,,-259.36,-5.72,-0.02,-0.57,-1.45,50.11,48.43,-5.53,1.55,315.37,2.28,828.83,N/A,2.09,1.09,0.00,20.78,BGT,mai,CONSUMP,-
2Q2565,93.67,-229.67,26.50,-18.86,-0.05,-1.91,-4.95,44.23,55.00,-20.14,1.63,315.12,3.14,"1,163.26",N/A,2.98,1.07,0.00,23.04,BGT,mai,CONSUMP,-
3Q2565,108.29,95.43,76.99,-1.00,-0.00,-0.11,-0.27,33.57,61.09,-0.92,1.33,276.34,1.65,610.71,N/A,1.64,1.02,0.00,12.81,BGT,mai,CONSUMP,-
