,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2555,374.20,,,15.62,1.25,8.94,-1.28,62.05,17.71,4.17,-1.14,-30.38,0.00,50.67,N/A,0.00,-109.41,0.00,-17.65,BIG,SET,SERVICE,COMM
4Q2556,,"6,417.32","6,417.32","1,081.61",81.77,"1,108.20",-180.40,,,,6.99,-59.57,0.00,50.67,3.24,0.00,-40.91,0.00,,BIG,SET,SERVICE,COMM
1Q2557,0.85,,99.89,-2.85,-0.02,-10.94,-18.67,-316.65,376.39,-336.13,0.11,-82.42,0.00,50.67,0.05,19.10,0.85,0.00,-4.33,BIG,SET,SERVICE,COMM
2Q2557,"1,511.59",,,0.21,0.01,0.03,0.12,72.93,20.18,0.01,3.51,-158.24,0.00,50.67,0.05,1.82,0.22,0.00,-66.31,BIG,SET,SERVICE,COMM
3Q2557,796.32,266.67,,34.79,0.06,2.37,10.45,71.61,19.65,4.37,3.31,,0.00,50.67,0.05,0.16,0.36,0.00,20.15,BIG,SET,SERVICE,COMM
4Q2557,"1,143.19",,,104.89,0.00,6.47,26.17,72.59,16.67,9.17,2.84,,0.00,50.67,0.05,0.15,0.39,0.00,,BIG,SET,SERVICE,COMM
1Q2558,982.42,,,72.99,0.02,4.11,14.90,,17.06,7.43,2.43,,1.01,"3,564.17",26.02,7.87,0.13,0.00,,BIG,SET,SERVICE,COMM
2Q2558,983.68,0.00,33.33,70.80,0.02,3.89,12.60,,18.33,7.20,2.07,,1.14,"4,022.92",18.91,7.65,0.15,0.00,,BIG,SET,SERVICE,COMM
3Q2558,"1,180.70",69.50,-38.36,116.89,0.03,6.44,17.83,,14.69,9.90,1.51,,1.36,"4,799.28",16.96,8.04,0.17,0.00,,BIG,SET,SERVICE,COMM
4Q2558,"1,620.74",65.49,,198.85,0.06,10.35,24.50,249.06,13.07,12.27,1.25,-218.78,1.55,"5,469.76",14.97,7.66,0.20,0.00,21.68,BIG,SET,SERVICE,COMM
