,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,84.86,,,12.32,0.15,0.64,1.91,68.99,18.70,14.52,1.93,,0.00,273.72,N/A,0.44,7.44,0.00,13.27,BIOTEC,SET,SERVICE,TRANS
2Q2555,81.78,,-109.59,-39.65,-0.48,-2.09,-6.27,90.92,20.06,-48.48,2.08,,3.18,265.37,N/A,0.42,7.58,0.00,17.52,BIOTEC,SET,SERVICE,TRANS
3Q2555,91.92,,,25.50,0.28,1.13,3.75,47.55,17.82,27.74,2.54,,3.44,287.07,N/A,0.48,7.12,0.00,17.14,BIOTEC,SET,SERVICE,TRANS
4Q2555,108.66,-96.45,,5.26,0.01,0.20,0.70,74.32,15.28,4.84,2.48,,3.74,312.10,N/A,0.51,7.39,0.00,12.84,BIOTEC,SET,SERVICE,TRANS
1Q2556,100.64,,,-29.16,-0.60,-1.21,-4.86,75.65,16.08,-28.97,3.97,,4.56,380.53,N/A,0.62,7.40,0.00,16.35,BIOTEC,SET,SERVICE,TRANS
2Q2556,106.78,,,25.06,0.57,1.10,5.30,76.68,15.10,23.47,3.65,,3.54,295.41,N/A,0.92,3.84,0.00,10.62,BIOTEC,SET,SERVICE,TRANS
3Q2556,107.05,,,-7.45,-0.19,-0.32,-1.50,77.04,16.06,-6.96,3.69,,3.52,293.74,18.68,0.79,4.44,0.00,12.69,BIOTEC,SET,SERVICE,TRANS
4Q2556,109.59,31.58,,-10.21,-0.13,-0.43,-1.84,101.15,17.98,-9.32,2.95,,4.16,440.54,N/A,1.20,4.37,0.00,15.36,BIOTEC,SET,SERVICE,TRANS
1Q2557,110.48,-7.69,76.67,-14.91,-0.14,-0.62,-2.21,84.05,15.38,-13.50,2.19,,4.56,630.40,N/A,1.32,4.49,0.00,13.73,BIOTEC,SET,SERVICE,TRANS
2Q2557,106.05,78.57,,-1.04,-0.03,-0.04,-0.14,85.19,14.18,-0.98,2.17,,4.00,552.98,N/A,0.93,4.31,0.00,15.40,BIOTEC,SET,SERVICE,TRANS
