,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2555,,,,,,,,,,,0.50,-164.15,,,,,,,,BKD,SET,PROPCON,CONS
1Q2556,134.64,,,10.71,0.02,1.67,2.95,87.97,11.60,7.95,1.15,-250.97,,,,,,,,BKD,SET,PROPCON,CONS
2Q2556,155.41,103.64,,21.80,0.04,3.55,6.97,91.68,8.15,14.03,0.79,-295.22,,,,,,,,BKD,SET,PROPCON,CONS
3Q2556,127.14,-58.31,,9.15,0.02,1.39,1.99,88.92,10.94,7.20,0.24,-304.97,3.18,"2,226.00",19.59,0.00,0.00,0.00,8.55,BKD,SET,PROPCON,CONS
4Q2556,182.26,,,-26.86,-0.05,-3.71,-4.61,93.15,6.37,-14.74,0.24,-495.73,2.18,"1,526.00",18.56,2.56,0.85,0.00,51.02,BKD,SET,PROPCON,CONS
1Q2557,167.75,,-22.83,11.13,0.02,1.54,1.94,88.23,10.29,6.63,0.27,-446.44,2.36,"1,652.00",111.66,2.90,0.81,1.91,52.62,BKD,SET,PROPCON,CONS
2Q2557,264.60,282.00,44.77,42.49,0.06,5.39,7.30,91.26,6.60,16.06,0.44,-540.68,2.70,"1,890.00",124.24,3.26,0.83,1.67,36.93,BKD,SET,PROPCON,CONS
3Q2557,289.78,-43.72,95.42,23.91,0.03,2.80,4.02,89.68,9.63,8.25,0.43,-556.54,4.86,"3,402.00",94.77,5.83,0.83,0.93,48.11,BKD,SET,PROPCON,CONS
4Q2557,184.69,-29.48,,16.86,0.02,2.00,2.74,88.37,1.14,9.13,0.30,-665.38,4.00,"2,800.00",55.27,4.61,0.87,1.13,22.84,BKD,SET,PROPCON,CONS
1Q2558,194.88,-22.46,17.56,13.08,0.02,1.59,2.07,91.08,8.22,6.71,0.31,-644.17,4.12,"2,884.00",30.55,4.62,0.89,0.29,23.13,BKD,SET,PROPCON,CONS
2Q2558,391.40,289.24,19.79,63.69,0.07,6.96,9.58,95.14,4.30,16.27,0.44,-663.77,3.58,"3,007.18",31.21,4.72,0.76,0.28,20.57,BKD,SET,PROPCON,CONS
3Q2558,304.76,-18.66,73.13,49.68,0.06,4.91,6.92,93.76,5.83,16.30,0.39,-789.20,3.38,"2,839.18",24.15,4.10,0.82,0.30,16.18,BKD,SET,PROPCON,CONS
4Q2558,262.57,-33.26,63.84,32.61,0.04,3.13,4.30,89.84,9.25,12.42,0.36,-637.33,3.64,"3,057.57",21.34,4.12,0.88,0.27,15.58,BKD,SET,PROPCON,CONS
1Q2559,278.01,-49.33,7.07,16.59,0.02,1.27,1.67,93.42,5.67,5.97,0.28,-836.58,3.26,"3,215.05",20.21,4.15,0.92,3.40,14.51,BKD,SET,PROPCON,CONS
2Q2559,413.18,49.45,-58.89,30.53,0.03,1.97,2.62,95.42,3.99,7.39,0.38,-977.21,3.16,"3,116.43",19.17,2.56,1.23,3.50,20.01,BKD,SET,PROPCON,CONS
3Q2559,352.78,-69.42,-84.55,9.46,0.01,0.59,0.84,92.06,6.58,2.68,0.47,"-1,057.22",3.26,"3,215.05",24.84,2.88,1.13,3.40,29.45,BKD,SET,PROPCON,CONS
4Q2559,323.85,148.58,-42.44,22.34,0.02,1.33,1.96,94.17,5.45,6.90,0.48,"-1,304.29",3.10,"3,057.25",34.28,2.71,1.14,3.57,31.13,BKD,SET,PROPCON,CONS
1Q2560,318.12,252.11,300.00,75.89,0.08,4.21,6.39,91.78,7.72,23.86,0.55,-860.51,3.26,"3,215.05",40.73,2.80,1.16,2.15,20.74,BKD,SET,PROPCON,CONS
2Q2560,421.38,237.50,803.31,269.06,0.27,13.30,20.31,93.75,5.44,63.85,0.50,-838.24,3.46,"3,412.29",24.69,2.79,1.24,2.02,8.08,BKD,SET,PROPCON,CONS
3Q2560,323.98,,,-10.19,-0.01,-0.52,-0.79,86.57,12.63,-3.14,0.55,-708.60,3.26,"3,215.05",8.53,2.26,1.44,2.15,7.95,BKD,SET,PROPCON,CONS
4Q2560,390.81,0.00,,-2.40,-0.01,-0.14,-0.21,102.92,-2.73,-0.61,0.48,-934.76,2.80,"2,761.39",7.73,2.40,1.16,2.50,7.71,BKD,SET,PROPCON,CONS
