,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,"2,825.40",,-76.15,86.60,1.14,0.16,0.45,,,3.07,1.75,,243.00,"18,480.15",355.21,1.01,240.32,4.94,,BKI,SET,FINCIAL,INSUR
2Q2555,"3,266.74",114.04,-68.39,185.54,2.44,0.33,0.90,,,5.68,1.68,,244.00,"18,556.20",N/A,0.91,266.71,4.92,,BKI,SET,FINCIAL,INSUR
3Q2555,"2,983.10",-68.44,-89.41,58.71,0.77,0.10,0.27,,,1.97,1.56,,263.00,"20,001.15",N/A,0.95,277.83,4.56,,BKI,SET,FINCIAL,INSUR
4Q2555,"2,967.23",403.90,,294.92,3.88,0.53,1.33,,,9.94,1.48,,292.00,"22,206.60",N/A,1.01,290.06,4.11,,BKI,SET,FINCIAL,INSUR
1Q2556,"3,060.81",31.96,349.12,389.50,5.12,0.67,1.70,,,12.73,1.63,,393.00,"29,887.65",47.76,1.33,294.47,3.05,,BKI,SET,FINCIAL,INSUR
2Q2556,"3,125.17",35.16,183.61,526.27,6.92,0.90,2.36,,,16.84,1.61,,402.00,"30,572.10",32.92,1.31,307.40,2.99,,BKI,SET,FINCIAL,INSUR
3Q2556,"3,096.80",4.62,840.26,550.10,7.24,1.01,2.57,,,17.76,1.49,,382.00,"29,051.10",22.89,1.37,279.45,3.14,,BKI,SET,FINCIAL,INSUR
4Q2556,"3,086.08",-48.76,-4.38,282.60,3.71,0.54,1.31,,,9.16,1.34,,371.00,"28,214.55",16.02,1.31,283.71,3.23,,BKI,SET,FINCIAL,INSUR
1Q2557,"3,322.58",58.76,15.04,627.19,5.89,1.24,2.79,,,18.88,1.16,,348.00,"26,465.40",21.19,1.71,203.56,2.46,,BKI,SET,FINCIAL,INSUR
2Q2557,"3,286.25",-34.30,-44.08,411.75,3.87,0.79,1.66,,,12.53,1.08,,340.00,"36,199.80",18.23,1.55,306.12,2.52,,BKI,SET,FINCIAL,INSUR
3Q2557,"3,274.88",109.56,12.02,863.16,8.11,1.58,3.15,,,26.36,0.91,,359.00,"38,222.73",20.42,1.46,245.91,2.39,,BKI,SET,FINCIAL,INSUR
4Q2557,"3,193.32",-53.27,2.16,403.65,3.79,0.74,1.43,,,12.64,0.92,,366.00,"38,968.02",17.84,1.36,269.31,2.34,,BKI,SET,FINCIAL,INSUR
1Q2558,"3,437.02",54.62,-0.51,623.74,5.86,1.15,2.17,,,18.15,0.86,,366.00,"38,968.02",16.90,1.39,262.72,3.06,,BKI,SET,FINCIAL,INSUR
2Q2558,"3,414.52",-14.51,29.46,534.01,5.01,0.95,1.72,,,15.64,0.79,,369.00,"39,287.43",17.06,1.33,278.42,3.04,,BKI,SET,FINCIAL,INSUR
3Q2558,"3,417.00",30.94,-19.11,698.28,6.56,1.19,2.09,,,20.44,0.73,,360.00,"38,329.20",15.81,1.19,303.23,3.12,,BKI,SET,FINCIAL,INSUR
4Q2558,"3,175.06",-30.34,20.58,486.30,4.57,0.81,1.41,,,15.32,0.74,,359.00,"38,222.73",16.92,1.10,325.66,3.12,,BKI,SET,FINCIAL,INSUR
1Q2559,"3,432.22",7.22,-16.38,522.14,4.90,0.87,1.51,,,15.21,0.72,,355.00,"37,796.85",16.14,1.10,323.62,3.38,,BKI,SET,FINCIAL,INSUR
2Q2559,"3,369.74",47.35,44.11,768.18,7.22,1.34,2.30,,,22.80,0.73,,358.00,"38,116.26",17.01,1.09,327.37,3.35,,BKI,SET,FINCIAL,INSUR
3Q2559,"3,382.90",-0.28,9.76,766.28,7.20,1.39,2.39,,,22.65,0.71,,343.00,"36,519.21",14.76,1.15,299.48,3.50,,BKI,SET,FINCIAL,INSUR
4Q2559,"3,185.58",-51.94,-24.29,369.19,3.46,0.66,1.13,,,11.59,0.72,,344.00,"36,625.68",14.40,1.13,303.12,3.49,,BKI,SET,FINCIAL,INSUR
1Q2560,"3,437.01",49.42,5.51,550.31,5.17,0.94,1.62,,,16.01,0.72,,353.00,"37,583.91",15.49,1.13,312.33,3.97,,BKI,SET,FINCIAL,INSUR
2Q2560,"3,405.40",33.85,-4.16,736.71,6.92,1.26,2.18,,,21.63,0.74,,353.00,"37,583.91",15.32,1.09,324.30,3.97,,BKI,SET,FINCIAL,INSUR
3Q2560,"3,420.97",-10.69,-14.17,657.68,6.18,1.11,1.87,,,19.23,0.65,,353.00,"37,583.91",15.51,1.14,310.91,3.97,,BKI,SET,FINCIAL,INSUR
4Q2560,"3,207.55",-30.42,24.28,458.39,4.30,0.76,1.27,,,14.29,0.71,,358.00,"38,116.26",16.47,1.02,349.36,3.91,,BKI,SET,FINCIAL,INSUR
1Q2561,"3,364.88",43.95,19.73,659.15,6.19,1.07,1.82,,,19.59,0.69,,370.00,"39,393.90",16.39,1.12,330.10,3.78,,BKI,SET,FINCIAL,INSUR
2Q2561,"3,394.94",-2.42,-12.72,642.98,6.04,1.08,1.83,,,18.94,0.72,,348.00,"37,051.56",14.75,0.99,351.54,4.02,,BKI,SET,FINCIAL,INSUR
3Q2561,"3,521.08",14.90,12.30,738.99,6.94,1.27,2.16,,,20.99,0.68,,351.00,"37,370.97",15.45,1.14,306.96,3.99,,BKI,SET,FINCIAL,INSUR
4Q2561,"3,473.81",-50.43,-20.00,365.69,3.44,0.61,1.04,,,10.53,0.74,,329.00,"35,028.63",14.01,0.98,334.46,4.26,,BKI,SET,FINCIAL,INSUR
1Q2562,"3,713.03",59.01,-11.63,582.01,5.47,0.96,1.66,,,15.67,0.74,,324.00,"34,496.28",14.33,0.99,327.56,4.32,,BKI,SET,FINCIAL,INSUR
2Q2562,"3,962.57",16.09,5.13,676.19,6.35,1.11,1.95,,,17.06,0.76,,331.00,"35,241.57",15.13,1.00,331.43,4.23,,BKI,SET,FINCIAL,INSUR
3Q2562,"4,171.81",-9.61,-17.29,611.43,5.74,1.06,1.91,,,14.66,0.85,,321.00,"34,176.87",14.46,1.00,320.97,4.36,,BKI,SET,FINCIAL,INSUR
4Q2562,"4,213.95",-4.88,58.72,581.65,5.46,1.03,1.91,,,13.80,0.85,,295.00,"31,408.65",14.05,1.05,281.14,4.75,,BKI,SET,FINCIAL,INSUR
1Q2563,"4,605.59",15.02,14.81,668.79,6.28,1.19,2.27,,,14.52,0.98,,220.00,"23,423.40",,,,6.36,,BKI,SET,FINCIAL,INSUR
2Q2563,"4,600.60",39.49,37.95,932.32,8.76,1.67,3.28,,,20.27,0.96,,279.00,"29,705.13",11.70,1.07,261.95,5.02,,BKI,SET,FINCIAL,INSUR
3Q2563,"4,224.04",-18.38,24.56,761.57,7.15,1.37,2.71,,,18.03,1.00,,281.00,"29,918.07",10.71,1.03,271.90,4.98,,BKI,SET,FINCIAL,INSUR
4Q2563,"4,416.09",-54.97,-41.03,342.92,3.22,0.60,1.19,,,7.77,0.96,,276.00,"29,385.72",9.98,1.08,255.56,5.07,,BKI,SET,FINCIAL,INSUR
1Q2564,"4,667.60",138.64,22.36,818.14,7.68,1.33,2.57,,,17.53,0.91,,270.00,"28,746.90",10.62,0.95,284.99,5.56,,BKI,SET,FINCIAL,INSUR
2Q2564,"4,528.09",8.47,-4.85,887.44,8.34,1.41,2.70,,,19.60,0.91,,281.00,"29,918.07",10.49,0.89,314.77,5.34,,BKI,SET,FINCIAL,INSUR
3Q2564,"4,749.44",,,-888.58,-8.35,-1.41,-2.75,,,-18.71,0.98,,270.00,"28,746.90",10.21,0.88,305.79,5.56,,BKI,SET,FINCIAL,INSUR
4Q2564,"4,486.54",,-33.65,227.57,2.14,0.36,0.70,,,5.07,0.94,,268.00,"28,533.96",24.44,0.88,303.46,5.60,,BKI,SET,FINCIAL,INSUR
1Q2565,"5,357.69",,,"-3,584.02",-33.66,-5.61,-11.31,,,-66.89,1.10,,267.00,"28,427.49",,,,5.62,,BKI,SET,FINCIAL,INSUR
2Q2565,"7,439.84",,-52.75,419.32,3.94,0.67,1.39,,,5.64,1.06,,268.00,"28,640.43",N/A,0.93,289.28,5.58,,BKI,SET,FINCIAL,INSUR
3Q2565,"5,279.65",131.23,,969.59,9.11,1.52,3.11,,,18.36,1.04,,279.00,"29,918.07",N/A,1.01,279.08,5.34,,BKI,SET,FINCIAL,INSUR
