,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,"1,404.37",,-61.54,61.12,0.00,0.16,0.19,41.28,18.90,4.35,0.24,359.17,0.68,"12,100.19",15.33,0.46,1.48,0.00,11.20,BLAND,SET,PROPCON,PROP
2Q2555,957.54,"1,330.00",21.19,795.61,0.04,2.04,2.50,62.63,25.60,83.09,0.21,327.57,0.50,"8,897.20",12.77,0.34,1.47,0.00,8.11,BLAND,SET,PROPCON,PROP
3Q2555,749.31,,,-261.86,-0.02,-0.67,-0.82,53.21,27.53,-34.95,0.22,368.08,0.71,"12,634.02",15.10,0.47,1.52,0.00,13.22,BLAND,SET,PROPCON,PROP
4Q2555,"1,145.92",94.70,77.14,159.99,-0.00,0.41,0.50,76.64,15.77,13.96,0.22,347.43,0.68,"12,100.19",21.45,0.45,1.50,0.00,11.58,BLAND,SET,PROPCON,PROP
1Q2556,"1,140.18",,433.33,345.01,0.02,0.88,1.07,75.65,20.93,30.26,0.21,328.87,0.72,"12,811.97",20.62,0.48,1.51,2.78,10.43,BLAND,SET,PROPCON,PROP
2Q2556,"1,044.76",50.00,-44.06,492.51,0.02,1.25,1.51,59.45,31.69,47.14,0.20,"1,537.00",1.25,"22,243.00",25.94,0.82,1.52,1.60,18.26,BLAND,SET,PROPCON,PROP
3Q2556,998.44,70.83,,799.69,0.04,2.01,2.42,72.53,24.48,80.09,0.21,"2,664.10",1.23,"21,888.21",41.71,0.81,1.53,1.63,9.48,BLAND,SET,PROPCON,PROP
4Q2556,759.90,19.51,,895.55,0.05,1.97,2.43,71.53,21.28,117.85,0.26,"3,903.79",1.97,"35,056.73",23.14,1.26,1.57,1.02,11.70,BLAND,SET,PROPCON,PROP
1Q2557,"1,431.85",-62.96,13.44,372.52,0.02,0.70,0.86,37.76,15.85,26.02,0.19,"5,193.39",1.53,"31,582.79",13.51,0.78,2.27,1.96,9.95,BLAND,SET,PROPCON,PROP
2Q2557,"1,535.59",87.38,41.71,698.11,0.03,1.27,1.50,31.47,15.12,45.46,0.18,"5,796.53",1.52,"31,376.54",12.92,0.68,2.25,1.97,9.31,BLAND,SET,PROPCON,PROP
3Q2557,"2,707.14",-44.60,-54.05,401.44,0.02,0.73,0.86,63.80,11.79,14.83,0.17,"5,265.91",1.54,"31,791.59",11.82,0.68,2.25,1.95,10.67,BLAND,SET,PROPCON,PROP
4Q2557,"1,396.02",62.90,-37.37,624.15,0.03,1.14,1.32,46.02,12.13,44.71,0.15,"5,148.33",1.54,"31,791.59",13.43,0.68,2.27,1.95,11.89,BLAND,SET,PROPCON,PROP
1Q2558,"1,158.23",-38.09,4.68,399.90,0.02,0.72,0.83,48.20,20.01,34.53,0.15,"5,041.72",1.88,"38,810.67",18.51,0.81,2.32,2.13,14.08,BLAND,SET,PROPCON,PROP
2Q2558,864.44,,,-563.63,-0.03,-0.94,-1.11,45.24,46.17,-65.20,0.21,"4,168.62",2.18,"45,003.87",20.71,0.91,2.34,1.88,27.25,BLAND,SET,PROPCON,PROP
3Q2558,947.99,,106.79,966.67,0.04,1.51,1.82,75.70,35.98,101.97,0.20,"4,045.55",1.58,"32,646.49",35.78,0.67,2.27,2.68,19.51,BLAND,SET,PROPCON,PROP
4Q2558,"1,047.41",-25.56,-5.51,716.37,0.03,1.12,1.36,71.14,29.07,68.39,0.21,"3,575.42",1.50,"30,993.50",23.35,0.66,2.28,2.82,17.79,BLAND,SET,PROPCON,PROP
1Q2559,"3,932.85",418.83,691.89,"3,068.08",0.15,4.80,5.63,13.93,9.30,78.01,0.14,"3,210.92",1.58,"32,646.62",25.61,0.68,2.31,5.72,7.87,BLAND,SET,PROPCON,PROP
2Q2559,"2,169.93",-83.97,,604.21,0.02,0.96,1.09,55.38,19.76,27.84,0.13,"3,049.35",1.48,"30,580.37",7.72,0.60,2.46,6.10,5.55,BLAND,SET,PROPCON,PROP
3Q2559,"1,757.00",-38.68,-62.04,452.70,0.01,0.72,0.81,65.16,18.77,25.77,0.13,"2,955.42",1.44,"29,753.94",5.89,0.59,2.43,6.27,6.21,BLAND,SET,PROPCON,PROP
4Q2559,"1,102.45",,,-85.78,-0.01,-0.14,-0.15,53.45,39.41,-7.78,0.14,"2,304.71",1.48,"30,580.45",6.76,0.61,2.45,6.10,7.09,BLAND,SET,PROPCON,PROP
1Q2560,983.40,,-80.73,692.91,0.03,1.07,1.22,58.94,36.96,70.46,0.14,"1,885.82",1.63,"33,679.82",9.24,0.67,2.43,4.29,14.01,BLAND,SET,PROPCON,PROP
2Q2560,"2,173.15",-46.41,-35.57,452.14,0.02,0.69,0.79,24.03,21.89,20.81,0.16,"1,575.76",1.60,"33,059.94",28.68,0.62,2.55,4.44,15.14,BLAND,SET,PROPCON,PROP
3Q2560,"4,867.59",191.12,205.88,993.60,0.05,1.53,1.77,65.83,12.40,20.41,0.16,"1,024.31",1.72,"35,539.44",35.44,0.67,2.36,4.26,12.58,BLAND,SET,PROPCON,PROP
4Q2560,"-1,330.52",-84.04,,209.23,0.01,0.32,0.37,-37.01,-24.35,-15.73,0.17,"1,088.26",1.82,"37,605.69",22.84,0.70,2.58,4.03,11.89,BLAND,SET,PROPCON,PROP
1Q2561,"3,580.61",28.53,-68.00,330.85,0.01,0.50,0.59,76.42,16.00,9.24,0.16,803.76,1.83,"37,812.31",18.41,0.70,2.60,4.37,13.62,BLAND,SET,PROPCON,PROP
2Q2561,"2,206.31",89.98,13.45,547.60,0.02,0.84,0.98,67.23,21.63,24.82,0.16,594.56,1.80,"37,192.44",22.99,0.69,2.61,4.44,13.07,BLAND,SET,PROPCON,PROP
