,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,49.37,,200.00,68.46,0.09,11.89,12.64,58.26,37.55,138.68,0.06,,1.90,"1,422.69",N/A,2.80,0.68,0.00,68.12,BROOK,mai,FINCIAL,-
2Q2555,94.55,11.11,,79.18,0.10,12.19,12.84,60.56,22.97,83.74,0.05,,1.48,"1,108.20",152.88,1.94,0.76,0.00,7.38,BROOK,mai,FINCIAL,-
3Q2555,118.15,80.00,,135.22,0.18,18.09,19.22,83.71,13.11,114.45,0.08,,2.02,"1,512.55",12.04,2.31,0.88,0.00,4.92,BROOK,mai,FINCIAL,-
4Q2555,131.91,-61.11,,101.93,0.07,11.94,12.79,79.15,18.78,77.27,0.07,,2.82,"2,111.58",7.51,2.88,0.98,0.00,5.10,BROOK,mai,FINCIAL,-
1Q2556,324.23,700.00,522.22,407.00,0.56,34.84,38.66,80.14,19.11,125.53,0.14,,4.00,"2,995.14",9.18,3.81,1.05,3.50,3.73,BROOK,mai,FINCIAL,-
2Q2556,89.64,,,-94.12,-0.12,-7.08,-7.89,53.50,41.73,-105.00,0.09,,2.90,"2,171.48",3.21,1.80,1.61,4.83,3.69,BROOK,mai,FINCIAL,-
3Q2556,24.30,38.52,,-61.68,-0.07,-5.19,-5.92,47.87,42.32,-253.79,0.21,,2.20,"1,647.99",4.02,1.90,1.16,5.09,4.61,BROOK,mai,FINCIAL,-
4Q2556,98.85,30.88,,-39.54,-0.05,-3.45,-3.99,140.25,-43.53,-40.00,0.11,,1.92,"1,807.37",5.49,1.96,1.23,5.80,8.44,BROOK,mai,FINCIAL,-
1Q2557,25.37,,-86.09,76.31,0.08,6.59,7.18,18.36,75.96,300.77,0.07,,1.98,"1,865.54",7.33,1.85,1.07,4.54,-9.78,BROOK,mai,FINCIAL,-
2Q2557,117.46,5.34,,124.00,0.08,10.41,11.01,79.69,14.67,105.57,0.04,,2.20,"2,072.97",N/A,1.93,1.14,4.08,22.56,BROOK,mai,FINCIAL,-
3Q2557,108.22,129.08,,228.42,0.19,16.98,17.98,80.60,15.85,211.07,0.07,,3.28,"3,101.96",44.43,2.86,1.15,2.73,6.83,BROOK,mai,FINCIAL,-
4Q2557,1.81,,-60.30,-99.49,-0.08,-6.99,-7.45,"-1,471.28","1,418.92","-5,496.49",0.06,,3.04,"3,012.48",9.91,2.38,1.34,2.81,7.52,BROOK,mai,FINCIAL,-
1Q2558,921.63,,874.87,803.50,0.76,44.12,47.77,97.68,2.08,87.18,0.10,,4.02,"3,984.36",15.57,3.34,1.20,2.24,3.23,BROOK,mai,FINCIAL,-
2Q2558,82.73,,,104.53,-0.55,4.36,4.90,63.60,22.46,126.34,0.15,,1.00,"4,011.03",4.29,2.07,0.49,2.22,2.90,BROOK,mai,FINCIAL,-
3Q2558,78.32,,-78.52,15.18,0.04,0.64,0.70,61.53,24.64,19.39,0.04,,0.86,"4,087.70",4.33,2.02,0.50,2.18,3.76,BROOK,mai,FINCIAL,-
