,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,541.05,,-94.00,3.79,0.00,0.17,0.20,96.89,3.06,0.70,0.23,"3,216.28",1.30,"1,472.25",14.59,0.77,1.68,6.15,19.86,BSBM,SET,INDUS,STEEL
2Q2555,721.95,,,-5.42,-0.00,-0.23,-0.29,96.82,2.99,-0.75,0.32,"3,041.63",1.17,"1,325.03",29.18,0.70,1.68,6.84,37.05,BSBM,SET,INDUS,STEEL
3Q2555,525.16,13.74,,-4.33,-0.00,-0.19,-0.23,96.70,3.28,-0.83,0.07,"2,873.73",1.12,"1,268.40",764.40,0.68,1.66,7.14,40.25,BSBM,SET,INDUS,STEEL
4Q2555,620.12,-47.52,-514.13,-6.41,-0.01,-0.31,-0.34,96.63,3.06,-1.03,0.13,"2,691.93",1.15,"1,302.38",N/A,0.70,1.65,6.96,58.58,BSBM,SET,INDUS,STEEL
1Q2556,820.92,,"1,088.00",40.37,0.04,1.83,2.14,97.31,2.67,4.92,0.21,"2,505.13",1.23,"1,392.97",N/A,0.75,1.65,0.00,23.59,BSBM,SET,INDUS,STEEL
2Q2556,573.18,,-75.68,-8.84,-0.01,-0.40,-0.46,96.85,3.10,-1.54,0.12,"2,803.31",1.11,"1,257.08",51.93,0.66,1.68,0.00,20.43,BSBM,SET,INDUS,STEEL
3Q2556,644.89,,,25.86,0.02,1.27,1.36,97.03,2.94,4.01,0.03,"3,018.86",1.02,"1,155.15",55.56,0.61,1.68,0.00,11.14,BSBM,SET,INDUS,STEEL
4Q2556,610.55,75.18,,45.32,0.04,2.11,2.37,95.90,3.16,7.42,0.21,"2,896.93",0.97,"1,098.53",21.54,0.58,1.67,0.00,7.31,BSBM,SET,INDUS,STEEL
1Q2557,557.48,-58.61,-53.54,18.76,0.02,0.86,0.96,96.92,3.07,3.36,0.03,"2,887.06",1.06,"1,200.45",11.69,0.62,1.71,7.55,6.81,BSBM,SET,INDUS,STEEL
2Q2557,471.60,-71.80,,5.29,0.00,0.26,0.27,96.36,3.34,1.12,0.09,"2,797.66",1.22,"1,381.65",17.04,0.71,1.73,6.56,7.87,BSBM,SET,INDUS,STEEL
3Q2557,424.02,73.02,-64.62,9.15,0.01,0.42,0.48,96.55,3.40,2.16,0.19,"3,249.18",1.43,"1,619.47",17.01,0.85,1.68,5.59,13.28,BSBM,SET,INDUS,STEEL
4Q2557,478.35,,,-23.60,-0.02,-1.15,-1.26,96.53,3.38,-4.93,0.02,"3,807.60",1.25,"1,415.63",18.03,0.75,1.66,6.40,27.74,BSBM,SET,INDUS,STEEL
1Q2558,445.15,-82.49,,-43.07,-0.04,-2.31,-2.35,96.66,3.33,-9.68,0.02,"3,836.58",1.17,"1,325.03",138.09,0.71,1.64,2.56,-57.35,BSBM,SET,INDUS,STEEL
2Q2558,467.98,99.00,,-0.42,-0.00,-0.02,-0.02,96.42,3.36,-0.09,0.02,"3,778.29",1.05,"1,189.13",N/A,0.66,1.60,2.86,-61.64,BSBM,SET,INDUS,STEEL
3Q2558,581.25,"-4,815.79",,-21.16,-0.02,-1.11,-1.18,96.58,3.38,-3.64,0.10,"3,033.90",1.00,"1,132.50",N/A,0.63,1.60,3.00,-24.30,BSBM,SET,INDUS,STEEL
4Q2558,559.88,-1.18,9.31,-21.40,-0.02,-1.07,-1.20,96.55,3.41,-3.82,0.15,"2,733.24",0.69,781.42,N/A,0.44,1.58,4.35,-23.14,BSBM,SET,INDUS,STEEL
1Q2559,790.50,,,70.19,0.06,3.59,3.89,96.61,3.38,8.88,0.03,"2,411.24",0.93,"1,053.22",N/A,0.60,1.56,0.00,12.56,BSBM,SET,INDUS,STEEL
