,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,192.51,,,-7.70,-0.64,-1.10,-1.95,43.09,54.54,-4.00,0.80,130.32,15.00,180.00,13.16,0.45,33.19,3.33,13.04,BTNC,SET,CONSUMP,FASHION
2Q2555,213.79,,,0.44,0.04,0.06,0.11,44.03,50.45,0.20,0.82,129.59,0.00,168.00,45.21,0.43,32.55,3.57,11.48,BTNC,SET,CONSUMP,FASHION
3Q2555,210.60,350.00,-73.91,2.05,0.18,0.28,0.51,52.49,47.09,0.97,0.82,162.51,0.00,235.20,46.05,0.61,32.07,2.55,15.15,BTNC,SET,CONSUMP,FASHION
4Q2555,239.67,222.22,70.59,7.08,0.58,0.97,1.74,52.97,45.82,2.96,0.76,151.41,19.00,228.00,50.89,0.58,32.68,2.63,11.70,BTNC,SET,CONSUMP,FASHION
1Q2556,253.51,,71.88,-2.18,-0.18,-0.29,-0.53,47.29,50.83,-0.86,0.90,149.15,20.40,244.80,105.52,0.61,33.28,2.45,11.50,BTNC,SET,CONSUMP,FASHION
2Q2556,224.50,-100.00,,-4.34,-0.36,-0.55,-1.02,46.99,51.51,-1.93,0.83,149.73,0.00,204.00,25.44,0.50,34.16,2.94,10.43,BTNC,SET,CONSUMP,FASHION
3Q2556,214.21,-100.00,,-9.43,-0.72,-1.17,-2.21,42.97,55.25,-4.40,0.95,153.13,16.30,195.60,55.44,0.48,33.80,3.07,13.47,BTNC,SET,CONSUMP,FASHION
4Q2556,313.91,,116.44,14.50,1.26,1.68,3.30,55.36,40.67,4.62,0.98,146.42,16.00,192.00,N/A,0.49,32.98,3.13,11.97,BTNC,SET,CONSUMP,FASHION
1Q2557,218.11,,-577.68,-15.17,-1.22,-1.69,-3.37,40.05,57.80,-6.96,1.01,149.21,12.30,147.60,N/A,0.35,34.70,0.00,14.45,BTNC,SET,CONSUMP,FASHION
2Q2557,284.91,,,3.91,0.39,0.44,0.86,53.95,43.46,1.37,0.91,149.79,0.00,195.60,N/A,0.49,33.48,0.00,11.00,BTNC,SET,CONSUMP,FASHION
3Q2557,277.75,24.44,,6.09,0.48,0.66,1.30,48.98,45.81,2.19,1.01,142.45,23.50,282.00,N/A,0.69,34.15,0.00,10.82,BTNC,SET,CONSUMP,FASHION
4Q2557,290.99,,,2.85,-0.08,0.30,0.59,48.36,46.80,0.98,0.86,149.05,0.00,348.00,32.14,0.84,34.65,0.00,12.62,BTNC,SET,CONSUMP,FASHION
1Q2558,228.02,"-1,138.35",17.60,-13.37,-1.01,-1.40,-2.72,38.88,59.05,-5.86,1.03,147.20,0.00,294.00,N/A,0.69,35.69,2.04,13.00,BTNC,SET,CONSUMP,FASHION
2Q2558,232.96,,-2.55,3.28,0.38,0.36,0.72,34.64,55.68,1.41,0.91,151.00,22.10,265.20,N/A,0.64,34.48,2.26,10.88,BTNC,SET,CONSUMP,FASHION
3Q2558,244.52,,,-0.34,-0.03,-0.04,-0.08,47.63,48.94,-0.14,0.97,157.57,25.50,306.00,N/A,0.71,36.00,1.96,14.14,BTNC,SET,CONSUMP,FASHION
4Q2558,296.35,,,0.01,0.00,0.00,0.00,50.66,43.39,0.00,0.94,164.70,0.00,300.00,N/A,0.70,35.94,2.00,15.70,BTNC,SET,CONSUMP,FASHION
1Q2559,220.95,,-2.35,-12.35,-1.03,-1.48,-2.91,40.11,56.50,-5.59,0.98,169.50,27.00,324.00,N/A,0.75,35.88,0.00,16.18,BTNC,SET,CONSUMP,FASHION
2Q2559,267.73,,194.42,13.36,1.11,1.65,3.15,49.00,43.26,4.99,0.84,170.73,0.00,206.40,N/A,0.49,34.85,0.00,12.68,BTNC,SET,CONSUMP,FASHION
