,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,"1,737.89",,,156.98,0.00,0.24,0.42,78.05,19.35,9.03,0.72,719.03,0.68,"38,888.03",136.49,1.12,0.62,5.18,17.41,BTS,SET,SERVICE,TRANS
2Q2555,"2,423.14",833.06,69.77,"1,337.41",0.02,2.06,3.55,70.47,13.46,55.19,0.72,786.61,0.59,"33,741.08",49.98,0.95,0.62,5.97,12.63,BTS,SET,SERVICE,TRANS
3Q2555,"2,439.30",-74.71,,348.10,0.01,0.53,0.92,72.49,13.55,14.27,0.77,722.88,0.70,"40,031.79",29.57,1.11,0.63,5.03,13.90,BTS,SET,SERVICE,TRANS
4Q2555,"1,542.33",9.63,,393.14,0.01,0.59,1.05,113.76,25.70,25.49,0.81,630.99,0.78,"44,606.85",26.71,1.23,0.63,4.52,13.70,BTS,SET,SERVICE,TRANS
1Q2556,"2,235.70",-13.58,123.55,326.10,0.01,0.49,0.88,83.04,15.78,14.59,0.80,622.28,0.78,"44,657.32",21.21,1.27,0.62,4.51,12.80,BTS,SET,SERVICE,TRANS
2Q2556,"2,479.68","1,804.99",356.42,732.28,0.10,1.10,1.92,83.17,15.80,29.53,0.68,547.10,5.65,"54,617.01",23.97,1.53,3.89,5.03,16.45,BTS,SET,SERVICE,TRANS
3Q2556,"2,778.13",4.85,"1,792.47","1,172.22",0.11,1.79,2.69,79.43,18.96,42.19,0.35,457.92,7.15,"77,458.30",45.88,2.08,3.86,3.55,14.69,BTS,SET,SERVICE,TRANS
4Q2556,"-1,779.71",-69.91,419.33,505.54,0.03,0.76,1.02,101.82,0.02,-28.41,0.32,601.29,9.40,"104,402.37",42.65,2.25,4.26,2.63,26.32,BTS,SET,SERVICE,TRANS
1Q2557,"2,547.53","2,818.09","17,435.49","11,365.33",0.95,15.50,20.37,70.53,16.98,446.13,0.31,529.90,7.65,"87,231.37",35.06,1.79,4.38,5.00,5.57,BTS,SET,SERVICE,TRANS
2Q2557,"2,513.40",-91.77,-24.28,"1,100.31",0.08,1.41,1.82,68.46,18.37,43.78,0.27,438.87,8.75,"100,854.30",7.76,1.72,5.13,4.32,6.12,BTS,SET,SERVICE,TRANS
3Q2557,"15,908.26",-65.98,-75.43,605.89,0.03,0.77,0.98,10.20,2.79,3.81,0.27,365.77,8.70,"103,653.81",7.81,1.79,5.04,4.21,6.43,BTS,SET,SERVICE,TRANS
4Q2557,"1,951.44",8.25,-11.60,513.50,0.03,0.65,0.83,58.21,25.63,26.31,0.28,187.43,8.40,"100,079.54",7.92,1.62,5.19,4.36,5.89,BTS,SET,SERVICE,TRANS
1Q2558,"2,088.50",89.87,-94.25,762.32,0.05,0.99,1.29,62.40,18.33,36.50,0.31,153.09,8.65,"103,058.09",8.15,1.78,4.86,6.86,22.60,BTS,SET,SERVICE,TRANS
2Q2558,"2,079.47",-2.35,-31.71,751.51,0.05,1.01,1.30,63.18,21.25,36.14,0.26,103.32,10.00,"119,142.31",47.82,2.06,4.82,5.99,27.78,BTS,SET,SERVICE,TRANS
3Q2558,"1,988.32",55.51,212.13,"1,101.42",0.08,1.54,1.94,63.26,21.44,55.39,0.25,130.11,9.65,"115,020.76",53.18,2.07,4.67,6.20,25.44,BTS,SET,SERVICE,TRANS
4Q2558,"1,334.36",-30.89,99.27,724.97,0.06,1.05,1.33,84.20,-8.42,54.33,0.28,166.06,9.15,"109,061.14",40.40,1.95,4.68,6.54,22.76,BTS,SET,SERVICE,TRANS
1Q2559,"5,037.85",345.45,367.49,"3,075.52",0.26,4.50,5.80,19.18,6.50,61.05,0.29,150.85,10.00,"119,192.50",40.16,2.33,4.29,6.00,16.11,BTS,SET,SERVICE,TRANS
2Q2559,"1,719.74",-84.32,-24.92,556.14,0.04,0.83,1.07,53.56,29.76,32.34,0.27,91.77,9.75,"116,259.77",21.72,2.19,4.46,6.15,16.57,BTS,SET,SERVICE,TRANS
3Q2559,"1,566.06",28.19,-38.11,682.05,0.05,1.07,1.36,56.37,24.96,43.55,0.28,-57.12,9.10,"108,557.08",20.91,2.21,4.12,6.59,17.12,BTS,SET,SERVICE,TRANS
4Q2559,"1,460.75",-92.90,-93.64,93.01,0.00,0.14,0.19,66.19,20.38,6.37,0.39,-266.18,8.95,"106,767.68",22.17,2.18,4.11,6.70,19.63,BTS,SET,SERVICE,TRANS
1Q2560,"1,829.17","1,172.25",-81.85,628.11,0.05,0.95,1.32,48.10,24.18,34.34,0.39,-317.72,9.60,"114,521.75",27.43,2.50,3.84,7.08,44.51,BTS,SET,SERVICE,TRANS
2Q2560,"1,987.63",-0.02,15.72,624.24,0.05,0.91,1.32,56.77,22.97,31.41,0.51,-337.98,8.65,"103,236.71",61.22,2.21,3.92,7.86,40.35,BTS,SET,SERVICE,TRANS
3Q2560,"2,024.54",-14.60,-22.91,488.16,0.04,0.60,1.05,58.44,24.21,24.11,0.97,"-1,025.33",8.55,"102,043.22",57.94,2.31,3.70,7.95,38.96,BTS,SET,SERVICE,TRANS
4Q2560,"3,211.39",-6.20,918.96,495.22,0.04,0.53,1.08,69.38,24.20,15.42,1.07,-711.54,8.45,"100,850.36",62.22,2.27,3.73,8.04,32.60,BTS,SET,SERVICE,TRANS
1Q2561,"3,220.49",-7.87,-26.21,437.53,0.03,0.45,0.95,69.53,16.20,13.59,1.14,-726.55,8.50,"101,447.11",50.23,2.39,3.56,4.00,31.68,BTS,SET,SERVICE,TRANS
2Q2561,"2,663.01",61.34,19.07,741.45,0.06,0.73,1.59,60.65,21.20,27.84,1.19,-727.06,8.55,"102,090.15",54.45,2.38,3.60,3.98,31.67,BTS,SET,SERVICE,TRANS
3Q2561,"4,984.34",36.08,89.73,973.24,0.08,0.94,2.10,78.55,12.38,19.53,1.30,-265.38,8.30,"99,105.06",50.04,2.38,3.48,4.10,27.13,BTS,SET,SERVICE,TRANS
4Q2561,"5,199.86",177.97,462.23,"2,637.58",0.21,2.48,5.68,40.77,11.12,50.72,1.29,-362.31,8.35,"99,702.08",41.80,2.42,3.48,4.04,20.51,BTS,SET,SERVICE,TRANS
1Q2562,"3,215.55",-84.35,-4.48,494.85,0.03,0.46,1.04,55.61,26.14,15.39,1.28,-319.77,8.80,"104,237.96",23.61,2.57,3.43,3.98,22.09,BTS,SET,SERVICE,TRANS
2Q2562,"15,939.93",73.41,2.67,835.20,0.06,0.71,1.69,91.05,5.06,5.24,1.50,-491.82,9.30,"110,160.57",25.05,2.71,3.43,3.76,22.99,BTS,SET,SERVICE,TRANS
3Q2562,"19,223.56",77.30,33.76,"1,437.98",0.10,1.10,2.77,92.03,4.06,7.48,1.55,-686.74,9.55,"113,122.10",25.62,2.87,3.33,3.66,22.84,BTS,SET,SERVICE,TRANS
4Q2562,"10,239.27",-47.24,-74.61,797.00,0.05,0.57,1.51,85.18,7.34,7.78,1.77,-794.24,11.00,"130,299.06",27.63,3.24,3.39,3.18,31.77,BTS,SET,SERVICE,TRANS
1Q2563,"9,268.69",41.69,129.81,"1,050.53",0.08,0.66,1.79,82.11,9.10,11.33,1.63,-898.07,12.00,"142,731.03",49.68,3.68,3.27,3.49,29.87,BTS,SET,SERVICE,TRANS
2Q2563,"11,703.18",36.52,80.92,"1,495.51",0.10,0.89,2.28,85.83,6.34,12.78,1.49,-923.08,13.40,"168,259.08",49.78,3.33,4.24,3.06,30.11,BTS,SET,SERVICE,TRANS
3Q2563,"11,185.52",89.72,93.59,"2,650.59",0.19,1.58,3.85,84.18,7.37,23.70,1.39,-825.53,13.20,"173,636.46",43.55,3.44,4.02,2.97,26.54,BTS,SET,SERVICE,TRANS
4Q2563,"6,523.26",41.26,418.36,"3,620.78",0.27,2.10,5.20,79.31,11.49,55.51,1.57,-757.05,9.10,"119,704.09",,,,4.30,17.54,BTS,SET,SERVICE,TRANS
1Q2564,"10,770.16",-87.72,-55.06,469.05,0.03,0.27,0.72,84.96,5.69,4.36,1.79,-852.65,11.30,"148,647.39",18.21,2.71,4.18,4.25,21.27,BTS,SET,SERVICE,TRANS
2Q2564,"9,812.27",72.41,-43.24,820.86,0.06,0.45,1.30,84.00,5.14,8.37,1.96,-901.52,9.50,"125,029.39",16.21,2.44,3.90,5.05,21.10,BTS,SET,SERVICE,TRANS
