,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2557,,,,,,,,,,,0.00,,,,,,,,,BTSGIF,SET,SERVICE,TRANS
2Q2557,"1,041.15",,,"1,315.43",,2.05,2.05,,,126.34,0.00,,9.70,"56,143.60",N/A,0.88,11.00,0.00,,BTSGIF,SET,SERVICE,TRANS
3Q2557,984.93,,,"1,266.07",,1.96,1.96,,,128.54,0.00,,8.60,"49,776.80",N/A,0.77,11.11,0.00,,BTSGIF,SET,SERVICE,TRANS
4Q2557,"1,000.68",,,"1,290.39",,1.99,1.99,,,128.95,0.00,,9.55,"55,275.40",N/A,0.85,11.18,0.00,,BTSGIF,SET,SERVICE,TRANS
1Q2558,"1,007.41",,,885.33,,1.36,1.36,,,87.88,0.00,,10.00,"57,880.00",N/A,0.89,11.25,0.00,,BTSGIF,SET,SERVICE,TRANS
2Q2558,"1,030.41",,,"1,201.81",,1.85,1.85,,,116.63,0.00,,9.85,"57,011.80",N/A,0.88,11.25,5.88,,BTSGIF,SET,SERVICE,TRANS
3Q2558,"1,058.96",,,"1,237.42",,1.90,1.90,,,116.85,0.00,,9.90,"57,301.20",N/A,0.88,11.31,5.85,,BTSGIF,SET,SERVICE,TRANS
4Q2558,886.89,,,"1,105.12",,1.69,1.69,,,124.61,0.00,,10.40,"60,195.20",N/A,0.92,11.28,5.57,,BTSGIF,SET,SERVICE,TRANS
1Q2559,"1,110.11",,,"1,150.65",,1.75,1.76,,,103.65,0.00,,10.20,"59,037.60",,0.90,11.31,5.68,,BTSGIF,SET,SERVICE,TRANS
2Q2559,"1,157.28",,,"1,216.35",,1.85,1.85,,,105.10,0.00,,10.00,"57,880.00",,0.88,11.33,6.06,,BTSGIF,SET,SERVICE,TRANS
3Q2559,"1,161.62",,,"1,212.19",,1.84,1.84,,,104.35,0.00,,10.20,"59,037.60",,0.90,11.37,5.94,,BTSGIF,SET,SERVICE,TRANS
4Q2559,"1,068.40",,,"1,831.31",,2.76,2.76,,,171.41,0.00,,11.50,"66,562.00",,1.01,11.39,5.27,,BTSGIF,SET,SERVICE,TRANS
1Q2560,"1,160.05",,,"1,297.10",,1.94,1.94,,,111.81,0.00,,12.60,"72,928.80",,1.09,11.53,5.49,,BTSGIF,SET,SERVICE,TRANS
2Q2560,"1,112.10",,,"1,259.45",,1.88,1.88,,,113.25,0.00,,12.50,"72,350.00",,1.08,11.53,5.54,,BTSGIF,SET,SERVICE,TRANS
3Q2560,"1,103.37",,,"1,191.67",,1.78,1.78,,,108.00,0.00,,11.30,"65,404.40",,0.98,11.55,6.12,,BTSGIF,SET,SERVICE,TRANS
4Q2560,"1,218.03",,,"1,101.26",,1.64,1.64,,,90.41,0.00,,11.30,"65,404.40",,0.98,11.57,6.12,,BTSGIF,SET,SERVICE,TRANS
1Q2561,"1,148.97",,,915.97,,1.37,1.37,,,79.72,0.00,,11.10,"64,246.80",,0.96,11.58,6.95,,BTSGIF,SET,SERVICE,TRANS
2Q2561,"1,201.63",,,"1,176.15",,1.76,1.76,,,97.88,0.00,,11.40,"65,983.20",,0.99,11.53,6.77,,BTSGIF,SET,SERVICE,TRANS
3Q2561,"1,202.45",,,978.46,,1.47,1.47,,,81.37,0.00,,11.70,"67,719.60",,1.01,11.54,6.60,,BTSGIF,SET,SERVICE,TRANS
4Q2561,"1,159.35",,,"1,150.97",,1.73,1.73,,,99.28,0.00,,11.90,"68,877.20",,1.03,11.50,6.49,,BTSGIF,SET,SERVICE,TRANS
1Q2562,"1,170.99",,,"1,138.25",,1.71,1.71,,,97.20,0.00,,11.90,"68,877.20",,1.03,11.50,6.71,,BTSGIF,SET,SERVICE,TRANS
2Q2562,"1,238.60",,,"1,210.28",,1.82,1.82,,,97.71,0.00,,12.10,"70,034.80",,1.05,11.50,6.60,,BTSGIF,SET,SERVICE,TRANS
3Q2562,"1,218.90",,,197.03,,0.30,0.30,,,16.16,0.00,,11.80,"68,298.40",,1.02,11.51,6.76,,BTSGIF,SET,SERVICE,TRANS
4Q2562,992.16,,,"-4,320.21",,-6.86,-6.87,,,-435.43,0.00,,12.10,"70,034.80",,1.07,11.33,6.60,,BTSGIF,SET,SERVICE,TRANS
1Q2563,"1,208.25",,,885.04,,1.47,1.47,,,73.25,0.00,,10.90,"63,089.20",,1.05,10.38,5.61,,BTSGIF,SET,SERVICE,TRANS
2Q2563,"1,353.15",,,"1,011.33",,1.69,1.69,,,74.74,0.00,,11.00,"63,668.00",,1.06,10.37,5.55,,BTSGIF,SET,SERVICE,TRANS
3Q2563,"1,275.05",,,"1,048.71",,1.75,1.76,,,82.25,0.00,,9.95,"57,590.60",,0.96,10.34,6.14,,BTSGIF,SET,SERVICE,TRANS
4Q2563,982.30,,,"-4,944.92",,-8.75,-8.75,,,-503.40,0.00,,8.15,"47,172.20",,,,7.50,,BTSGIF,SET,SERVICE,TRANS
1Q2564,143.41,,,886.16,,1.66,1.66,,,617.94,0.00,,7.30,"42,252.40",,0.79,9.22,3.89,,BTSGIF,SET,SERVICE,TRANS
2Q2564,737.49,,,690.67,,1.28,1.28,,,93.65,0.00,,5.90,"34,149.20",,0.64,9.25,4.81,,BTSGIF,SET,SERVICE,TRANS
3Q2564,806.37,,,"-2,176.08",,-4.12,-4.12,,,-269.86,0.00,,5.40,"31,255.20",,0.58,9.36,5.26,,BTSGIF,SET,SERVICE,TRANS
4Q2564,425.34,,,"-5,235.35",,-10.81,-10.84,,,"-1,230.87",0.00,,5.40,"31,255.20",,0.61,8.85,5.26,,BTSGIF,SET,SERVICE,TRANS
3Q2565,569.29,,,528.35,,1.16,1.16,,,92.81,0.00,,4.34,"25,119.92",,0.55,7.85,0.00,,BTSGIF,SET,SERVICE,TRANS
4Q2565,375.73,,,"-5,703.82",,-13.42,-13.43,,,"-1,518.05",0.00,,4.06,"23,499.28",,,,0.00,,BTSGIF,SET,SERVICE,TRANS
1Q2566,582.63,,,-207.43,,-0.53,-0.53,,,-35.60,0.00,,4.26,"24,772.64",,0.63,6.79,0.00,,BTSGIF,SET,SERVICE,TRANS
2Q2566,861.33,,,387.80,,1.00,1.00,,,45.02,0.00,,3.84,"22,688.96",,0.59,6.70,0.00,,BTSGIF,SET,SERVICE,TRANS
