,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,262.69,,-57.14,24.86,0.03,1.33,1.92,86.60,13.36,9.47,0.44,-209.26,1.97,"1,407.06",14.45,1.15,1.79,2.54,6.82,BWG,SET,SERVICE,PROF
2Q2555,251.98,-10.00,-61.43,23.72,0.03,1.29,1.82,86.91,12.86,9.41,0.40,-215.71,1.60,"1,142.81",11.68,0.91,1.75,3.12,5.27,BWG,SET,SERVICE,PROF
3Q2555,267.37,-50.11,-77.55,13.62,0.01,0.75,1.05,84.59,15.23,5.09,0.40,,1.63,"1,164.24",12.34,0.94,1.73,3.07,5.80,BWG,SET,SERVICE,PROF
4Q2555,278.41,193.47,,30.65,0.04,1.66,2.32,88.67,10.60,11.01,0.39,,1.68,"1,199.95",18.50,0.97,1.74,2.98,5.04,BWG,SET,SERVICE,PROF
1Q2556,295.93,26.49,66.67,40.10,0.05,1.99,2.78,81.07,16.63,13.55,0.41,,2.60,"1,857.07",24.48,1.46,1.78,1.54,6.72,BWG,SET,SERVICE,PROF
2Q2556,327.84,8.00,100.00,41.31,0.05,1.84,2.67,88.09,11.62,12.60,0.50,,2.38,"1,699.93",18.97,1.25,1.91,1.68,6.22,BWG,SET,SERVICE,PROF
3Q2556,346.90,3.70,315.74,44.59,0.06,1.88,2.84,87.84,12.03,12.85,0.52,,2.28,"1,628.50",14.86,1.18,1.93,1.75,5.51,BWG,SET,SERVICE,PROF
4Q2556,372.60,22.29,73.24,57.46,0.07,2.35,3.54,87.32,12.09,15.42,0.50,,2.38,"1,700.10",12.16,1.20,1.98,1.68,5.05,BWG,SET,SERVICE,PROF
1Q2557,344.47,5.14,44.00,57.55,0.07,2.25,3.37,88.01,11.91,16.71,0.50,,3.44,"2,457.54",15.06,1.68,2.05,3.20,6.09,BWG,SET,SERVICE,PROF
2Q2557,369.14,-23.61,1.85,49.72,0.06,1.86,2.84,86.10,12.73,13.47,0.57,,4.90,"3,709.37",20.64,2.37,2.19,2.24,8.28,BWG,SET,SERVICE,PROF
3Q2557,393.43,-12.73,-14.29,44.40,0.05,1.63,2.50,84.40,14.77,11.29,0.50,,4.78,"3,822.67",20.97,2.48,2.04,2.18,8.16,BWG,SET,SERVICE,PROF
4Q2557,411.16,95.83,37.27,75.10,0.09,2.71,4.07,87.06,11.46,18.27,0.50,,5.45,"4,358.49",24.10,2.70,2.02,1.91,8.79,BWG,SET,SERVICE,PROF
1Q2558,377.70,-18.09,6.94,66.87,0.08,2.33,3.45,85.71,13.13,17.70,0.46,,7.50,"5,997.92",29.55,3.57,2.10,1.60,11.52,BWG,SET,SERVICE,PROF
2Q2558,427.28,,,79.76,-0.03,2.68,4.02,83.39,13.65,18.67,0.54,,1.72,"5,502.09",25.86,3.15,0.55,1.74,10.23,BWG,SET,SERVICE,PROF
3Q2558,475.63,,-37.50,102.16,0.03,3.20,4.78,78.89,13.57,21.48,0.46,,1.50,"4,798.33",19.42,2.78,0.54,2.00,7.67,BWG,SET,SERVICE,PROF
