,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,"33,936.96",,20.00,235.06,0.06,0.39,1.47,97.58,2.14,0.69,3.21,"-1,360.36",2.80,"11,417.16",22.26,0.66,4.21,5.71,20.00,CCET,SET,TECH,ETRON
2Q2555,"38,531.54",66.67,66.67,402.04,0.10,0.62,2.69,96.77,2.83,1.04,3.47,"-1,235.08",2.58,"10,520.09",19.65,0.71,3.62,6.20,19.88,CCET,SET,TECH,ETRON
3Q2555,"36,865.60",0.00,66.67,412.25,0.10,0.64,2.71,96.40,3.26,1.12,3.05,"-1,132.88",2.72,"11,090.95",15.43,0.74,3.70,5.88,16.83,CCET,SET,TECH,ETRON
4Q2555,"31,372.09",-70.00,,149.64,0.03,0.25,0.98,96.45,3.11,0.48,2.76,"-1,185.47",3.22,"13,129.73",15.10,0.85,3.78,4.97,14.56,CCET,SET,TECH,ETRON
1Q2556,"29,730.34",133.33,16.67,273.80,0.07,0.49,1.80,96.44,3.13,0.92,2.57,"-1,009.70",3.82,"15,576.26",12.99,1.02,3.75,4.19,13.96,CCET,SET,TECH,ETRON
2Q2556,"30,372.58",-28.57,-50.00,226.47,0.05,0.40,1.47,96.73,3.17,0.75,2.75,-958.36,2.74,"11,193.08",9.04,0.74,3.73,5.83,14.44,CCET,SET,TECH,ETRON
3Q2556,"30,292.18",20.00,-40.00,216.31,0.06,0.37,1.38,96.25,3.47,0.71,2.66,-870.00,3.04,"12,418.77",11.69,0.80,3.80,5.25,15.43,CCET,SET,TECH,ETRON
4Q2556,"31,461.82",,,-255.09,-0.07,-0.42,-1.60,95.17,4.59,-0.81,2.87,-711.88,2.96,"12,092.42",13.96,0.76,3.87,5.40,18.67,CCET,SET,TECH,ETRON
1Q2557,"31,177.93",,-28.57,190.18,0.05,0.31,1.18,96.31,3.33,0.61,2.66,-676.15,2.74,"11,196.68",25.23,0.72,3.79,5.60,16.93,CCET,SET,TECH,ETRON
2Q2557,"33,882.47",-80.00,-80.00,56.40,0.01,0.09,0.35,96.47,3.31,0.17,2.93,-693.69,2.98,"12,664.94",33.52,0.79,3.92,2.58,19.67,CCET,SET,TECH,ETRON
