,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,578.56,57.88,-61.66,34.38,0.11,1.52,11.45,91.29,8.11,5.94,6.33,-627.03,2.36,731.60,20.73,2.90,0.81,0.00,8.88,CCP,SET,PROPCON,CONMAT
2Q2555,625.67,-6.37,,32.04,0.10,1.37,9.61,91.53,7.24,5.12,5.78,-599.60,2.68,830.80,13.84,2.91,0.92,0.00,8.41,CCP,SET,PROPCON,CONMAT
3Q2555,707.32,223.92,"32,460.00",101.90,0.33,4.19,25.46,82.14,6.23,14.41,4.52,-612.55,5.25,"1,627.50",18.98,5.14,1.02,0.00,8.29,CCP,SET,PROPCON,CONMAT
4Q2555,691.11,-48.86,144.88,50.37,0.17,2.04,10.01,89.78,7.66,7.29,3.40,-593.49,6.05,"1,875.50",10.07,4.49,1.35,0.00,7.94,CCP,SET,PROPCON,CONMAT
1Q2556,682.56,-33.94,2.46,41.12,0.11,1.67,6.57,92.60,7.13,6.02,2.57,-527.27,9.20,"3,346.95",15.54,6.42,1.43,0.00,10.82,CCP,SET,PROPCON,CONMAT
2Q2556,640.73,0.00,9.43,40.23,0.11,1.62,5.58,91.69,6.55,6.28,2.33,-491.47,7.50,"2,862.31",12.84,4.34,1.73,0.00,9.61,CCP,SET,PROPCON,CONMAT
3Q2556,724.42,11.18,-62.44,49.63,0.12,1.94,6.41,92.52,5.54,6.85,2.28,-471.34,6.00,"2,657.12",11.46,3.74,1.61,0.00,10.66,CCP,SET,PROPCON,CONMAT
4Q2556,858.85,357.65,236.12,263.60,0.56,10.55,27.68,62.55,4.14,30.69,1.15,-491.94,4.58,"2,068.14",11.46,2.71,1.69,0.00,4.79,CCP,SET,PROPCON,CONMAT
1Q2557,741.61,-74.99,27.27,67.20,0.14,2.83,5.88,92.61,5.96,9.06,1.01,-495.26,4.50,"2,189.90",5.57,2.06,2.18,2.00,4.78,CCP,SET,PROPCON,CONMAT
2Q2557,640.87,-50.56,-37.08,36.93,0.07,1.56,3.09,90.49,7.33,5.76,0.95,-446.82,6.40,"3,184.28",7.61,2.80,2.29,1.37,6.22,CCP,SET,PROPCON,CONMAT
3Q2557,663.16,-9.28,-48.66,38.18,0.06,1.51,2.82,91.98,6.77,5.76,0.80,-366.98,7.25,"3,944.93",9.51,3.33,2.18,1.11,7.50,CCP,SET,PROPCON,CONMAT
4Q2557,614.47,-66.56,-96.25,16.19,0.02,0.61,1.08,93.24,7.43,2.63,0.73,-296.68,5.65,"3,317.93",8.27,2.52,2.25,1.32,12.71,CCP,SET,PROPCON,CONMAT
1Q2558,604.75,12.38,-83.14,14.88,0.02,0.55,0.97,90.86,8.79,2.46,0.78,-220.63,5.25,"3,084.83",19.87,2.31,2.27,0.18,14.66,CCP,SET,PROPCON,CONMAT
