,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,489.33,,,-11.33,-0.03,-0.41,-0.54,,8.19,-2.31,0.35,,2.70,"1,365.11",198.58,0.68,3.96,0.00,31.95,CEN,SET,INDUS,STEEL
2Q2555,519.55,,,19.81,0.04,0.68,0.91,,6.54,3.81,0.33,,2.34,"1,183.10",N/A,0.60,3.93,0.00,16.17,CEN,SET,INDUS,STEEL
3Q2555,467.47,-50.00,,11.52,0.02,0.37,0.51,,7.19,2.46,0.37,,2.36,"1,193.21",149.01,0.59,3.97,0.00,12.45,CEN,SET,INDUS,STEEL
4Q2555,520.59,0.00,-33.33,10.75,0.02,0.35,0.46,,7.27,2.06,0.31,,2.82,"1,425.78",48.47,0.71,3.96,0.00,14.15,CEN,SET,INDUS,STEEL
1Q2556,601.44,250.00,,46.13,0.07,1.36,1.79,,5.77,7.67,0.32,,3.66,"2,302.98",39.09,1.12,4.06,1.37,12.88,CEN,SET,INDUS,STEEL
2Q2556,537.71,85.71,225.00,82.02,0.13,2.17,2.94,,6.00,15.25,0.39,,3.92,"2,468.74",30.91,1.01,3.88,1.27,12.86,CEN,SET,INDUS,STEEL
3Q2556,592.73,,,12.73,0.00,0.33,0.45,,7.56,2.15,0.37,,3.92,"2,468.74",17.81,1.07,3.67,1.27,11.97,CEN,SET,INDUS,STEEL
4Q2556,492.55,,,-155.69,-0.05,-4.01,-5.65,,7.51,-31.61,0.45,,3.08,"1,940.90",14.84,0.84,3.67,1.62,24.67,CEN,SET,INDUS,STEEL
1Q2557,503.27,80.00,,-7.35,-0.01,-0.19,-0.27,,12.82,-1.46,0.49,,2.92,"1,840.07",N/A,0.84,3.49,1.71,52.90,CEN,SET,INDUS,STEEL
2Q2557,532.66,,-38.46,59.83,0.08,1.51,2.23,,4.18,11.23,0.47,,3.00,"1,890.48",N/A,0.87,3.47,1.67,42.67,CEN,SET,INDUS,STEEL
3Q2557,747.96,175.00,,149.36,0.22,3.64,5.24,,4.46,19.97,0.41,,4.16,"2,621.47",N/A,1.19,3.49,1.20,13.79,CEN,SET,INDUS,STEEL
4Q2557,318.58,,-100.00,-56.24,-0.10,-1.32,-1.86,,5.03,-17.65,0.40,,4.46,"2,810.52",45.85,1.16,3.85,1.12,11.80,CEN,SET,INDUS,STEEL
1Q2558,448.87,,,28.46,0.04,0.59,0.80,,9.86,6.34,0.31,,3.64,"2,293.82",18.65,0.96,3.77,1.37,5.96,CEN,SET,INDUS,STEEL
2Q2558,367.93,,,-12.62,-0.03,-0.24,-0.30,,9.87,-3.43,0.25,,3.32,"2,473.87",16.07,0.98,4.01,1.27,8.86,CEN,SET,INDUS,STEEL
3Q2558,400.82,-433.33,,-110.81,-0.16,-2.10,-2.58,,13.46,-27.64,0.21,,3.48,"2,593.09",30.23,0.96,3.62,1.22,-28.59,CEN,SET,INDUS,STEEL
4Q2558,359.62,25.00,-20.00,-104.37,-0.12,-1.98,-2.44,,16.94,-29.02,0.26,,2.08,"1,549.89",N/A,0.59,3.55,2.03,-15.41,CEN,SET,INDUS,STEEL
1Q2559,573.35,75.00,,-39.42,-0.03,-0.68,-0.94,,10.64,-6.88,0.48,,2.00,"1,490.28",N/A,0.58,3.43,0.00,-13.50,CEN,SET,INDUS,STEEL
2Q2559,465.35,-333.33,-333.33,-118.86,-0.13,-1.94,-2.88,,14.38,-25.54,0.49,,1.69,"1,259.29",N/A,0.50,3.41,0.00,-8.70,CEN,SET,INDUS,STEEL
3Q2559,449.63,,,37.69,0.06,0.63,0.93,,14.62,8.38,0.47,,2.26,"1,684.02",N/A,0.69,3.28,0.00,-39.39,CEN,SET,INDUS,STEEL
4Q2559,524.71,,44.25,-42.26,-0.07,-0.71,-1.05,,23.08,-8.05,0.48,,2.12,"1,579.70",N/A,0.63,3.35,0.00,98.35,CEN,SET,INDUS,STEEL
1Q2560,674.94,93.42,85.33,-6.71,-0.00,-0.11,-0.17,,11.71,-0.99,0.50,,1.92,"1,430.67",N/A,0.59,3.28,0.00,26.46,CEN,SET,INDUS,STEEL
2Q2560,587.21,,,-14.08,0.00,-0.23,-0.35,,13.34,-2.40,0.48,,1.93,"1,438.12",N/A,0.59,3.28,0.00,11.74,CEN,SET,INDUS,STEEL
3Q2560,552.25,,,-50.57,-0.04,-0.82,-1.22,,9.54,-9.16,0.49,,1.80,"1,341.25",N/A,0.52,3.46,0.00,21.44,CEN,SET,INDUS,STEEL
