,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,98.25,0.00,0.00,-20.52,-0.01,-2.83,-4.08,,28.53,-20.88,0.44,,0.49,"1,197.93",N/A,2.45,0.20,0.00,-20.19,CGD,SET,PROPCON,PROP
2Q2555,156.40,0.00,,-19.55,-0.01,-2.67,-4.06,,20.79,-12.50,0.61,,0.46,"1,124.62",N/A,2.40,0.19,0.00,-20.86,CGD,SET,PROPCON,PROP
3Q2555,113.19,0.00,0.00,-22.45,-0.01,-3.00,-4.88,,24.58,-19.83,0.64,,0.53,"1,295.75",N/A,2.89,0.18,0.00,-21.61,CGD,SET,PROPCON,PROP
4Q2555,179.27,,,-10.14,0.00,-1.29,-2.11,,14.71,-5.65,0.64,,0.57,"1,393.55",N/A,3.28,0.17,0.00,-28.45,CGD,SET,PROPCON,PROP
1Q2556,140.30,,0.00,-25.73,-0.01,-2.42,-5.06,,26.25,-18.34,1.55,,1.10,"2,689.30",N/A,5.53,0.20,0.00,-57.94,CGD,SET,PROPCON,PROP
2Q2556,-139.62,0.00,0.00,-45.60,-0.01,-1.39,-1.81,,-7.69,32.66,0.16,,1.00,"6,187.45",N/A,12.84,0.20,0.00,-81.72,CGD,SET,PROPCON,PROP
3Q2556,1.54,69.20,69.20,-35.62,-0.00,-0.69,-0.79,,"1,389.42","-2,309.40",0.15,,0.90,"6,284.07",N/A,1.40,0.64,0.00,-82.51,CGD,SET,PROPCON,PROP
4Q2556,324.13,,,24.01,0.01,0.46,0.54,85.62,13.58,7.41,0.19,"1,904.82",1.09,"7,610.70",N/A,1.71,0.64,0.00,-167.52,CGD,SET,PROPCON,PROP
1Q2557,201.52,,91.40,-5.98,-0.00,-0.10,-0.14,73.59,18.10,-2.97,0.40,"2,175.77",1.23,"8,588.22",N/A,1.94,0.63,0.00,-611.63,CGD,SET,PROPCON,PROP
2Q2557,130.72,-88.37,83.80,-11.39,-0.00,-0.18,-0.25,55.70,21.12,-8.71,0.36,"2,075.64",1.33,"9,503.24",N/A,2.16,0.63,0.00,285.28,CGD,SET,PROPCON,PROP
3Q2557,95.45,-117.28,-14.29,-24.55,-0.00,-0.34,-0.51,40.65,31.26,-25.72,0.60,"2,119.71",1.91,"14,012.32",N/A,2.89,0.66,0.00,193.18,CGD,SET,PROPCON,PROP
