,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2558,,,,,,,,,,,2.43,623.28,,,,,,,,CHEWA,mai,PROPCON,-
1Q2559,541.34,,,57.83,0.12,2.43,6.92,87.61,11.40,10.68,1.45,908.43,,,,,,,,CHEWA,mai,PROPCON,-
2Q2559,293.90,,,9.71,-0.01,0.38,0.99,79.19,18.98,3.30,1.69,"1,222.96",1.59,"1,192.50",8.85,,0.00,0.00,8.60,CHEWA,mai,PROPCON,-
3Q2559,186.84,77.78,,3.75,-0.00,0.13,0.38,66.12,29.21,2.01,2.15,"1,528.41",1.52,"1,140.00",7.74,1.16,1.31,0.00,9.00,CHEWA,mai,PROPCON,-
4Q2559,176.27,-750.00,,-8.20,-0.02,-0.26,-0.84,59.09,38.50,-4.65,2.25,"2,908.42",1.62,"1,215.00",7.55,1.23,1.31,0.00,23.00,CHEWA,mai,PROPCON,-
1Q2560,108.14,-147.94,,-31.62,-0.04,-0.93,-3.29,46.19,52.01,-29.23,2.87,"3,530.16",1.40,"1,050.00",16.64,1.08,1.30,2.14,99.27,CHEWA,mai,PROPCON,-
2Q2560,320.64,,,22.46,0.03,0.60,2.38,76.09,23.18,7.01,3.11,"3,717.66",1.32,990.00,N/A,1.05,1.26,2.27,113.84,CHEWA,mai,PROPCON,-
3Q2560,401.98,49.25,,33.64,0.04,0.85,3.50,80.56,18.93,8.37,3.11,"3,763.11",1.31,982.50,N/A,1.04,1.26,2.29,58.53,CHEWA,mai,PROPCON,-
4Q2560,"1,211.65",293.33,,131.02,0.18,3.42,12.55,87.04,12.73,10.81,2.29,"2,949.90",1.34,"1,005.00",61.69,1.03,1.30,2.24,13.07,CHEWA,mai,PROPCON,-
1Q2561,571.32,-59.89,,57.24,0.07,1.55,5.03,82.32,17.01,10.02,2.20,"2,661.56",1.30,975.00,6.27,0.88,1.48,0.66,9.60,CHEWA,mai,PROPCON,-
