,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2555,,,,,,,,,,,0.38,-57.39,,,,,,,,CHG,SET,SERVICE,HELTH
1Q2556,507.49,,,90.25,0.10,5.60,7.91,85.64,13.71,17.78,0.45,-95.25,,,,,,,,CHG,SET,SERVICE,HELTH
2Q2556,529.75,-10.00,,90.14,0.09,3.85,4.79,85.43,12.92,17.02,0.16,-124.82,8.65,"9,515.00",27.86,0.00,0.00,0.00,11.85,CHG,SET,SERVICE,HELTH
3Q2556,617.61,33.33,,126.57,0.12,4.19,4.84,86.87,11.53,20.49,0.15,-149.45,10.10,"11,110.00",31.93,4.27,2.37,0.00,10.91,CHG,SET,SERVICE,HELTH
4Q2556,599.81,-16.67,,107.42,0.10,3.57,4.08,85.11,13.00,17.91,0.13,-223.11,10.00,"11,000.00",28.15,4.18,2.39,0.00,17.19,CHG,SET,SERVICE,HELTH
1Q2557,653.51,12.34,12.34,123.60,0.11,3.96,4.58,84.80,12.81,18.91,0.18,-226.91,10.50,"11,550.00",27.87,4.38,2.40,2.57,17.11,CHG,SET,SERVICE,HELTH
2Q2557,654.86,-4.17,19.62,117.77,0.11,3.66,4.25,84.60,13.76,17.98,0.15,-193.28,13.30,"14,630.00",32.68,5.30,2.51,2.03,20.14,CHG,SET,SERVICE,HELTH
3Q2557,698.50,7.11,-3.91,127.56,0.12,3.94,4.57,86.18,12.48,18.26,0.17,-194.75,18.20,"20,020.00",42.12,7.20,2.53,1.48,27.14,CHG,SET,SERVICE,HELTH
4Q2557,707.91,-9.21,4.69,111.77,0.10,3.41,3.99,85.08,13.89,15.79,0.16,-208.63,18.00,"19,800.00",41.57,7.08,2.54,1.50,26.63,CHG,SET,SERVICE,HELTH
1Q2558,737.70,-88.42,-89.21,133.23,0.01,3.99,4.64,86.69,12.54,18.06,0.16,-207.93,19.60,"21,560.00",44.86,7.70,2.55,1.53,28.25,CHG,SET,SERVICE,HELTH
2Q2558,772.80,6.35,-88.03,141.76,0.01,4.11,4.80,85.84,13.19,18.34,0.17,-229.01,1.91,"21,010.00",42.85,7.16,0.27,1.57,26.45,CHG,SET,SERVICE,HELTH
3Q2558,811.20,-14.58,-90.45,121.18,0.01,3.47,4.09,85.67,13.52,14.94,0.19,-225.00,2.16,"23,760.00",46.19,8.01,0.27,1.39,30.25,CHG,SET,SERVICE,HELTH
4Q2558,857.13,17.89,-87.60,142.16,0.01,4.02,4.80,85.31,14.20,16.59,0.20,-223.27,2.66,"29,260.00",57.60,9.90,0.27,1.13,35.21,CHG,SET,SERVICE,HELTH
1Q2559,890.58,9.78,17.57,156.91,0.01,4.22,5.12,86.64,12.86,17.62,0.23,-232.09,2.68,"29,480.00",54.76,9.94,0.27,1.34,34.19,CHG,SET,SERVICE,HELTH
2Q2559,882.03,-26.11,-18.31,115.99,0.01,2.91,3.68,85.90,13.37,13.15,0.30,-242.98,3.10,"34,100.00",60.69,10.92,0.28,1.16,40.86,CHG,SET,SERVICE,HELTH
3Q2559,968.58,38.37,32.33,160.38,0.01,3.74,5.03,86.80,12.58,16.56,0.39,-248.10,2.62,"28,820.00",53.77,9.28,0.28,1.37,32.37,CHG,SET,SERVICE,HELTH
4Q2559,916.69,-17.98,-7.94,131.71,0.01,2.93,4.08,84.31,15.23,14.37,0.40,-229.12,2.86,"31,460.00",54.71,10.04,0.28,1.26,35.56,CHG,SET,SERVICE,HELTH
1Q2560,940.48,16.32,-2.46,152.91,0.01,3.34,4.62,86.31,13.27,16.26,0.36,-210.78,2.50,"27,500.00",48.73,8.78,0.28,1.44,30.82,CHG,SET,SERVICE,HELTH
2Q2560,897.41,-22.37,2.47,118.80,0.01,2.52,3.48,85.40,13.81,13.24,0.40,-199.72,2.44,"26,840.00",47.89,8.17,0.30,1.48,29.73,CHG,SET,SERVICE,HELTH
3Q2560,"1,037.69",41.71,4.94,168.28,0.02,3.46,4.88,87.05,12.44,16.22,0.42,-201.44,2.46,"27,060.00",48.04,8.28,0.30,1.46,29.50,CHG,SET,SERVICE,HELTH
4Q2560,"1,020.85",-25.31,-4.44,125.80,0.01,2.54,3.62,82.62,16.95,12.32,0.43,-203.28,2.10,"23,100.00",40.44,6.99,0.30,1.71,24.97,CHG,SET,SERVICE,HELTH
1Q2561,"1,084.48",54.03,26.55,193.31,0.02,3.78,5.40,87.62,11.94,17.83,0.43,-215.30,1.93,"21,230.00",37.55,6.43,0.30,1.87,21.81,CHG,SET,SERVICE,HELTH
2Q2561,"1,046.76",-8.02,49.95,176.68,0.02,3.30,4.76,88.25,11.06,16.88,0.45,-228.79,2.08,"22,880.00",37.75,6.55,0.32,1.73,22.02,CHG,SET,SERVICE,HELTH
3Q2561,"1,155.85",-15.14,-10.20,145.48,0.01,2.63,3.93,87.20,12.18,12.59,0.53,-230.37,2.84,"31,240.00",46.96,8.83,0.32,1.27,30.31,CHG,SET,SERVICE,HELTH
4Q2561,"1,143.76",-26.22,-11.30,99.76,0.01,1.76,2.69,83.50,16.09,8.72,0.52,-237.52,1.92,"21,120.00",32.60,6.09,0.32,1.88,21.24,CHG,SET,SERVICE,HELTH
1Q2562,"1,232.38",60.91,-7.33,167.03,0.02,2.86,4.36,87.15,12.52,13.55,0.53,-235.54,1.90,"20,900.00",32.97,5.87,0.32,2.63,21.19,CHG,SET,SERVICE,HELTH
2Q2562,"1,186.97",-31.29,-30.78,110.98,0.01,1.86,2.92,85.39,13.90,9.35,0.61,-210.21,2.26,"24,860.00",40.12,6.64,0.34,2.21,26.32,CHG,SET,SERVICE,HELTH
3Q2562,"1,438.12",117.86,77.71,260.84,0.02,4.28,7.03,87.90,11.58,18.14,0.68,-207.98,2.46,"27,060.00",47.93,7.65,0.32,2.03,24.82,CHG,SET,SERVICE,HELTH
4Q2562,"1,333.40",-49.96,20.53,125.81,0.01,2.01,3.30,85.61,13.99,9.44,0.61,-209.60,2.58,"28,380.00",41.58,7.92,0.33,1.94,24.84,CHG,SET,SERVICE,HELTH
1Q2563,"1,322.30",38.82,3.99,177.99,0.02,2.81,4.47,87.97,11.65,13.46,0.58,-202.09,2.10,"23,100.00",,,,2.38,20.06,CHG,SET,SERVICE,HELTH
2Q2563,"1,150.43",-16.93,25.71,144.13,0.01,2.26,3.63,87.30,12.27,12.53,0.63,-201.80,2.46,"27,060.00",37.98,6.97,0.35,2.03,22.34,CHG,SET,SERVICE,HELTH
3Q2563,"1,467.11",81.89,4.96,277.59,0.03,4.36,7.10,87.82,11.67,18.92,0.62,-183.62,2.40,"26,400.00",35.46,7.12,0.34,2.08,21.45,CHG,SET,SERVICE,HELTH
4Q2563,"1,524.64",-8.79,91.32,252.65,0.02,4.01,6.21,85.51,13.57,16.57,0.48,-161.62,2.46,"27,060.00",35.73,7.18,0.34,2.03,19.53,CHG,SET,SERVICE,HELTH
1Q2564,"1,472.22",-2.01,35.04,249.47,0.02,4.00,5.78,85.25,10.85,16.95,0.41,-160.90,2.92,"32,120.00",36.64,7.98,0.37,1.71,21.62,CHG,SET,SERVICE,HELTH
2Q2564,"2,135.57",128.79,271.95,575.31,0.05,8.45,12.55,87.34,9.64,26.94,0.55,-185.59,3.98,"43,780.00",46.48,10.24,0.39,1.26,21.92,CHG,SET,SERVICE,HELTH
3Q2564,"4,457.94",171.41,455.02,"1,578.84",0.14,18.19,29.50,90.89,7.59,35.42,0.68,-251.51,3.76,"41,360.00",30.34,9.15,0.41,1.33,12.16,CHG,SET,SERVICE,HELTH
4Q2564,"3,935.63",15.93,605.44,"1,863.67",0.16,18.13,26.97,95.25,2.98,47.35,0.35,-306.83,3.66,"40,260.00",15.22,6.99,0.52,1.37,7.11,CHG,SET,SERVICE,HELTH
1Q2565,"3,638.80",-25.17,438.71,"1,387.86",0.12,12.12,16.26,92.52,5.62,38.14,0.34,-313.78,3.86,"42,460.00",,,,5.18,5.90,CHG,SET,SERVICE,HELTH
2Q2565,"2,855.92",-35.25,52.45,907.07,0.08,7.89,10.37,89.69,7.81,31.76,0.29,-294.24,3.70,"40,700.00",7.67,4.56,0.81,5.41,5.58,CHG,SET,SERVICE,HELTH
3Q2565,"2,100.35",-70.57,-83.47,266.56,0.02,2.49,3.36,84.44,12.03,12.69,0.41,-248.75,3.64,"40,480.00",7.21,5.10,0.72,5.43,7.09,CHG,SET,SERVICE,HELTH
