,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,452.26,-52.50,,41.27,0.19,1.02,3.46,74.51,22.35,9.12,2.28,"1,807.02",3.90,468.00,N/A,0.49,7.98,1.54,12.20,CI,SET,PROPCON,PROP
2Q2555,639.91,82.79,,71.01,0.35,1.86,5.70,78.54,19.59,11.10,1.87,"1,168.36",5.40,648.00,74.97,0.66,8.17,1.11,7.08,CI,SET,PROPCON,PROP
3Q2555,575.08,-24.36,,60.14,0.26,1.69,4.60,79.39,19.34,10.46,1.59,987.76,7.50,900.00,10.25,0.89,8.46,0.80,5.50,CI,SET,PROPCON,PROP
4Q2555,445.99,-20.06,-47.50,40.96,0.21,1.14,3.08,69.74,27.73,9.18,1.80,850.29,7.00,840.00,5.82,0.80,8.72,0.86,6.79,CI,SET,PROPCON,PROP
1Q2556,313.24,-85.71,-84.21,9.39,0.03,0.25,0.71,61.42,34.79,3.00,1.78,766.18,12.50,"1,500.00",12.36,1.40,8.93,1.20,9.16,CI,SET,PROPCON,PROP
2Q2556,296.41,,,-36.01,-0.28,-0.97,-2.76,48.20,47.14,-12.15,1.89,"1,082.75",11.10,"1,332.00",13.14,1.24,8.98,1.35,13.40,CI,SET,PROPCON,PROP
3Q2556,305.56,,177.88,475.11,0.73,12.28,31.43,32.07,62.13,155.49,1.32,988.14,2.42,"1,452.00",52.92,1.41,1.71,1.24,3.66,CI,SET,PROPCON,PROP
4Q2556,977.85,,,-51.45,-0.06,-1.26,-3.05,82.68,14.63,-5.26,1.53,"1,029.99",1.63,"1,173.60",3.16,0.84,1.95,1.53,4.56,CI,SET,PROPCON,PROP
1Q2557,208.27,46.25,,-32.11,-0.03,-0.76,-1.99,44.55,49.92,-15.42,1.72,"1,171.33",1.79,"1,288.80",4.26,0.96,1.86,5.31,5.75,CI,SET,PROPCON,PROP
2Q2557,378.66,-13.00,87.09,-38.27,-0.04,-0.87,-2.46,70.82,25.68,-10.11,1.92,"1,402.41",1.97,"1,418.40",5.13,1.08,1.82,4.82,6.71,CI,SET,PROPCON,PROP
3Q2557,139.92,-71.02,,-62.91,-0.06,-1.37,-4.25,4.27,85.41,-44.96,2.27,"1,805.81",2.16,"1,555.20",5.49,1.26,1.72,4.40,-28.45,CI,SET,PROPCON,PROP
4Q2557,917.15,,,159.80,0.10,3.32,10.46,81.31,20.24,17.42,2.04,"1,782.98",2.06,"1,483.20",N/A,1.24,1.65,4.62,37.76,CI,SET,PROPCON,PROP
1Q2558,660.48,13.96,,131.44,0.11,2.61,7.62,64.66,24.85,19.90,1.80,"1,709.01",1.94,"1,396.80",N/A,1.09,1.76,3.62,14.56,CI,SET,PROPCON,PROP
2Q2558,510.67,-78.03,,63.12,0.03,1.10,3.39,81.51,27.58,12.36,2.38,"1,689.55",2.66,"1,915.20",22.45,1.42,1.87,2.64,13.76,CI,SET,PROPCON,PROP
3Q2558,284.48,,-18.05,-65.66,-0.07,-1.01,-3.58,45.35,49.91,-23.08,2.74,"1,847.88",2.12,"1,526.40",11.77,1.16,1.82,3.31,14.16,CI,SET,PROPCON,PROP
4Q2558,"1,288.09",,19.51,164.40,0.12,2.43,8.62,74.69,15.76,12.76,2.36,"1,954.67",2.24,"1,612.80",13.01,1.28,1.75,3.14,13.38,CI,SET,PROPCON,PROP
1Q2559,"1,031.28",-30.67,-27.29,156.98,0.08,2.31,7.40,75.39,18.19,15.22,2.05,"1,978.75",2.38,"1,713.60",12.81,1.27,1.87,0.84,11.73,CI,SET,PROPCON,PROP
2Q2559,817.07,,,32.41,-0.01,0.48,1.46,81.93,22.70,3.97,2.02,"1,917.36",2.22,"1,755.73",15.05,1.25,1.78,0.82,11.33,CI,SET,PROPCON,PROP
3Q2559,336.82,-576.52,-19.18,-82.04,-0.09,-1.19,-3.76,28.86,46.82,-24.36,2.32,"1,832.46",2.04,"1,613.38",18.17,1.17,1.75,0.89,12.04,CI,SET,PROPCON,PROP
4Q2559,472.90,,81.57,215.44,0.22,3.00,9.77,42.97,50.86,45.56,2.20,"1,762.17",2.14,"1,692.46",23.41,1.30,1.65,0.85,9.11,CI,SET,PROPCON,PROP
1Q2560,493.49,,,-27.40,-0.03,-0.38,-1.18,55.54,37.83,-5.55,2.03,"1,816.69",1.89,"1,494.75",9.41,1.03,1.87,3.13,13.86,CI,SET,PROPCON,PROP
2Q2560,504.60,-69.23,-242.15,-39.91,-0.04,-0.54,-1.70,47.79,36.96,-7.91,2.21,"1,840.25",1.61,"1,432.46",20.15,0.99,1.63,3.27,21.63,CI,SET,PROPCON,PROP
3Q2560,574.75,9.09,54.02,-21.62,-0.04,-0.29,-0.92,57.87,32.02,-3.76,2.21,"1,767.57",1.63,"1,450.25",38.23,1.06,1.53,3.23,16.27,CI,SET,PROPCON,PROP
4Q2560,695.17,,-39.63,133.66,0.13,1.74,5.48,81.49,22.65,19.23,2.11,"1,948.81",1.49,"1,325.69",17.42,0.99,1.50,3.53,29.26,CI,SET,PROPCON,PROP
