,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,281.05,91.12,-30.00,-7.21,-0.01,-0.48,-1.53,86.08,8.96,-2.56,2.18,396.76,0.61,336.90,N/A,0.71,0.86,0.00,244.15,CIG,mai,INDUS,-
2Q2555,273.26,-76.92,-15.00,-12.74,-0.02,-0.87,-2.69,78.09,15.79,-4.66,2.02,324.33,0.57,342.00,N/A,0.73,0.85,0.00,154.50,CIG,mai,INDUS,-
3Q2555,243.41,-95.65,29.25,-26.22,-0.04,-1.88,-5.62,76.55,13.61,-10.77,1.96,264.50,0.55,330.02,N/A,0.69,0.80,0.00,71.61,CIG,mai,INDUS,-
4Q2555,220.36,-53.33,52.87,-38.55,-0.07,-2.99,-8.88,76.28,21.64,-17.50,1.98,199.59,0.90,540.13,N/A,1.19,0.76,0.00,21.65,CIG,mai,INDUS,-
1Q2556,297.27,,,13.73,0.02,1.08,3.12,78.76,9.69,4.62,1.81,141.34,1.41,847.47,N/A,2.04,0.69,0.00,21.29,CIG,mai,INDUS,-
2Q2556,215.06,,-86.96,-23.14,-0.04,-1.77,-5.14,78.64,18.09,-10.76,2.00,179.38,0.76,457.48,N/A,0.98,0.77,0.00,20.17,CIG,mai,INDUS,-
3Q2556,253.21,93.12,93.42,-4.41,-0.00,-0.35,-1.02,88.81,10.80,-1.74,1.84,184.60,0.67,403.31,N/A,0.93,0.72,0.00,14.49,CIG,mai,INDUS,-
4Q2556,297.51,,,8.18,0.01,0.65,1.88,90.22,8.11,2.75,1.94,186.88,0.60,361.17,N/A,0.84,0.71,0.00,9.49,CIG,mai,INDUS,-
1Q2557,261.73,-84.06,-90.57,1.31,0.00,0.10,0.30,84.02,11.80,0.50,1.82,219.97,0.65,391.27,N/A,0.89,0.73,0.00,10.33,CIG,mai,INDUS,-
2Q2557,254.38,310.14,,5.35,0.01,0.43,1.20,85.08,11.96,2.10,1.72,201.46,0.90,541.75,N/A,1.23,0.73,0.00,9.17,CIG,mai,INDUS,-
3Q2557,262.99,86.07,,9.96,0.02,0.81,2.20,84.01,12.26,3.79,1.69,175.40,1.25,752.44,72.06,1.68,0.74,0.00,10.49,CIG,mai,INDUS,-
4Q2557,227.10,638.95,799.12,77.12,0.12,6.09,12.31,74.92,21.93,33.96,0.64,158.73,1.26,"1,089.61",43.93,2.39,0.76,0.00,6.12,CIG,mai,INDUS,-
1Q2558,305.99,,,-0.78,-0.00,-0.06,-0.10,83.57,13.41,-0.25,0.52,110.08,1.19,"1,029.07",10.98,1.29,0.92,0.00,6.03,CIG,mai,INDUS,-
