,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2560,,,,,,,,,,,2.38,864.23,,,,,,,,CMC,SET,PROPCON,PROP
3Q2561,"1,548.78",,,186.33,0.25,3.30,10.05,78.40,19.09,12.03,1.74,937.59,,,,,,,,CMC,SET,PROPCON,PROP
4Q2561,451.41,-91.32,,27.50,0.02,0.52,1.20,72.55,24.03,6.09,1.01,"1,167.00",1.53,"1,530.00",6.31,,0.00,0.00,4.88,CMC,SET,PROPCON,PROP
1Q2562,395.42,6.17,,22.90,0.02,0.44,0.87,69.53,26.13,5.79,0.95,"1,343.80",1.67,"1,670.00",7.81,0.64,2.63,6.59,4.53,CMC,SET,PROPCON,PROP
2Q2562,376.86,-40.87,,13.54,0.01,0.26,0.51,68.56,28.57,3.59,0.93,"1,899.17",1.40,"1,400.00",7.14,0.53,2.65,7.86,6.38,CMC,SET,PROPCON,PROP
3Q2562,327.18,,,-17.44,-0.02,-0.34,-0.67,63.37,34.15,-5.33,0.94,"2,630.17",1.01,"1,010.00",7.94,0.39,2.62,10.89,15.54,CMC,SET,PROPCON,PROP
4Q2562,329.84,,-76.17,5.15,0.01,0.10,0.20,60.20,36.76,1.56,0.99,"2,521.03",0.82,820.00,17.64,0.31,2.61,13.41,25.67,CMC,SET,PROPCON,PROP
1Q2563,274.94,,,-1.72,-0.00,-0.03,-0.07,59.65,35.92,-0.62,1.08,"2,554.37",0.58,580.00,24.02,0.22,2.61,4.31,41.98,CMC,SET,PROPCON,PROP
2Q2563,239.88,,-91.65,1.12,0.00,0.02,0.04,65.34,30.49,0.47,1.15,"2,836.32",0.73,730.00,N/A,0.28,2.61,3.42,80.36,CMC,SET,PROPCON,PROP
3Q2563,294.39,690.27,,8.93,0.01,0.16,0.35,68.00,29.17,3.03,1.16,"3,117.09",0.72,720.00,N/A,0.28,2.58,3.47,65.99,CMC,SET,PROPCON,PROP
4Q2563,401.36,473.68,896.69,51.23,0.05,0.92,1.96,76.30,19.88,12.76,1.10,"3,481.11",0.81,810.00,60.05,0.31,2.59,3.09,26.10,CMC,SET,PROPCON,PROP
1Q2564,394.85,-23.68,,40.24,0.04,0.74,1.51,71.47,23.91,10.19,1.01,"3,447.61",1.16,"1,160.00",20.03,0.45,2.57,0.27,20.58,CMC,SET,PROPCON,PROP
2Q2564,339.99,-3.73,"3,230.97",38.70,0.04,0.71,1.43,73.62,21.12,11.38,1.00,"3,173.69",1.36,"1,398.86",13.78,0.52,2.68,0.23,16.43,CMC,SET,PROPCON,PROP
3Q2564,207.82,,,-22.43,-0.02,-0.41,-0.83,54.26,36.89,-10.79,1.01,"2,943.08",1.63,"1,676.57",12.05,0.62,2.64,0.19,17.74,CMC,SET,PROPCON,PROP
1Q2565,262.69,-25.40,,-28.13,-0.03,-0.51,-1.05,70.20,28.89,-10.71,1.08,"2,725.69",1.69,"1,738.28",,,,2.37,24.01,CMC,SET,PROPCON,PROP
2Q2565,336.43,,-92.67,2.83,0.00,0.05,0.11,78.84,20.79,0.84,1.24,"2,740.23",1.58,"1,645.71",N/A,0.62,2.58,2.50,26.03,CMC,SET,PROPCON,PROP
3Q2565,442.93,95.65,,5.10,0.01,0.09,0.19,78.44,21.06,1.15,1.22,"2,488.50",1.50,"1,573.71",N/A,0.60,2.54,2.61,26.57,CMC,SET,PROPCON,PROP
