,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,528.83,57.14,57.14,68.01,1.21,2.14,3.51,86.58,12.76,12.86,0.60,-33.65,0.00,"2,252.95",16.64,1.72,32.52,3.39,7.33,CMR,SET,SERVICE,HELTH
2Q2555,513.35,-40.50,12.50,42.45,0.72,1.20,2.04,83.05,14.76,8.27,0.81,-32.17,0.00,"2,615.03",17.04,1.79,36.37,2.92,8.61,CMR,SET,SERVICE,HELTH
3Q2555,600.23,95.83,19.49,79.00,1.41,1.96,3.21,83.71,15.01,13.16,0.52,-28.06,68.00,"2,735.72",17.54,1.90,35.76,2.79,8.63,CMR,SET,SERVICE,HELTH
4Q2555,643.78,30.50,138.96,99.44,1.84,2.35,3.64,87.82,10.52,15.45,0.58,-35.10,0.00,"2,936.88",17.74,1.57,46.53,2.60,7.93,CMR,SET,SERVICE,HELTH
1Q2556,602.47,-29.35,7.44,78.68,1.30,1.80,2.98,85.53,13.58,13.06,0.72,-37.52,119.00,"4,787.52",22.97,2.66,44.79,2.10,11.87,CMR,SET,SERVICE,HELTH
2Q2556,598.50,-7.69,66.67,74.37,1.20,1.64,2.79,85.65,11.54,12.43,0.68,-40.61,0.00,"4,425.44",20.87,2.43,45.25,2.27,10.23,CMR,SET,SERVICE,HELTH
3Q2556,800.71,227.50,178.72,205.91,3.93,4.46,7.35,90.75,8.62,25.72,0.62,-47.97,100.00,"4,023.13",17.37,2.24,44.73,2.50,7.52,CMR,SET,SERVICE,HELTH
4Q2556,701.61,-31.55,46.20,134.22,2.69,2.75,4.54,85.87,12.35,19.13,0.69,-52.18,0.00,"4,023.13",12.08,2.03,49.32,2.50,7.41,CMR,SET,SERVICE,HELTH
1Q2557,766.26,5.58,118.46,161.61,2.84,3.17,5.35,85.86,11.56,21.09,0.69,-62.25,153.00,"6,155.38",16.77,2.99,51.11,1.96,8.92,CMR,SET,SERVICE,HELTH
2Q2557,673.49,-39.79,42.50,93.46,1.71,1.77,3.00,84.03,13.55,13.88,0.70,-61.64,192.50,"7,744.52",18.06,3.74,51.47,1.56,10.65,CMR,SET,SERVICE,HELTH
3Q2557,744.00,26.90,-44.78,114.67,2.17,2.13,3.55,86.82,12.02,15.41,0.64,-54.23,208.00,"8,368.10",18.63,3.91,53.20,1.44,12.63,CMR,SET,SERVICE,HELTH
4Q2557,775.09,33.64,7.81,136.33,2.90,2.49,4.06,87.34,10.61,17.59,0.63,-52.77,171.50,"6,899.66",18.23,3.09,55.54,1.75,10.83,CMR,SET,SERVICE,HELTH
1Q2558,860.66,41.03,44.01,203.93,4.09,3.56,5.82,87.56,11.07,23.69,0.64,-39.83,188.00,"7,563.48",19.55,3.23,58.29,1.91,11.06,CMR,SET,SERVICE,HELTH
2Q2558,733.79,-53.55,11.11,99.48,1.90,1.69,2.74,83.51,13.80,13.56,0.60,-42.62,230.00,"9,253.19",21.15,3.81,60.31,1.57,12.82,CMR,SET,SERVICE,HELTH
3Q2558,887.49,97.89,73.27,191.20,3.76,3.21,5.09,88.60,10.02,21.54,0.57,-54.54,244.00,"9,816.42",22.06,3.90,62.61,1.48,12.01,CMR,SET,SERVICE,HELTH
4Q2558,864.02,-28.19,-6.90,135.50,2.70,2.24,3.49,85.23,13.11,15.68,0.54,-55.83,302.00,"12,149.84",23.88,4.56,66.19,1.19,14.02,CMR,SET,SERVICE,HELTH
