,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,"1,696.97",137.50,58.33,93.12,0.19,2.15,5.46,96.77,2.75,5.49,1.57,"-2,551.97",4.30,"2,156.24",13.07,1.30,3.31,6.98,15.88,CNT,SET,PROPCON,CONS
2Q2555,"1,627.23",-26.32,133.33,71.80,0.14,1.63,4.25,96.01,3.44,4.41,1.67,"-2,776.55",4.66,"2,336.77",11.07,1.33,3.49,6.44,13.31,CNT,SET,PROPCON,CONS
3Q2555,"2,157.60",50.00,110.00,105.86,0.21,2.35,6.41,97.11,2.55,4.91,1.78,"-2,882.88",6.25,"3,134.08",12.31,1.93,3.24,4.80,12.21,CNT,SET,PROPCON,CONS
4Q2555,"1,823.97",85.71,387.50,195.09,0.39,4.23,11.13,97.46,1.84,10.70,1.49,"-2,793.52",10.00,"5,014.52",16.19,2.99,3.35,3.00,13.96,CNT,SET,PROPCON,CONS
1Q2556,"2,128.70",-25.64,52.63,146.04,0.29,3.05,7.46,93.77,2.85,6.86,1.41,"-2,722.82",19.00,"9,527.59",20.46,5.25,3.62,2.74,20.54,CNT,SET,PROPCON,CONS
2Q2556,"2,106.91",,,119.04,-0.03,2.36,5.75,96.68,3.10,5.65,1.46,"-2,722.27",7.00,"7,020.33",13.55,3.38,2.07,3.71,14.86,CNT,SET,PROPCON,CONS
3Q2556,"2,458.46",,-52.38,94.17,0.10,1.81,4.55,97.52,2.37,3.83,1.57,"-2,150.63",6.30,"6,318.30",11.19,3.11,2.03,4.13,15.27,CNT,SET,PROPCON,CONS
4Q2556,"2,349.34",-10.00,-76.92,88.59,0.09,1.61,4.15,96.16,2.50,3.77,1.57,"-1,452.70",5.25,"5,265.25",9.60,2.54,2.07,4.95,16.43,CNT,SET,PROPCON,CONS
1Q2557,"2,583.97",-40.86,-81.64,56.68,0.05,0.96,2.57,96.85,2.87,2.19,1.78,-908.09,5.10,"5,114.81",11.57,2.38,2.14,3.92,19.24,CNT,SET,PROPCON,CONS
2Q2557,"2,179.21",-76.84,,17.10,0.01,0.28,0.77,96.21,3.60,0.78,1.77,-451.22,5.75,"5,766.70",16.47,2.62,2.20,3.48,27.74,CNT,SET,PROPCON,CONS
3Q2557,"2,556.32",,,-154.90,-0.16,-2.57,-7.37,97.12,2.76,-6.06,1.98,-568.11,6.05,"6,067.57",24.87,2.80,2.16,3.31,109.96,CNT,SET,PROPCON,CONS
4Q2557,"2,117.70",-67.14,,-272.84,-0.26,-4.89,-14.66,96.00,3.51,-12.88,2.02,-998.92,4.44,"4,452.89",N/A,2.27,1.95,4.50,-32.95,CNT,SET,PROPCON,CONS
1Q2558,"1,845.00",,-98.12,3.94,0.00,0.08,0.23,96.25,3.62,0.21,1.80,"-1,413.25",4.44,"4,452.89",N/A,2.63,1.69,1.13,-26.13,CNT,SET,PROPCON,CONS
2Q2558,"1,780.48",600.00,-43.23,10.70,0.01,0.22,0.62,95.85,3.85,0.60,1.77,"-1,852.98",4.48,"4,493.01",N/A,2.65,1.69,1.12,-26.24,CNT,SET,PROPCON,CONS
3Q2558,"1,970.77",172.29,,16.49,0.02,0.35,0.94,95.90,3.70,0.84,1.67,"-2,011.26",3.56,"3,570.34",N/A,2.10,1.70,1.40,-61.63,CNT,SET,PROPCON,CONS
4Q2558,"1,745.36",,97.28,-4.43,-0.01,-0.10,-0.25,94.96,4.81,-0.25,1.60,"-1,830.71",3.20,"3,209.29",N/A,1.86,1.72,1.56,25.50,CNT,SET,PROPCON,CONS
1Q2559,"1,514.83",-0.42,,-7.15,-0.01,-0.16,-0.41,94.60,5.28,-0.47,1.64,"-1,693.88",3.12,"3,129.06",134.95,1.82,1.71,0.00,25.72,CNT,SET,PROPCON,CONS
