,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,174.16,,,4.13,0.03,0.52,1.73,83.06,16.45,2.37,2.79,118.26,3.02,438.65,22.09,1.85,1.63,3.31,18.25,COLOR,mai,INDUS,-
2Q2555,186.44,-54.59,-56.93,1.88,0.01,0.19,0.80,84.67,14.99,1.01,3.65,105.28,2.86,415.42,32.41,1.72,1.66,3.50,19.24,COLOR,mai,INDUS,-
3Q2555,192.05,-36.61,-72.70,1.19,0.01,0.11,0.52,83.54,14.99,0.62,3.91,96.50,3.40,493.85,50.54,2.16,1.58,2.94,21.74,COLOR,mai,INDUS,-
4Q2555,155.04,,-430.40,-7.70,-0.05,-0.68,-3.41,79.83,18.75,-4.97,4.13,122.73,2.66,386.37,77.26,2.24,1.58,2.82,21.76,COLOR,mai,INDUS,-
1Q2556,177.97,73.32,,-2.63,-0.01,-0.23,-0.97,80.03,16.22,-1.48,2.63,170.71,2.90,561.63,N/A,2.53,1.53,0.00,23.56,COLOR,mai,INDUS,-
2Q2556,181.12,-163.25,,-7.13,-0.04,-0.61,-2.24,82.18,16.21,-3.94,2.73,199.90,2.60,503.53,N/A,1.56,1.66,0.00,25.36,COLOR,mai,INDUS,-
3Q2556,222.20,67.70,,-2.37,-0.01,-0.20,-0.75,83.27,15.40,-1.06,2.88,201.75,2.20,426.07,N/A,1.35,1.63,0.00,23.16,COLOR,mai,INDUS,-
4Q2556,176.16,-861.93,-118.17,-22.24,-0.12,-1.91,-7.31,80.45,18.75,-12.62,2.78,190.57,1.96,379.59,N/A,1.21,1.62,0.00,24.28,COLOR,mai,INDUS,-
1Q2557,211.33,,,2.57,0.01,0.23,0.87,85.82,13.55,1.22,2.86,154.83,1.70,329.23,N/A,1.11,1.53,0.00,21.00,COLOR,mai,INDUS,-
2Q2557,212.77,,54.58,-3.48,-0.02,-0.30,-0.71,85.58,14.07,-1.64,0.67,109.86,1.39,807.59,N/A,2.71,1.54,0.00,20.98,COLOR,mai,INDUS,-
3Q2557,191.12,-8.39,-52.45,-7.03,-0.02,-0.63,-1.03,84.23,15.23,-3.68,0.60,132.36,1.45,842.45,N/A,1.24,1.17,0.00,24.36,COLOR,mai,INDUS,-
4Q2557,191.76,23.12,87.82,-7.10,-0.01,-0.66,-1.05,83.93,15.56,-3.70,0.58,120.30,1.20,697.99,N/A,1.03,1.17,0.00,17.66,COLOR,mai,INDUS,-
1Q2558,214.47,,32.03,10.19,0.02,0.95,1.51,85.83,13.64,4.75,0.59,119.38,1.53,889.93,N/A,1.33,1.15,0.00,19.84,COLOR,mai,INDUS,-
