,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,"44,666.92",74.29,32.61,"2,759.42",0.61,4.78,11.99,75.99,20.31,6.18,1.47,-160.53,65.50,"294,301.20",36.75,13.69,4.78,1.91,20.83,CPALL,SET,SERVICE,COMM
2Q2555,"47,731.33",,,"2,605.61",-0.01,4.39,11.38,73.52,22.05,5.46,1.73,-162.64,35.50,"318,900.10",36.73,13.22,2.68,1.76,22.09,CPALL,SET,SERVICE,COMM
3Q2555,"51,225.04",,-33.33,"2,920.64",0.32,4.73,12.78,72.16,22.52,5.70,1.67,-166.31,35.50,"318,900.10",35.00,15.01,2.36,1.76,21.16,CPALL,SET,SERVICE,COMM
4Q2555,"54,153.72",-3.13,-11.43,"2,771.65",0.31,4.06,10.82,72.62,22.60,5.12,1.66,-171.92,46.00,"413,222.66",41.99,17.21,2.67,1.36,25.06,CPALL,SET,SERVICE,COMM
1Q2556,"52,901.94",12.90,-42.62,"3,193.33",0.35,4.40,11.14,73.45,21.89,6.04,1.42,-174.75,46.25,"415,468.44",37.69,15.54,2.98,1.95,24.47,CPALL,SET,SERVICE,COMM
2Q2556,"53,561.09",-14.29,,"2,657.33",0.30,1.73,9.07,71.80,23.57,4.96,7.26,-194.15,39.00,"350,340.95",30.60,11.64,3.35,2.31,29.19,CPALL,SET,SERVICE,COMM
3Q2556,"86,155.71",0.00,-6.25,"2,695.47",0.30,1.06,9.14,76.51,19.08,3.13,8.03,-193.44,35.25,"316,654.32",27.54,13.66,2.58,2.55,28.82,CPALL,SET,SERVICE,COMM
4Q2556,"91,979.85",-26.67,-29.03,"2,082.11",0.22,0.74,6.53,76.91,19.21,2.26,7.75,-195.08,42.00,"377,290.26",33.52,14.22,2.95,2.14,30.79,CPALL,SET,SERVICE,COMM
1Q2557,"89,148.94",36.36,-14.29,"2,736.42",0.30,0.93,7.97,78.19,18.45,3.07,7.50,-191.97,43.50,"390,764.91",37.09,13.58,3.20,2.07,30.14,CPALL,SET,SERVICE,COMM
2Q2557,"92,132.64",-16.67,-16.67,"2,270.16",0.25,0.76,6.94,78.23,18.31,2.46,9.03,-177.22,48.00,"431,188.86",42.88,13.74,3.49,1.87,28.96,CPALL,SET,SERVICE,COMM
3Q2557,"91,064.86",20.00,0.00,"2,715.92",0.30,0.91,8.73,77.90,18.37,2.98,8.26,-176.49,44.75,"401,993.79",41.65,15.75,2.84,2.01,25.72,CPALL,SET,SERVICE,COMM
4Q2557,"98,577.66",-6.67,27.27,"2,549.84",0.28,0.81,7.55,77.33,19.03,2.59,8.31,-177.42,42.50,"381,781.81",39.44,13.53,3.14,2.12,23.43,CPALL,SET,SERVICE,COMM
1Q2558,"98,780.71",35.71,26.67,"3,445.53",0.38,1.08,9.37,79.44,17.30,3.49,7.18,-180.03,41.00,"368,307.16",36.27,11.96,3.43,1.95,21.26,CPALL,SET,SERVICE,COMM
2Q2558,"100,676.16",-7.89,40.00,"3,168.63",0.35,1.01,8.68,78.31,18.33,3.15,8.05,-179.99,46.25,"415,468.44",38.27,12.17,3.80,1.73,22.24,CPALL,SET,SERVICE,COMM
3Q2558,"100,037.02",2.86,20.00,"3,296.53",0.36,1.05,9.09,77.43,18.90,3.30,7.31,-178.09,47.75,"428,943.09",36.50,14.17,3.37,1.68,22.24,CPALL,SET,SERVICE,COMM
4Q2558,"106,399.35",19.44,53.57,"3,906.82",0.43,1.21,9.81,78.15,18.29,3.67,6.90,-177.06,39.25,"352,586.73",28.62,10.48,3.75,2.04,18.84,CPALL,SET,SERVICE,COMM
1Q2559,"108,726.95",4.65,18.42,"4,099.13",0.45,1.24,9.39,78.68,17.86,3.77,6.25,-173.29,45.75,"410,976.89",30.04,11.00,4.16,1.97,20.06,CPALL,SET,SERVICE,COMM
2Q2559,"114,620.96",4.44,34.29,"4,228.54",0.47,1.29,9.71,77.25,18.71,3.69,6.87,-169.92,50.25,"451,400.84",31.48,10.94,4.59,1.79,20.58,CPALL,SET,SERVICE,COMM
