,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,"73,905.94",388.89,238.46,"12,538.87",1.76,5.74,13.68,90.34,9.08,16.97,1.37,465.90,37.25,"288,424.59",18.21,4.45,9.20,3.03,11.96,CPF,SET,AGRO,FOOD
2Q2555,"93,283.05",-71.59,-31.51,"4,582.28",0.50,1.62,3.89,89.99,8.91,4.91,1.44,400.83,38.50,"298,103.26",12.18,2.91,13.22,2.98,11.95,CPF,SET,AGRO,FOOD
3Q2555,"98,051.88",-38.00,-59.74,"3,154.41",0.31,1.08,2.69,89.72,9.43,3.22,1.57,343.35,33.50,"259,388.55",10.97,2.49,14.10,3.42,11.31,CPF,SET,AGRO,FOOD
4Q2555,"94,929.68",-93.55,-94.44,743.47,0.02,0.25,0.63,89.78,9.47,0.78,1.57,316.38,33.75,"261,324.29",12.47,2.63,13.43,3.40,11.72,CPF,SET,AGRO,FOOD
1Q2556,"87,819.14",600.00,-92.05,"1,336.55",0.14,0.42,1.11,90.18,9.37,1.52,1.73,314.95,32.75,"253,581.35",13.50,2.40,13.65,3.36,16.63,CPF,SET,AGRO,FOOD
2Q2556,"93,761.81",57.14,-56.00,"1,946.16",0.22,0.58,1.62,90.05,9.35,2.08,1.83,316.80,25.75,"199,380.75",25.88,1.92,13.43,4.27,17.03,CPF,SET,AGRO,FOOD
3Q2556,"105,765.99",63.64,16.13,"3,512.76",0.36,1.02,2.88,90.35,9.18,3.32,1.80,300.87,24.00,"185,830.61",35.04,1.77,13.58,4.58,16.40,CPF,SET,AGRO,FOOD
4Q2556,"104,011.62",-33.33,"1,100.00","2,606.48",0.24,0.73,2.06,89.51,9.86,2.51,1.82,288.19,32.00,"247,774.14",44.66,2.33,13.76,3.44,17.82,CPF,SET,AGRO,FOOD
1Q2557,"98,889.97",16.67,100.00,"2,620.07",0.28,0.70,2.01,89.45,9.77,2.65,1.91,285.92,28.00,"216,802.37",30.69,1.95,14.33,1.79,15.41,CPF,SET,AGRO,FOOD
2Q2557,"106,536.24",71.43,118.18,"4,532.51",0.48,1.18,3.44,89.40,9.94,4.25,1.90,273.34,27.25,"210,995.17",26.09,1.89,14.43,1.83,13.57,CPF,SET,AGRO,FOOD
3Q2557,"112,972.30",16.67,55.56,"5,153.23",0.56,1.30,3.48,89.75,9.73,4.56,1.51,269.04,30.25,"234,223.99",23.42,2.05,14.76,1.65,12.03,CPF,SET,AGRO,FOOD
4Q2557,"110,441.20",-80.36,-54.17,"1,923.59",0.11,0.47,1.18,88.83,10.49,1.74,1.54,254.41,27.25,"210,995.17",18.33,1.77,15.37,1.83,11.72,CPF,SET,AGRO,FOOD
1Q2558,"97,576.81",263.64,42.86,"3,975.77",0.40,0.95,2.42,88.17,10.45,4.07,1.54,248.65,22.50,"174,216.19",16.50,1.47,15.33,3.33,10.67,CPF,SET,AGRO,FOOD
2Q2558,"104,962.07",0.00,-16.67,"4,126.36",0.40,0.97,2.48,87.54,11.24,3.93,1.59,256.14,24.00,"185,830.61",16.20,1.58,15.23,3.13,11.24,CPF,SET,AGRO,FOOD
3Q2558,"111,968.26",22.50,-12.50,"4,938.35",0.49,1.12,2.90,89.25,10.67,4.41,1.59,254.52,20.70,"160,278.90",14.70,1.35,15.34,3.62,10.65,CPF,SET,AGRO,FOOD
4Q2558,"110,973.05",-57.14,90.91,"3,333.66",0.21,0.71,1.92,87.07,11.67,3.00,1.85,249.35,18.30,"141,695.84",13.73,1.17,15.64,4.10,9.36,CPF,SET,AGRO,FOOD
1Q2559,"106,207.98",142.86,27.50,"5,154.82",0.51,1.05,2.92,89.08,10.27,4.85,1.71,236.81,24.40,"188,927.78",17.08,1.61,15.18,3.07,9.41,CPF,SET,AGRO,FOOD
2Q2559,"117,517.01",5.88,35.00,"6,189.32",0.54,1.26,3.44,89.54,9.83,5.27,1.75,210.79,28.75,"222,609.58",18.76,1.82,15.81,2.61,8.97,CPF,SET,AGRO,FOOD
3Q2559,"123,080.42",30.52,43.84,"6,734.13",0.70,1.34,3.72,90.16,9.41,5.47,1.80,207.97,31.75,"245,838.41",19.06,1.99,15.97,2.36,8.79,CPF,SET,AGRO,FOOD
4Q2559,"121,238.99",-66.63,11.99,"2,607.51",0.24,0.48,1.39,89.24,9.43,2.15,2.01,213.32,29.50,"228,416.79",15.74,1.84,15.99,2.54,10.22,CPF,SET,AGRO,FOOD
1Q2560,"120,370.10",125.36,3.92,"4,704.11",0.53,0.81,2.34,89.22,10.15,3.91,1.77,214.66,27.75,"214,866.64",14.61,1.59,17.41,3.42,9.90,CPF,SET,AGRO,FOOD
2Q2560,"126,849.28",0.00,-1.85,"4,088.53",0.53,0.71,1.97,89.69,9.61,3.22,1.81,219.18,24.80,"192,024.96",12.89,1.28,19.42,3.83,10.17,CPF,SET,AGRO,FOOD
3Q2560,"127,227.18",13.21,-14.87,"6,256.54",0.60,1.08,2.90,89.02,10.36,4.92,1.59,212.24,26.75,"230,350.73",15.42,1.55,19.21,3.19,10.71,CPF,SET,AGRO,FOOD
4Q2560,"130,321.62",-58.33,6.30,"2,849.14",0.25,0.48,1.26,88.46,10.90,2.19,1.62,197.16,24.00,"206,669.82",14.09,1.22,19.72,3.56,10.77,CPF,SET,AGRO,FOOD
1Q2561,"121,234.64",32.00,-37.74,"3,242.86",0.33,0.54,1.44,89.64,9.77,2.67,1.69,183.49,25.25,"217,433.87",14.25,1.27,19.85,2.97,11.51,CPF,SET,AGRO,FOOD
2Q2561,"137,195.58",121.21,37.74,"7,956.72",0.73,1.29,3.50,89.71,9.68,5.80,1.72,180.46,24.20,"208,392.07",14.52,1.22,19.78,3.10,10.56,CPF,SET,AGRO,FOOD
3Q2561,"145,771.87",-20.55,-3.33,"6,973.48",0.58,1.12,3.11,88.30,8.69,4.78,1.83,189.14,25.25,"217,433.87",13.44,1.25,20.17,2.97,10.49,CPF,SET,AGRO,FOOD
4Q2561,"145,851.76",-68.97,-28.00,"3,251.62",0.18,0.52,1.49,88.74,9.77,2.23,1.87,195.92,24.60,"211,836.56",13.09,1.26,19.55,3.05,9.55,CPF,SET,AGRO,FOOD
1Q2562,"126,129.38",177.78,51.52,"5,177.01",0.50,0.82,2.35,89.60,9.73,4.10,1.83,199.13,25.50,"219,586.68",14.14,1.30,19.56,2.55,9.18,CPF,SET,AGRO,FOOD
2Q2562,"134,714.41",-2.00,-32.88,"5,230.65",0.49,0.82,2.38,89.16,10.23,3.88,1.95,194.47,28.25,"243,267.60",14.51,1.42,19.93,2.30,9.85,CPF,SET,AGRO,FOOD
3Q2562,"133,559.39",46.94,24.14,"6,987.55",0.72,1.10,3.23,89.21,10.07,5.23,1.90,184.72,26.25,"226,045.11",15.10,1.33,19.71,2.48,9.50,CPF,SET,AGRO,FOOD
4Q2562,"142,372.33",-34.72,161.11,"6,702.67",0.47,1.06,3.08,88.14,10.75,4.71,1.90,188.21,27.50,"236,809.17",14.69,1.39,19.73,2.36,9.34,CPF,SET,AGRO,FOOD
1Q2563,"139,036.72",55.32,46.00,"8,493.73",0.73,1.22,3.66,89.32,10.03,6.11,2.07,194.11,24.30,"209,253.19",,,,2.88,8.81,CPF,SET,AGRO,FOOD
2Q2563,"144,717.20",-1.37,46.94,"9,272.58",0.72,1.23,3.82,89.95,9.42,6.41,2.14,216.69,31.75,"273,406.95",13.37,1.40,22.43,2.22,8.60,CPF,SET,AGRO,FOOD
3Q2563,"158,711.26",25.00,25.00,"10,544.71",0.90,1.38,4.32,89.54,9.89,6.64,2.11,223.88,28.00,"241,114.79",10.62,1.26,21.95,2.56,7.67,CPF,SET,AGRO,FOOD
4Q2563,"152,545.92",-12.22,68.09,"15,780.97",0.79,2.06,6.18,88.87,9.44,10.35,1.91,212.00,26.75,"230,350.73",9.53,1.17,22.79,2.68,6.71,CPF,SET,AGRO,FOOD
1Q2564,"120,087.33",7.59,16.44,"8,618.41",0.85,1.12,3.20,89.65,9.73,7.18,1.80,201.28,29.50,"254,031.65",9.54,1.27,23.16,3.40,6.98,CPF,SET,AGRO,FOOD
2Q2564,"130,464.31",-31.76,-19.44,"5,485.21",0.58,0.70,1.96,89.94,9.43,4.20,1.80,185.59,26.50,"228,197.92",8.30,1.09,24.24,3.79,7.26,CPF,SET,AGRO,FOOD
3Q2564,"127,903.39",,,"-5,842.13",-0.70,-0.72,-2.06,88.20,10.26,-4.57,1.93,193.95,25.75,"221,739.49",8.47,1.03,24.94,3.90,9.51,CPF,SET,AGRO,FOOD
4Q2564,"139,129.36",,5.06,"5,817.27",0.83,0.70,2.04,89.13,9.90,4.18,1.93,214.69,25.50,"219,586.68",16.86,1.02,24.94,3.94,11.86,CPF,SET,AGRO,FOOD
1Q2565,"139,572.71",-59.04,-60.00,"2,996.10",0.34,0.36,1.09,90.82,8.69,2.15,2.20,226.48,24.10,"207,530.94",,,,2.70,13.34,CPF,SET,AGRO,FOOD
2Q2565,"157,400.44",50.00,-12.07,"4,471.80",0.51,0.51,1.60,90.49,8.62,2.84,2.05,239.03,26.00,"223,892.30",24.49,1.00,26.08,2.50,13.76,CPF,SET,AGRO,FOOD
3Q2565,"161,454.17",23.53,,"5,097.80",0.63,0.56,1.70,90.35,8.91,3.16,2.09,243.78,24.80,"215,281.06",25.03,0.83,29.98,2.60,10.85,CPF,SET,AGRO,FOOD
